Year,Julian Day,Rainfall,Runoff (Q),Potential Evapotranspiration (E0),Crop Transpiration (Etrans),Maximum Sublimation (Esoil),SoilWater/L1,SoilWater/L2,SoilWater/L3,Esoil/L1,Esoil/L2,Esoil/L3,Perc/L1,Perc/L2,Perc/L3,Temp/L1,Temp/L2,Temp/L3,Surface Temp,Sediment Yield
,,mm,mm,mm d^-1,mm H2O,mm H2O,mm,mm,mm,mm H2O,mm H2O,mm H2O,mm H2O,mm H2O,mm H2O,C,C,C,C,metric tons
1,274,1.02,0.0,1.34,0.0,1.34,45.0,255.0,300.0,1.308,0.032,0.0,0.0,0.0,0.0,11.281,9.545,7.832,8.527,0.0
1,275,0.0,0.0,1.575,0.0,1.575,44.708,254.968,300.0,1.5,0.038,0.0,0.0,0.0,0.0,11.087,9.387,7.756,10.596,0.0
1,276,0.0,0.0,1.51,0.0,1.51,43.208,254.93,300.0,1.269,0.036,0.0,0.0,0.0,0.0,11.668,9.656,7.807,14.581,0.0
1,277,25.65,2.24,1.355,0.0,1.355,41.939,254.894,300.0,1.025,0.032,0.0,0.0,0.0,0.0,11.799,9.693,7.797,12.774,0.15
1,278,0.0,0.0,1.173,0.0,1.173,64.328,254.862,300.0,1.145,0.028,0.0,18.974,0.0,0.0,10.898,9.18,7.636,7.323,0.0
1,279,0.0,0.0,0.985,0.0,0.985,44.209,273.807,300.0,0.9,0.024,0.0,0.0,8.115,0.0,10.038,8.695,7.486,6.568,0.0
1,280,0.0,0.0,1.109,0.0,1.109,43.309,265.669,308.115,0.94,0.027,0.0,0.0,4.603,3.093,9.602,8.443,7.404,7.939,0.0
1,281,0.0,0.0,1.168,0.0,1.168,42.369,261.039,309.624,0.916,0.028,0.0,0.0,2.606,3.669,9.672,8.464,7.401,10.205,0.0
1,282,0.0,0.0,1.23,0.0,1.23,41.453,258.405,308.561,0.893,0.029,0.0,0.0,1.469,3.264,9.955,8.604,7.433,11.436,0.0
1,283,0.0,0.0,0.681,0.0,0.681,40.56,256.906,306.767,0.459,0.016,0.0,0.0,0.823,2.58,8.7,7.921,7.236,3.406,0.0
1,284,2.79,0.0,0.703,0.0,0.703,40.101,256.068,305.01,0.456,0.017,0.0,0.0,0.461,1.91,7.708,7.381,7.08,3.473,0.0
1,285,5.33,0.0,0.585,0.0,0.585,42.439,255.59,303.561,0.461,0.014,0.0,0.0,0.255,1.357,6.236,6.584,6.853,-0.209,0.0
1,286,0.0,0.0,0.388,0.0,0.388,47.312,255.321,302.458,0.379,0.009,0.0,2.269,0.139,0.937,4.708,5.76,6.62,-2.107,0.0
1,287,0.71,0.0,0.443,0.0,0.443,44.664,257.443,301.66,0.42,0.011,0.0,0.0,1.054,0.633,3.913,5.329,6.497,0.211,0.0
1,288,0.2,0.0,0.629,0.0,0.629,44.949,256.378,302.081,0.611,0.015,0.0,0.0,0.595,0.793,3.315,5.005,6.404,0.418,0.0
1,289,0.0,0.0,0.922,0.0,0.922,44.539,255.768,301.882,0.866,0.022,0.0,0.0,0.332,0.718,3.372,5.033,6.41,3.318,0.0
1,290,22.35,1.37,0.325,0.0,0.325,43.673,255.415,301.496,0.284,0.008,0.0,0.0,0.179,0.57,3.969,5.352,6.499,6.311,0.087
1,291,0.25,0.0,0.651,0.0,0.651,64.366,255.228,301.105,0.635,0.016,0.0,19.012,0.098,0.421,4.21,5.482,6.535,5.023,0.0
1,292,3.99,0.0,0.271,0.0,0.271,44.973,274.126,300.782,0.264,0.006,0.0,0.0,8.252,0.298,3.837,5.283,6.48,1.955,0.0
1,293,0.0,0.0,0.348,0.0,0.348,48.701,265.867,308.736,0.34,0.008,0.0,3.633,4.689,3.33,3.283,4.989,6.399,0.566,0.0
