pen_id,sim_day,num_animals,animal_types,housing_type,bedding_type,handler_type,separator_type,treatment_type,manure__U,manure__TAN_s__g/L,manure__MN,manure__Mkg,manure__TSd__kg,manure__VSd__kg,manure__VSnd__kg,manure__WIP_frac,manure__WOP_frac,manure__p_excrt_manure__kg,manure__p_frac,manure__K_manure__kg,manure__CH4_manure,handler__urea__g/L,handler__TAN_s__g/L,handler__manure_nitrogen__kg,handler__TSd__kg,handler__VSd__kg,handler__VSnd__kg,handler__VS_total__kg,handler__p_excrt_manure__kg,handler__K_manure__kg,handler__CH4_floor__kg/day,handler__CO2_floor__kg/day,handler__raw_manure__kg,handler__cleaning_water__L,handler__total_bedding_mass__kg,handler__total_water_volume_in_milking_center__L,handler__total_daily_mass__kg_or_L,rp__urea__g/L,rp__TAN_s__g/L,rp__manure_nitrogen__kg,rp__TSd__kg,rp__VSd__kg,rp__VSnd__kg,rp__VS_total__kg,rp__p_excrt_manure__kg,rp__K_manure__kg,rp__raw_manure__kg,rp__cleaning_water__L,rp__total_bedding_mass__kg,rp__total_water_volume_in_milking_center__L,rp__total_daily_mass__kg_or_L,sep__TAN_s__g/L,sep__manure_nitrogen__kg,sep__TSd__kg,sep__VSd__kg,sep__VSnd__kg,sep__VS_total__kg,sep__p_excrt_manure__kg,sep__K_manure__kg,sep__total_daily_mass__kg_or_L,sep__wet_weight_of_final_solids__kg,sep__final_solids_dry_content__kg,sep__TS_solid__kg,sep__VS_solid__kg,sep__N_solid__kg,sep__TAN_solid__kg,sep__P_solid__kg,sep__K_solid__kg,sep__TS_liquid__kg,sep__VS_liquid__kg,sep__N_liquid__kg,sep__TAN_liquid__kg,sep__P_liquid__kg,sep__K_liquid__kg,sep__TS_DM_effluent__kg,sep__final_daily_volume__kg,tx__TAN_s__g/L,tx__manure_nitrogen__kg,tx__TSd__kg,tx__VSd__kg,tx__VSnd__kg,tx__VS_total__kg,tx__p_excrt_manure__kg,tx__K_manure__kg,tx__total_daily_mass__kg_or_L,tx__final_volume
0,1,71,Calf,open air barn,sand,manual_scraping,rotary_screen,storage_pit,1449.85,169.28,37.8,327.05,53.64,503.21,61.02,0.0,0.0,0.01,0.0,0.0,1871.83,1449.85,169.28,37.8,53.64,503.21,61.02,564.22,0.01,0.0,0.46,0.07,327.05,710,1775.0,0.0,2812.05,1449.85,169.28,37.8,53.64,503.21,61.02,564.22,0.01,0.0,327.05,710,1775.0,0.0,2812.05,169.28,37.8,53.64,503.21,61.02,564.22,0.01,0.0,2812.05,147.52,53.64,29.5,310.32,11.34,25.39,0.0,0.0,24.14,253.9,26.46,143.89,0.01,0.0,10.73,2664.53,152.36,35.91,45.6,0.0,0.0,84.63,0.01,0.0,0.0,253072.35
0,2,76,Calf,open air barn,sand,manual_scraping,rotary_screen,storage_pit,1551.95,181.21,40.46,341.51,56.01,538.64,65.31,0.02,0.0,0.19,0.05,0.0,1964.07,1551.95,181.21,40.46,56.01,538.64,65.31,603.96,0.19,0.0,0.49,0.07,341.51,760,1900.0,0.0,3001.51,1551.95,181.21,40.46,56.01,538.64,65.31,603.96,0.19,0.0,341.51,760,1900.0,0.0,3001.51,181.21,40.46,56.01,538.64,65.31,603.96,0.19,0.0,3001.51,154.04,56.01,30.81,332.18,12.14,27.18,0.08,0.0,25.21,271.78,28.32,154.02,0.12,0.0,11.2,2847.47,163.09,38.44,47.61,0.0,0.0,90.59,0.19,0.0,0.0,270123.49
0,3,82,Calf,open air barn,sand,manual_scraping,rotary_screen,storage_pit,1674.47,195.51,43.66,358.06,58.73,581.17,70.47,0.03,0.0,0.21,0.05,0.0,2071.27,1674.47,195.51,43.66,58.73,581.17,70.47,651.64,0.21,0.0,0.53,0.08,358.06,820,2050.0,0.0,3228.06,1674.47,195.51,43.66,58.73,581.17,70.47,651.64,0.21,0.0,358.06,820,2050.0,0.0,3228.06,195.51,43.66,58.73,581.17,70.47,651.64,0.21,0.0,3228.06,161.51,58.73,32.3,358.4,13.1,29.33,0.08,0.0,26.43,293.24,30.56,166.18,0.13,0.0,11.75,3066.56,175.96,41.47,49.92,0.0,0.0,97.75,0.21,0.0,0.0,290512.53
0,4,85,Calf,open air barn,sand,manual_scraping,rotary_screen,storage_pit,1735.73,202.66,45.25,366.52,60.12,602.43,73.05,0.03,0.0,0.22,0.05,0.0,2125.97,1735.73,202.66,45.25,60.12,602.43,73.05,675.48,0.22,0.0,0.55,0.08,366.52,850,2125.0,0.0,3341.52,1735.73,202.66,45.25,60.12,602.43,73.05,675.48,0.22,0.0,366.52,850,2125.0,0.0,3341.52,202.66,45.25,60.12,602.43,73.05,675.48,0.22,0.0,3341.52,165.32,60.12,33.06,371.51,13.58,30.4,0.09,0.0,27.05,303.97,31.68,172.26,0.13,0.0,12.02,3176.2,182.4,42.99,51.1,0.0,0.0,101.32,0.22,0.0,0.0,300723.03
0,5,89,Calf,open air barn,sand,manual_scraping,rotary_screen,storage_pit,1817.42,212.2,47.38,377.45,61.91,630.78,76.49,0.03,0.0,0.23,0.06,0.0,2197.41,1817.42,212.2,47.38,61.91,630.78,76.49,707.27,0.23,0.0,0.57,0.09,377.45,890,2225.0,0.0,3492.45,1817.42,212.2,47.38,61.91,630.78,76.49,707.27,0.23,0.0,377.45,890,2225.0,0.0,3492.45,212.2,47.38,61.91,630.78,76.49,707.27,0.23,0.0,3492.45,170.25,61.91,34.05,389.0,14.22,31.83,0.09,0.0,27.86,318.27,33.17,180.37,0.14,0.0,12.38,3322.2,190.98,45.02,52.62,0.0,0.0,106.09,0.23,0.0,0.0,314305.9
0,6,91,Calf,open air barn,sand,manual_scraping,rotary_screen,storage_pit,1858.26,216.97,48.45,383.57,62.91,644.95,78.2,0.03,0.0,0.23,0.06,0.0,2236.44,1858.26,216.97,48.45,62.91,644.95,78.2,723.16,0.23,0.0,0.58,0.09,383.57,910,2275.0,0.0,3568.57,1858.26,216.97,48.45,62.91,644.95,78.2,723.16,0.23,0.0,383.57,910,2275.0,0.0,3568.57,216.97,48.45,62.91,644.95,78.2,723.16,0.23,0.0,3568.57,173.01,62.91,34.6,397.74,14.53,32.55,0.09,0.0,28.31,325.42,33.91,184.42,0.14,0.0,12.58,3395.56,195.27,46.03,53.48,0.0,0.0,108.47,0.23,0.0,0.0,321156.59
0,7,91,Calf,open air barn,sand,manual_scraping,rotary_screen,storage_pit,1858.26,216.97,48.45,384.73,63.1,644.95,78.2,0.03,0.0,0.23,0.06,0.0,2242.18,1858.26,216.97,48.45,63.1,644.95,78.2,723.16,0.23,0.0,0.58,0.09,384.73,910,2275.0,0.0,3569.73,1858.26,216.97,48.45,63.1,644.95,78.2,723.16,0.23,0.0,384.73,910,2275.0,0.0,3569.73,216.97,48.45,63.1,644.95,78.2,723.16,0.23,0.0,3569.73,173.53,63.1,34.71,397.74,14.53,32.55,0.09,0.0,28.4,325.42,33.91,184.42,0.14,0.0,12.62,3396.19,195.27,46.03,53.64,0.0,0.0,108.47,0.23,0.0,0.0,321260.91
0,8,92,Calf,open air barn,sand,manual_scraping,rotary_screen,storage_pit,1878.68,219.35,48.98,388.42,63.71,652.04,79.06,0.03,0.0,0.23,0.06,0.0,2264.78,1878.68,219.35,48.98,63.71,652.04,79.06,731.11,0.23,0.0,0.59,0.09,388.42,920,2300.0,0.0,3608.42,1878.68,219.35,48.98,63.71,652.04,79.06,731.11,0.23,0.0,388.42,920,2300.0,0.0,3608.42,219.35,48.98,63.71,652.04,79.06,731.11,0.23,0.0,3608.42,175.2,63.71,35.04,402.11,14.69,32.9,0.09,0.0,28.67,329.0,34.29,186.45,0.14,0.0,12.74,3433.22,197.42,46.53,54.15,0.0,0.0,109.67,0.23,0.0,0.0,324742.85
0,9,93,Calf,open air barn,sand,manual_scraping,rotary_screen,storage_pit,1899.1,221.74,49.51,392.08,64.31,659.13,79.92,0.03,0.0,0.24,0.06,0.0,2287.2,1899.1,221.74,49.51,64.31,659.13,79.92,739.05,0.24,0.0,0.6,0.09,392.08,930,2325.0,0.0,3647.08,1899.1,221.74,49.51,64.31,659.13,79.92,739.05,0.24,0.0,392.08,930,2325.0,0.0,3647.08,221.74,49.51,64.31,659.13,79.92,739.05,0.24,0.0,3647.08,176.85,64.31,35.37,406.48,14.85,33.26,0.09,0.0,28.94,332.57,34.66,188.48,0.14,0.0,12.86,3470.23,199.56,47.04,54.66,0.0,0.0,110.86,0.24,0.0,0.0,328222.1
0,10,96,Calf,open air barn,sand,manual_scraping,rotary_screen,storage_pit,1960.36,228.89,51.11,400.75,65.73,680.39,82.5,0.03,0.0,0.24,0.06,0.0,2343.1,1960.36,228.89,51.11,65.73,680.39,82.5,762.89,0.24,0.0,0.62,0.09,400.75,960,2400.0,0.0,3760.75,1960.36,228.89,51.11,65.73,680.39,82.5,762.89,0.24,0.0,400.75,960,2400.0,0.0,3760.75,228.89,51.11,65.73,680.39,82.5,762.89,0.24,0.0,3760.75,180.76,65.73,36.15,419.59,15.33,34.33,0.1,0.0,29.58,343.3,35.78,194.56,0.15,0.0,13.15,3579.99,206.0,48.56,55.87,0.0,0.0,114.43,0.24,0.0,0.0,338451.83
