Variable,Description,Units
$\text{NEgact}_{i}$ , Actual net energy for growth of feed i, Mcal/kg
$\text{NEmact}_{i}$ , Actual net energy for maintenance of feed i, Mcal/kg
$\text{NElact}_{i}$ , Actual net energy for lactation of feed i , Mcal/kg
$\text{MEact}_{i}$ , Actual metabolizable energy of feed i , Mcal/kg
$\text{EE}_{i}$ , Feed fat (ether extract) content , %
$\text{DEact}_{i}$ , Actual digestible energy of feed i , Mcal/kg
$\text{DE}_{i}$ , Standard DE feed i , Mcal/kg
$\text{TDNact}_{i}$ , Actual TDN content of feed i , %
$\text{TDN}_{i}$ , Standard TDN content of feed i , %
Discount , TDN digestibility decrease caused by DMI and TDNconc , --
DMI_to_maint , The amount of intake needed to meet the maintenance requirement  , dimensionless
TDNconc , TDN concentration , %
TotalTDN , Dietary TDN content , --
