Parameter , Definition , Units 
Manure methane potential , The maximum methane producing capacity of volatile solids from manure , m^3^ CH<sub>4</sub>/kg VS 
Manure total ammoniacal nitrogen , Total ammoniacal nitrogen excreted in the manure , kg 
Urine nitrogen , Amount of nitrogen excreted via urine , kg 
Manure nitrogen , Total nitrogen excreted in manure , kg 
Inorganic phosphorus fraction , Fraction of manure phosphorus that is inorganic ,--
Organic phosphorus fraction , Fraction of manure phosphorus that is organic ,--
Non-water inorganic phosphorus fraction, Portion of inorganic phosphorus not water-extractable ,--
Non-water organic phosphorus not water-extractable , Portion of organic phosphorus not water-extractable ,--
Total phosphorus excreted , Total amount of phosphorus excreted by the animal , g 
Phosphorus fraction , Overall fraction of phosphorus in the manure ,--
Potassium , Amount of potassium excreted in the manure , g 
