Variable,Description,Units
Ca\(_{\textbf{main}}\) , Calcium maintenance requirement ,g
Ca\(_{\textbf{growth}}\) , Calcium growth requirement ,g
Ca\(_{\text{lact}}\) , Calcium lactation requirement ,g
Ca\(_{\text{preg}}\) , Calcium pregnancy requirement ,g
Ca\(_{\textbf{req}}\) , Total calcium requirement ,g
DOP , Days of pregnancy ,g
P\(_{\text{growth}}\) , Phosphorus growth requirement ,g
P\(_{\text{lact}}\) , Phosphorus lactation requirement ,g
P\(_{\text{main}}\) , Phosphorus maintenance requirement ,g
P\(_{\text{preg}}\) , Phosphorus pregnancy requirement ,g
P\(_{\text{req}}\) , Total phosphorus requirement ,g
P\(_{\text{req}}\) ,Total phosphorus requirement,g
