Variable , Definition , Default , Min , Max 
years , List of years in which tillage will occur , -- ,1, --   
days , List of days on which tilling will occur , -- ,1,366
tillage_depths , List of depths that the corresponding tillage applications reach (mm) , -- ,0.1,--  
incorporation_fractions , List of fractions of surface pools that get incorporated into the soil during applications , -- ,0,1
mixing_fractions , List of fractions of soil layer pools that are available to mix into other soil layers , -- ,0,1
implements , List of tillage implements which will be used to execute the tillage operations , -- ," subsoiler, moldboard plow, coulter chisel plow, disk harrow, cultivator, seedbed conditioner", --
pattern_repeat , Number of times that this tillage schedule should be repeated,0,0, -- 
pattern_skip , Number of years to be skipped between schedule repetitions,0,0, -- 
years , List of years in which manure will be applied, -- ,1, -- 
days , List of days on which manure will be applied, -- ,1,366
nitrogen_masses , List of minimum nitrogen masses that the corresponding manure applications should contain (kg), -- ,0, -- 
phosphorus_masses , List of minimum phosphorus masses that the corresponding manure applications should contain (kg), -- ,0, -- 
potassium_masses , List of minimum potassium masses that the corresponding manure applications should contain (kg), -- ,0, -- 
coverage_fractions , List of fractions of how much of the field is covered by the corresponding manure application, -- ,0.01,1
application_depths , List of depths at which the manure is injected into the soil (kg), -- ,0,   
surface_remainder_fractions , List of fractions of manure which remain on the soil surface when applied, -- ,0,1
manure_types , The type of manure which will be requested for the application, -- ," liquid, solid", -- 
supplement_manure_ nutrient_deficiencies , Determines if nutrient deficient manure applications are supplemented with chemical fertilizer, none  ," none, manure, synthetic fertilizer, synthetic fertilizer and manure", --
pattern_repeat , Number of times that this manure application schedule should be repeated ,0,0, --  
pattern_skip , Number of years to be skipped between schedule repetitions ,0,0, --  
