county_code,gps_county,feed_id,neighbor_values,neighbor_distances
1001,"(32.55997272727273, -86.64500909090908)",1,"[np.float64(0.3449239593406593), np.float64(0.5222367967032967), np.float64(0.0388816131868131), np.float64(0.1686629186813187)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",40,"[np.float64(0.0412994306818181), np.float64(0.3935652420454545), np.float64(1.000657234090909), np.float64(0.0412994306818181)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",41,"[np.float64(0.0412994306818181), np.float64(0.3935652420454545), np.float64(1.000657234090909), np.float64(0.0412994306818181)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",43,"[np.float64(0.0412994306818181), np.float64(0.3935652420454545), np.float64(1.000657234090909), np.float64(0.0412994306818181)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",44,"[np.float64(0.0412994306818181), np.float64(0.3935652420454545), np.float64(1.000657234090909), np.float64(0.0412994306818181)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",46,"[np.float64(0.0412994306818181), np.float64(0.3935652420454545), np.float64(1.000657234090909), np.float64(0.0412994306818181)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",47,"[np.float64(0.0412994306818181), np.float64(0.3935652420454545), np.float64(1.000657234090909), np.float64(0.0412994306818181)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",50,"[np.float64(0.1820259228571429), np.float64(0.07081968), np.float64(0.1935659857142857), np.float64(0.07824154)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",51,"[np.float64(0.1820259228571429), np.float64(0.07081968), np.float64(0.1935659857142857), np.float64(0.07824154)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",52,"[np.float64(0.1820259228571429), np.float64(0.07081968), np.float64(0.1935659857142857), np.float64(0.07824154)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",53,"[np.float64(0.1820259228571429), np.float64(0.07081968), np.float64(0.1935659857142857), np.float64(0.07824154)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",54,"[np.float64(0.1820259228571429), np.float64(0.07081968), np.float64(0.1935659857142857), np.float64(0.07824154)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",55,"[np.float64(0.1820259228571429), np.float64(0.07081968), np.float64(0.1935659857142857), np.float64(0.07824154)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",56,"[np.float64(0.1820259228571429), np.float64(0.07081968), np.float64(0.1935659857142857), np.float64(0.07824154)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",61,"[np.float64(0.0264619011235955), np.float64(0.0264619011235955), np.float64(0.0264619011235955), np.float64(0.0264619011235955)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",62,"[np.float64(0.0264619011235955), np.float64(0.0264619011235955), np.float64(0.0264619011235955), np.float64(0.0264619011235955)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",63,"[np.float64(0.0264619011235955), np.float64(0.0264619011235955), np.float64(0.0264619011235955), np.float64(0.0264619011235955)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",64,"[np.float64(0.0264619011235955), np.float64(0.0264619011235955), np.float64(0.0264619011235955), np.float64(0.0264619011235955)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",65,"[np.float64(0.0264619011235955), np.float64(0.0264619011235955), np.float64(0.0264619011235955), np.float64(0.0264619011235955)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",105,"[np.float64(0.3449239593406593), np.float64(0.5222367967032967), np.float64(0.0388816131868131), np.float64(0.1686629186813187)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",106,"[np.float64(0.3449239593406593), np.float64(0.5222367967032967), np.float64(0.0388816131868131), np.float64(0.1686629186813187)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",107,"[np.float64(0.3449239593406593), np.float64(0.5222367967032967), np.float64(0.0388816131868131), np.float64(0.1686629186813187)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",108,"[np.float64(0.3449239593406593), np.float64(0.5222367967032967), np.float64(0.0388816131868131), np.float64(0.1686629186813187)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",109,"[np.float64(0.7542546311111111), np.float64(1.0834569822222222), np.float64(0.1337630533333333), np.float64(0.4861419311111111)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",110,"[np.float64(0.7542546311111111), np.float64(1.0834569822222222), np.float64(0.1337630533333333), np.float64(0.4861419311111111)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",111,"[np.float64(0.7542546311111111), np.float64(1.0834569822222222), np.float64(0.1337630533333333), np.float64(0.4861419311111111)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",164,"[np.float64(0.5925093822222222), np.float64(0.08340273), np.float64(0.5925093822222222), np.float64(0.5925093822222222)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",165,"[np.float64(0.5925093822222222), np.float64(0.08340273), np.float64(0.5925093822222222), np.float64(0.5925093822222222)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",166,"[np.float64(0.5925093822222222), np.float64(0.08340273), np.float64(0.5925093822222222), np.float64(0.5925093822222222)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",167,"[np.float64(0.5925093822222222), np.float64(0.08340273), np.float64(0.5925093822222222), np.float64(0.5925093822222222)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",169,"[np.float64(0.5925093822222222), np.float64(0.08340273), np.float64(0.5925093822222222), np.float64(0.5925093822222222)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",170,"[np.float64(0.5925093822222222), np.float64(0.08340273), np.float64(0.5925093822222222), np.float64(0.5925093822222222)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",171,"[np.float64(0.5925093822222222), np.float64(0.08340273), np.float64(0.5925093822222222), np.float64(0.5925093822222222)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",172,"[np.float64(0.5925093822222222), np.float64(0.08340273), np.float64(0.5925093822222222), np.float64(0.5925093822222222)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",193,"[np.float64(0.089853335220838), np.float64(0.089853335220838), np.float64(0.089853335220838), np.float64(0.1639672763306908)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",197,"[np.float64(0.089853335220838), np.float64(0.089853335220838), np.float64(0.089853335220838), np.float64(0.1639672763306908)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1107,"(33.40502222222223, -88.06157777777779)",1,[np.float64(0.0131752846153846)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",40,[np.float64(0.5126721954545455)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",41,[np.float64(0.5126721954545455)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",43,[np.float64(0.5126721954545455)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",44,[np.float64(0.5126721954545455)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",46,[np.float64(0.5126721954545455)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",47,[np.float64(0.5126721954545455)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",50,[np.float64(0.3260133171428571)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",51,[np.float64(0.3260133171428571)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",52,[np.float64(0.3260133171428571)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",53,[np.float64(0.3260133171428571)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",54,[np.float64(0.3260133171428571)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",55,[np.float64(0.3260133171428571)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",56,[np.float64(0.3260133171428571)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",61,[np.float64(0.0264619011235955)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",62,[np.float64(0.0264619011235955)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",63,[np.float64(0.0264619011235955)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",64,[np.float64(0.0264619011235955)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",65,[np.float64(0.0264619011235955)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",105,[np.float64(0.0131752846153846)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",106,[np.float64(0.0131752846153846)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",107,[np.float64(0.0131752846153846)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",108,[np.float64(0.0131752846153846)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",109,[np.float64(0.0469843844444444)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",110,[np.float64(0.0469843844444444)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",111,[np.float64(0.0469843844444444)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",164,[np.float64(0.1299543266666666)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",165,[np.float64(0.1299543266666666)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",166,[np.float64(0.1299543266666666)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",167,[np.float64(0.1299543266666666)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",169,[np.float64(0.1299543266666666)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",170,[np.float64(0.1299543266666666)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",171,[np.float64(0.1299543266666666)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",172,[np.float64(0.1299543266666666)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",193,[np.float64(0.089853335220838)],[48.416143768186664]
