county_code,gps_county,feed_id,neighbor_values,neighbor_distances
1001,"(32.55997272727273, -86.64500909090908)",1,"[np.float64(0.6788902868131867), np.float64(0.903113745054945), np.float64(0.3224545021978022), np.float64(0.4984764846153846)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",40,"[np.float64(0.6037415147727273), np.float64(1.116631203409091), np.float64(1.355309018181818), np.float64(0.6141889988636363)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",41,"[np.float64(0.6037415147727273), np.float64(1.116631203409091), np.float64(1.355309018181818), np.float64(0.6141889988636363)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",43,"[np.float64(0.6037415147727273), np.float64(1.116631203409091), np.float64(1.355309018181818), np.float64(0.6141889988636363)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",44,"[np.float64(0.6037415147727273), np.float64(1.116631203409091), np.float64(1.355309018181818), np.float64(0.6141889988636363)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",46,"[np.float64(0.6037415147727273), np.float64(1.116631203409091), np.float64(1.355309018181818), np.float64(0.6141889988636363)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",47,"[np.float64(0.6037415147727273), np.float64(1.116631203409091), np.float64(1.355309018181818), np.float64(0.6141889988636363)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",50,"[np.float64(0.8625826685714286), np.float64(0.7884637371428571), np.float64(0.6903389628571429), np.float64(0.75624214)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",51,"[np.float64(0.8625826685714286), np.float64(0.7884637371428571), np.float64(0.6903389628571429), np.float64(0.75624214)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",52,"[np.float64(0.8625826685714286), np.float64(0.7884637371428571), np.float64(0.6903389628571429), np.float64(0.75624214)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
