"PERCENTILE","NET_MERIT"
"99","1221"
"98","834"
"97","775"
"96","736"
"95","705"
"94","679"
"93","657"
"92","637"
"91","620"
"90","604"
"89","590"
"88","577"
"87","564"
"86","552"
"85","541"
"84","530"
"83","520"
"82","509"
"81","500"
"80","490"
"79","481"
"78","472"
"77","463"
"76","455"
"75","446"
"74","438"
"73","430"
"72","422"
"71","414"
"70","406"
"69","398"
"68","391"
"67","383"
"66","376"
"65","368"
"64","361"
"63","354"
"62","346"
"61","339"
"60","332"
"59","325"
"58","317"
"57","310"
"56","303"
"55","295"
"54","288"
"53","281"
"52","273"
"51","266"
"50","258"
"49","251"
"48","244"
"47","236"
"46","229"
"45","221"
"44","213"
"43","205"
"42","197"
"41","189"
"40","181"
"39","172"
"38","164"
"37","156"
"36","147"
"35","138"
"34","129"
"33","119"
"32","110"
"31","100"
"30","90"
"29","80"
"28","69"
"27","58"
"26","47"
"25","35"
"24","23"
"23","10"
"22","-3"
"21","-16"
"20","-30"
"19","-44"
"18","-59"
"17","-74"
"16","-90"
"15","-106"
"14","-123"
"13","-140"
"12","-157"
"11","-175"
"10","-194"
"9","-213"
"8","-233"
"7","-254"
"6","-277"
"5","-301"
"4","-327"
"3","-357"
"2","-392"
"1","-436"
"0","-504"
"-1","-1069"
