,2006-02,2006-05,2006-08,2006-11,2007-02,2007-05,2007-08,2008-01,2008-04,2008-08,2009-01,2009-04,2009-08,2010-01,2010-04,2010-08,2010-12,2011-04,2011-08,2011-12,2012-04,2012-08,2012-12,2013-04,2013-08,2013-12,2014-04,2014-08,2014-12,2015-04,2015-08,2015-12,2016-04,2016-08,2016-12,2017-04,2017-08,2017-12,2018-04,2018-08,2018-12,2019-04,2019-08,2019-12,2020-04,2020-08,2020-12,2021-04,2021-08,2021-12,2022-04,2022-08
100,851,826,811,923,987,959,925,886,852,940,910,903,899,894,779,816,834,818,817,865,946,906,902,887,878,900,928,908,848,925,932,942,988,963,973,928,970,987,983,1039,1054,1038,1049,1064,879,839,839,912,1120,1120,1250,1258
99,395,399,396,400,416,433,428,451,457,490,508,513,520,438,439,441,444,429,441,447,464,473,474,499,507,518,540,561,393,412,444,466,496,520,548,557,589,645,633,675,686,694,708,728,522,520,532,560,719,729,773,821
98,354,358,359,360,373,387,379,399,404,433,453,462,469,386,389,393,397,385,397,402,418,427,430,454,464,476,496,515,345,363,389,408,437,463,493,503,532,583,571,615,631,640,656,676,471,471,485,512,659,669,709,760
97,328,334,336,336,348,361,352,368,373,399,420,430,438,352,357,363,368,358,369,375,389,399,402,427,437,449,469,487,315,332,357,373,401,427,455,468,495,544,530,574,592,602,619,641,436,437,453,480,619,630,668,719
96,309,315,318,318,329,342,333,347,351,375,396,406,414,327,333,340,346,337,348,353,369,378,382,406,417,428,449,466,292,310,333,348,375,399,427,441,467,513,501,543,563,574,591,613,409,411,428,455,588,600,637,687
95,294,300,305,305,315,327,318,331,335,357,378,387,396,307,314,322,327,320,331,337,352,362,365,389,400,412,433,450,274,292,314,328,354,377,404,420,444,488,478,519,539,550,568,591,386,390,407,435,563,575,611,660
94,281,288,293,293,302,315,305,318,321,343,362,372,381,291,298,306,312,306,317,323,338,348,351,374,386,398,418,435,259,277,298,312,337,359,385,402,424,468,457,498,518,530,548,571,366,372,390,417,541,554,589,638
93,270,277,283,283,292,304,294,307,309,331,350,359,367,276,284,293,298,294,305,311,326,336,339,362,374,385,406,423,246,264,284,297,322,343,369,386,408,449,440,480,500,513,531,554,349,355,374,402,522,535,570,619
92,261,267,274,274,282,295,284,296,299,320,338,347,356,263,272,281,287,283,294,300,315,325,328,351,362,374,395,411,234,252,271,285,309,329,354,372,393,433,426,464,485,497,515,539,334,340,359,388,504,518,553,601
91,252,258,266,265,274,286,275,287,290,310,328,337,345,252,260,270,276,273,284,290,305,315,318,341,352,364,385,401,223,242,260,273,297,317,341,359,380,419,412,450,470,483,501,525,320,327,346,375,488,503,537,585
90,243,250,258,257,266,278,267,279,281,302,319,328,336,241,250,260,266,264,275,281,296,306,309,332,343,355,376,391,213,232,250,262,286,305,329,348,368,406,400,437,457,471,489,512,307,315,334,363,473,488,522,570
89,236,242,251,250,259,271,260,272,274,294,311,319,328,232,240,250,257,256,266,273,287,297,301,323,335,347,367,383,204,223,241,253,276,295,318,337,357,394,389,425,446,459,477,500,296,304,322,351,459,475,509,556
88,228,235,244,244,252,264,253,265,267,286,303,311,320,223,232,242,248,248,258,265,279,289,293,315,327,339,359,374,196,214,232,244,267,285,308,328,346,383,379,413,435,448,466,490,285,293,312,341,446,462,496,544
87,222,229,238,238,246,258,246,258,260,280,296,304,312,215,223,233,240,240,251,258,272,282,285,308,319,331,352,367,188,206,224,236,258,276,298,318,337,373,369,403,424,438,456,479,275,283,302,331,434,450,484,531
86,216,222,232,232,240,252,240,252,254,273,289,297,305,207,215,226,233,233,244,251,265,275,278,301,312,324,345,360,181,199,216,228,250,267,290,310,328,363,360,394,414,429,447,470,265,274,293,321,423,439,472,519
85,209,216,226,226,234,246,234,246,248,267,283,290,299,199,208,218,225,226,237,244,258,268,272,294,305,317,338,353,173,192,209,220,242,259,281,302,319,354,352,384,405,420,438,461,256,265,284,312,412,428,461,508
84,204,210,221,221,229,241,229,241,242,261,277,284,293,192,201,211,218,220,230,238,252,262,265,288,299,311,331,346,167,185,202,213,235,251,273,294,311,345,344,376,397,411,430,452,247,257,276,304,401,418,451,497
83,198,205,216,216,224,235,224,235,237,256,271,278,287,185,194,204,211,214,224,232,246,256,259,281,293,304,325,340,160,179,195,206,228,244,265,286,303,337,336,367,388,403,421,444,239,249,267,296,391,408,441,487
82,193,200,211,211,219,230,219,230,231,251,266,273,281,179,188,198,205,208,218,226,240,250,253,276,287,298,319,333,154,173,189,200,222,237,257,279,296,329,328,360,380,395,413,436,231,241,260,288,381,398,431,477
81,188,195,206,206,214,225,214,225,226,245,260,267,275,173,182,191,199,202,212,220,234,244,248,270,281,293,313,328,148,167,183,193,215,230,250,272,289,322,321,352,373,388,406,429,223,233,252,281,372,389,421,468
80,183,190,201,201,209,220,209,220,221,240,255,262,270,167,175,185,193,197,207,215,229,239,242,264,275,287,308,322,142,161,177,187,209,223,244,266,282,314,315,345,365,380,399,421,216,226,245,274,363,380,412,458
79,178,185,197,197,205,216,205,216,217,235,250,257,265,161,169,179,187,191,201,210,223,233,237,259,270,282,302,316,136,155,171,182,203,217,237,259,275,307,308,338,358,373,392,414,209,219,238,267,354,372,403,449
78,173,180,192,193,200,211,200,211,212,231,246,252,260,155,164,174,181,186,196,204,218,228,232,254,265,276,297,311,131,150,165,176,198,211,231,253,269,301,302,331,351,367,385,407,202,212,231,260,346,363,395,440
77,169,175,188,188,196,207,196,207,208,226,241,247,255,150,158,168,176,181,191,199,213,223,227,249,260,271,292,306,126,144,160,171,192,205,225,247,263,294,296,324,345,360,378,401,195,206,224,253,338,355,386,431
76,164,171,184,184,191,203,191,203,203,222,236,242,250,144,153,163,170,176,186,194,208,218,222,244,255,266,287,300,121,139,155,165,187,199,219,241,257,288,290,318,338,354,372,394,188,199,218,247,329,347,378,422
75,159,166,180,180,187,199,187,199,199,218,232,238,245,139,148,157,165,171,181,189,204,213,217,239,250,261,282,296,116,134,150,160,181,194,213,235,251,282,284,312,332,348,366,388,182,193,212,240,322,339,370,414
74,155,162,176,176,183,195,183,195,195,213,228,233,241,134,142,152,160,166,176,185,199,208,212,234,245,257,277,291,111,129,145,155,176,188,207,230,245,276,278,306,326,341,360,381,176,187,206,234,314,331,362,406
73,151,158,172,172,179,191,179,191,191,209,223,229,237,129,137,147,155,162,171,180,194,204,207,229,241,252,273,286,106,125,140,150,171,183,202,225,240,270,272,300,320,336,354,375,169,181,200,228,306,324,354,398
72,147,154,168,169,176,187,176,187,187,205,219,225,232,124,132,142,150,157,167,175,190,199,203,225,236,247,268,281,101,120,135,145,166,177,196,219,234,264,267,294,314,330,348,369,163,175,194,222,299,316,347,389
71,143,150,164,165,172,183,172,183,184,201,215,221,228,119,127,137,145,152,162,171,185,194,198,220,231,243,264,277,97,115,130,140,161,172,191,214,229,259,262,288,308,324,342,363,157,170,188,216,291,309,339,382
70,139,146,160,161,168,179,168,179,180,197,211,217,224,115,123,132,140,148,158,166,181,190,194,216,227,239,259,272,92,111,126,136,157,167,186,209,224,253,256,283,302,318,336,358,152,164,182,210,284,302,332,374
69,135,142,157,157,164,175,164,175,176,194,207,212,220,110,118,128,135,143,153,162,176,186,190,211,223,234,255,268,88,107,121,131,152,162,180,204,219,248,251,277,297,313,331,352,146,158,177,205,277,295,324,366
68,131,138,153,154,161,172,161,172,172,190,203,208,216,105,113,123,131,139,149,158,172,181,185,207,218,230,250,263,83,102,117,126,147,157,175,199,214,243,246,272,291,307,325,346,140,153,171,199,270,288,317,359
67,127,134,150,150,157,168,157,168,169,186,199,204,212,101,109,118,126,135,144,153,168,177,181,203,214,226,246,259,79,98,113,122,143,152,170,194,209,237,241,266,286,302,320,341,134,147,166,194,263,281,310,351
66,123,130,146,147,153,164,154,165,165,183,195,201,208,96,104,114,121,131,140,149,164,173,177,199,210,221,242,254,75,94,108,118,138,148,165,189,204,232,237,261,280,296,314,335,129,142,160,188,256,274,303,344
65,119,126,143,143,150,161,150,161,162,179,192,197,204,92,99,109,117,126,136,145,159,169,173,194,206,217,238,250,70,90,104,113,134,143,160,185,199,227,232,256,275,291,309,330,123,137,155,183,249,267,296,336
64,115,123,139,140,146,157,147,158,158,175,188,193,200,87,95,105,112,122,132,141,155,164,169,190,201,213,234,246,66,85,100,109,130,138,156,180,194,222,227,251,270,286,304,324,118,131,150,178,242,260,289,329
63,112,119,136,136,143,154,143,154,155,172,184,189,196,83,91,100,108,118,128,137,151,160,165,186,197,209,230,242,62,81,96,105,126,134,151,175,189,217,222,246,265,281,298,319,112,126,144,172,236,254,282,322
62,108,115,132,133,139,150,140,151,151,168,181,186,192,79,86,96,104,114,123,133,147,156,161,182,193,205,226,238,58,77,92,101,121,129,146,171,185,212,218,241,260,276,293,314,107,121,139,167,229,247,275,314
61,104,112,129,129,136,147,136,148,148,165,177,182,189,75,82,92,99,110,119,128,143,152,157,178,189,201,221,234,54,73,87,97,117,125,142,166,180,207,213,236,255,271,288,309,101,116,134,162,222,240,268,307
60,101,108,125,126,133,143,133,144,145,162,174,178,185,71,78,87,95,106,115,124,139,148,153,174,185,197,217,230,50,69,83,92,113,120,137,162,175,202,209,231,250,266,283,303,96,111,129,157,216,233,262,300
59,97,104,122,123,129,140,130,141,141,158,170,175,181,66,74,83,91,102,111,120,135,144,149,170,181,193,213,225,46,65,79,88,109,116,133,157,171,198,204,227,245,261,278,298,91,106,124,151,209,227,255,292
58,93,101,118,119,126,137,126,138,138,155,167,171,178,62,69,79,87,98,107,116,131,141,145,166,177,189,209,221,42,61,75,84,105,112,128,153,166,193,200,222,240,256,273,293,86,100,119,146,203,220,248,285
57,90,97,115,116,123,133,123,134,135,151,163,167,174,58,65,75,82,94,103,112,127,137,141,162,173,185,205,217,38,57,71,80,101,108,124,149,162,188,195,217,235,251,268,288,80,95,114,141,196,214,241,278
56,86,93,112,113,119,130,120,131,131,148,160,164,171,54,61,70,78,90,99,108,123,133,137,158,169,181,201,213,34,53,67,76,97,103,119,144,157,184,191,213,230,246,263,283,75,90,109,136,190,207,235,271
55,83,90,108,109,116,127,116,128,128,145,156,160,167,50,57,66,74,86,95,104,120,129,133,154,165,177,198,209,30,49,63,72,93,99,115,140,153,179,186,208,226,241,258,278,70,85,104,131,183,201,228,264
54,79,86,105,106,113,123,113,125,125,141,153,157,163,46,53,62,70,82,91,100,116,125,129,151,161,173,194,205,26,46,60,68,89,95,111,136,148,174,182,203,221,236,253,273,64,80,98,126,177,194,221,256
53,75,83,102,103,109,120,110,121,121,138,149,154,160,42,49,58,65,78,88,96,112,121,125,147,158,169,190,201,22,42,56,65,85,90,106,132,144,170,178,199,216,232,248,267,59,75,93,120,170,188,214,249
52,72,79,98,99,106,117,107,118,118,135,146,150,156,38,45,54,61,75,84,93,108,117,121,143,153,165,186,197,18,38,52,61,81,86,102,127,140,165,173,194,211,227,243,262,54,70,88,115,163,181,208,242
51,68,75,95,96,103,113,103,115,115,131,142,147,153,34,41,49,57,71,80,89,104,113,117,139,150,161,182,193,14,34,48,57,77,82,98,123,135,161,169,189,207,222,238,257,49,65,83,110,157,175,201,234
50,65,72,92,93,99,110,100,112,112,128,139,143,149,30,37,45,53,67,76,85,100,109,113,135,146,157,178,189,10,30,44,53,73,78,93,119,131,156,164,185,202,217,234,252,43,60,78,105,151,168,194,227
49,61,68,88,89,96,106,97,108,108,125,136,140,146,26,33,41,49,63,72,81,96,105,110,131,142,153,174,185,6,26,40,49,69,74,89,115,127,152,160,180,197,213,229,247,38,55,73,100,144,161,188,219
48,57,65,85,86,93,103,93,105,105,121,132,136,142,22,29,37,45,59,68,77,92,101,106,127,138,149,170,181,2,22,36,45,65,69,85,110,123,147,156,176,192,208,224,242,33,50,68,94,137,155,181,212
47,54,61,82,83,89,100,90,102,102,118,129,133,139,18,25,33,40,55,64,73,89,97,102,123,134,145,166,177,-1,18,32,41,61,65,80,106,118,143,151,171,187,203,219,237,27,44,62,89,131,148,174,204
46,50,57,78,80,86,96,87,99,98,115,125,129,135,14,21,29,36,51,60,69,85,93,98,119,130,141,162,173,-5,15,28,37,57,61,76,102,114,138,147,166,183,198,214,232,22,39,57,84,124,142,168,196
45,46,54,75,76,82,93,83,95,95,111,122,126,132,10,17,25,32,48,56,65,81,90,94,115,126,137,158,169,-9,11,24,33,53,57,71,98,109,134,142,162,178,193,209,227,17,34,52,78,117,135,160,189
44,43,50,72,73,79,89,80,92,92,108,118,122,128,6,13,21,28,44,52,61,77,86,90,111,122,133,154,165,-13,7,20,29,49,53,67,93,105,129,138,157,173,188,204,222,11,29,46,73,110,128,153,181
43,39,46,68,69,76,86,76,89,88,104,115,119,125,2,9,17,24,40,48,57,73,82,86,107,118,129,150,161,-17,3,16,25,45,48,63,89,101,124,134,152,168,184,199,217,6,23,41,67,103,121,146,173
42,35,43,65,66,72,82,73,85,85,101,111,115,121,-2,5,13,20,36,45,53,69,78,82,103,114,125,146,157,-21,0,12,21,41,44,59,85,96,120,129,148,164,179,194,212,0,18,36,62,96,114,139,165
41,31,39,61,63,69,79,70,82,82,98,108,112,118,-6,0,8,16,32,41,49,65,74,78,99,110,121,142,153,-25,-4,8,17,37,40,54,81,92,115,125,143,159,174,189,206,-5,13,30,56,89,107,132,157
40,28,35,58,59,65,75,66,78,78,94,104,108,114,-10,-4,4,11,28,37,45,61,70,74,95,106,117,138,149,-29,-8,4,13,33,35,50,76,87,111,120,139,154,169,184,201,-11,7,25,51,82,99,124,149
39,24,31,54,56,62,72,63,75,75,91,101,104,111,-14,-8,0,7,24,33,41,57,65,70,91,102,113,134,145,-33,-12,1,9,29,31,45,72,83,106,116,134,149,164,179,196,-17,1,19,45,75,92,117,140
