Year_Month,Estimated PTA
2006-01,-21.57107843
2006-02,-15.20098039
2006-03,-8.830882353
2006-04,-2.460784314
2006-05,3.909313725
2006-06,10.27941176
2006-07,16.6495098
2006-08,23.01960784
2006-09,29.38970588
2006-10,35.75980392
2006-11,42.12990196
2006-12,48.5
2007-01,54.87009804
2007-02,61.24019608
2007-03,67.61029412
2007-04,73.98039216
2007-05,80.3504902
2007-06,86.72058824
2007-07,93.09068627
2007-08,99.46078431
2007-09,105.8308824
2007-10,112.2009804
2007-11,118.5710784
2007-12,124.9411765
2008-01,131.3112745
2008-02,137.6813725
2008-03,144.0514706
2008-04,150.4215686
2008-05,156.7916667
2008-06,163.1617647
2008-07,169.5318627
2008-08,175.9019608
2008-09,182.2720588
2008-10,188.6421569
2008-11,195.0122549
2008-12,201.3823529
2009-01,207.752451
2009-02,214.122549
2009-03,220.4926471
2009-04,226.8627451
2009-05,233.2328431
2009-06,239.6029412
2009-07,245.9730392
2009-08,252.3431373
2009-09,258.7132353
2009-10,265.0833333
2009-11,271.4534314
2009-12,277.8235294
2010-01,284.1936275
2010-02,290.5637255
2010-03,296.9338235
2010-04,303.3039216
2010-05,309.6740196
2010-06,316.0441176
2010-07,322.4142157
2010-08,328.7843137
2010-09,335.1544118
2010-10,341.5245098
2010-11,347.8946078
2010-12,354.2647059
2011-01,360.6348039
2011-02,367.004902
2011-03,373.375
2011-04,379.745098
2011-05,386.1151961
2011-06,392.4852941
2011-07,398.8553922
2011-08,405.2254902
2011-09,411.5955882
2011-10,417.9656863
2011-11,424.3357843
2011-12,430.7058824
2012-01,437.0759804
2012-02,443.4460784
2012-03,449.8161765
2012-04,456.1862745
2012-05,462.5563725
2012-06,468.9264706
2012-07,475.2965686
2012-08,481.6666667
2012-09,488.0367647
2012-10,494.4068627
2012-11,500.7769608
2012-12,507.1470588
2013-01,513.5171569
2013-02,519.8872549
2013-03,526.2573529
2013-04,532.627451
2013-05,538.997549
2013-06,545.3676471
2013-07,551.7377451
2013-08,558.1078431
2013-09,564.4779412
2013-10,570.8480392
2013-11,577.2181373
2013-12,583.5882353
2014-01,589.9583333
2014-02,596.3284314
2014-03,602.6985294
2014-04,609.0686275
2014-05,615.4387255
2014-06,621.8088235
2014-07,628.1789216
2014-08,634.5490196
2014-09,640.9191176
2014-10,647.2892157
2014-11,653.6593137
2014-12,660.0294118
2015-01,666.3995098
2015-02,672.7696078
2015-03,679.1397059
2015-04,685.5098039
2015-05,691.879902
2015-06,698.25
2015-07,704.620098
2015-08,710.9901961
2015-09,717.3602941
2015-10,723.7303922
2015-11,730.1004902
2015-12,736.4705882
2016-01,742.8406863
2016-02,749.2107843
2016-03,755.5808824
2016-04,761.9509804
2016-05,768.3210784
2016-06,774.6911765
2016-07,781.0612745
2016-08,787.4313725
2016-09,793.8014706
2016-10,800.1715686
2016-11,806.5416667
2016-12,812.9117647
2017-01,819.2818627
2017-02,825.6519608
2017-03,832.0220588
2017-04,838.3921569
2017-05,844.7622549
2017-06,851.1323529
2017-07,857.502451
2017-08,863.872549
2017-09,870.2426471
2017-10,876.6127451
2017-11,882.9828431
2017-12,889.3529412
2018-01,895.7230392
2018-02,902.0931373
2018-03,908.4632353
2018-04,914.8333333
2018-05,921.2034314
2018-06,927.5735294
2018-07,933.9436275
2018-08,940.3137255
2018-09,946.6838235
2018-10,953.0539216
2018-11,959.4240196
2018-12,965.7941176
2019-01,972.1642157
2019-02,978.5343137
2019-03,984.9044118
2019-04,991.2745098
2019-05,997.6446078
2019-06,1004.014706
2019-07,1010.384804
2019-08,1016.754902
2019-09,1023.125
2019-10,1029.495098
2019-11,1035.865196
2019-12,1042.235294
2020-01,1048.605392
2020-02,1054.97549
2020-03,1061.345588
2020-04,1067.715686
2020-05,1074.085784
2020-06,1080.455882
2020-07,1086.82598
2020-08,1093.196078
2020-09,1099.566176
2020-10,1105.936275
2020-11,1112.306373
2020-12,1118.676471
2021-01,1125.046569
2021-02,1131.416667
2021-03,1137.786765
2021-04,1144.156863
2021-05,1150.526961
2021-06,1156.897059
2021-07,1163.267157
2021-08,1169.637255
2021-09,1176.007353
2021-10,1182.377451
2021-11,1188.747549
2021-12,1195.117647
2022-01,1201.487745
2022-02,1207.857843
2022-03,1214.227941
2022-04,1220.598039
2022-05,1226.968137
2022-06,1233.338235
2022-07,1239.708333
2022-08,1246.078431
2022-09,1252.448529
2022-10,1258.818627
2022-11,1265.188725
2022-12,1271.558824
2023-01,1277.928922
2023-02,1284.29902
2023-03,1290.669118
2023-04,1297.039216
2023-05,1303.409314
2023-06,1309.779412
2023-07,1316.14951
2023-08,1322.519608
2023-09,1328.889706
2023-10,1335.259804
2023-11,1341.629902
2023-12,1348
2024-01,1354.370098
2024-02,1360.740196
2024-03,1367.110294
2024-04,1373.480392
2024-05,1379.85049
2024-06,1386.220588
2024-07,1392.590686
2024-08,1398.960784
2024-09,1405.330882
2024-10,1411.70098
2024-11,1418.071078
2024-12,1424.441176
