rufas_id,Name,feed_description,feed_type,units
1,ALFALFA,Meal,Forage,kg
2,ALMOND,Hulls,Conc,kg
3,APPLE,"Pomace, wet",Conc,kg
4,BAKERY BYPRODUCT,Byproduct meal,Conc,kg
5,BAKERY BYPRODUCT,"Bread, waste",Conc,kg
6,BAKERY BYPRODUCT,Cereal byproduct,Conc,kg
7,BAKERY BYPRODUCT,Cookie byproduct,Conc,kg
8,BARLEY,"Grain, rolled",Conc,kg
9,BARLEY,"Grain, steam-rolled",Conc,kg
10,BARLEY,Barley hay,Forage,kg
11,BARLEY,Malt sprouts,Conc,kg
12,BARLEY,"Silage, headed",Forage,kg
13,BARLEY,"Silage, mid maturity",Forage,kg
14,BARLEY,"Silage, vegetative",Forage,kg
15,"BEET, SUGAR",Pulp dried,Conc,kg
16,"BEET, SUGAR","Pulp dried, molasses added ",Conc,kg
17,"BEET, SUGAR",Pulp wet,Conc,kg
18,BERMUDAGRASS,Hay,Forage,kg
19,BERMUDAGRASS,"Tifton-85, hay, 3-4wk growth",Forage,kg
20,BERMUDAGRASS,"Silage, mature",Forage,kg
21,BERMUDAGRASS,"Silage, mid maturity",Forage,kg
22,BLOOD,"Meal, high dRUP",Conc,kg
23,BLOOD,"Meal, low dRUP",Conc,kg
24,BREWERS GRAINS,Dried,Conc,kg
25,BREWERS GRAINS,Wet,Conc,kg
26,BREWERS YEAST,Dried,Conc,kg
27,BREWERS YEAST,Wet,Conc,kg
28,CANDY,"Not chocolate, byproduct",Conc,kg
29,CANDY,"High protein, byproduct",Conc,kg
30,CANOLA,Seed,Conc,kg
31,CANOLA,Meal,Conc,kg
32,CHOCOLATE,Byproduct,Conc,kg
33,CITRUS,Pulp dried,Conc,kg
34,CITRUS,Pulp wet,Conc,kg
35,"CORN, YELLOW",Cobs,Conc,kg
36,"CORN, YELLOW","Gluten feed, dried",Conc,kg
37,"CORN, YELLOW","Gluten feed, wet ",Conc,kg
38,"CORN, YELLOW",Germ ,Conc,kg
39,"CORN, YELLOW",Germ meal,Conc,kg
40,"CORN, YELLOW","Grain and cob, dry, ground",Conc,kg
41,"CORN, YELLOW","Grain and cob, high moisture, ground",Conc,kg
42,"CORN, YELLOW","Gluten meal, dried",Conc,kg
43,"CORN, YELLOW","Grain, cracked, dry",Conc,kg
44,"CORN, YELLOW","Grain, ground, dry",Conc,kg
45,"CORN, YELLOW","Corn grain dry, fine grind",Conc,kg
46,"CORN, YELLOW","Grain, ground, high moisture",Conc,kg
47,"CORN, YELLOW","Grain, steam-flaked",Conc,kg
48,"CORN, YELLOW","Grain, rolled, high moisture",Conc,kg
49,"CORN, YELLOW",Hominy feed,Conc,kg
50,"CORN, YELLOW","Corn silage, immature",Forage,kg
51,"CORN, YELLOW","Corn silage, mid maturity",Forage,kg
52,"CORN, YELLOW","Corn silage, mature",Forage,kg
53,"CORN, YELLOW","Corn stalks, ensiled, low DM",Forage,kg
54,"CORN, YELLOW","Corn stalks, ensiled, high DM",Forage,kg
55,"CORN, YELLOW","Corn, ear w husk, stlk, hi fbr",Conc,kg
56,"CORN, YELLOW","Corn, ear, huks, stlk, low fbr",Conc,kg
57,COTTON SEED,Gin trash ,Conc,kg
58,COTTON SEED,Whole  ,Conc,kg
59,COTTON SEED,Hulls,Conc,kg
60,COTTON SEED,Meal,Conc,kg
61,DESTILLERY BYPRODUCT,"DDGS, high fat",Conc,kg
62,DESTILLERY BYPRODUCT,"DDGS, high protein",Conc,kg
63,DESTILLERY BYPRODUCT,"DDGS, low fat",Conc,kg
64,DESTILLERY BYPRODUCT,DGS modified,Conc,kg
65,DESTILLERY BYPRODUCT,DGS wet,Conc,kg
66,DESTILLERY BYPRODUCT,Distillers solubles,Conc,kg
67,FATS AND OILS,Calcium soaps,Conc,kg
68,FATS AND OILS,"Fat, canola oil",Conc,kg
69,FATS AND OILS,"Fat, corn oil",Conc,kg
70,FATS AND OILS,"Fat, cottonseed oil",Conc,kg
71,FATS AND OILS,"Fat, safflower oil",Conc,kg
72,FATS AND OILS,"Fat, lard",Conc,kg
73,FATS AND OILS,"Fat, flaxseed oil",Conc,kg
74,FATS AND OILS,"Fat, soybean oil",Conc,kg
75,FATS AND OILS,"Fat, sunflower oil",Conc,kg
76,FATS AND OILS,Vegetable oil,Conc,kg
77,FATS AND OILS,Hydrolyzed tallow fatty acids,Conc,kg
78,FATS AND OILS,Partially hydrogenated tallow,Conc,kg
79,FATS AND OILS,Tallow,Conc,kg
80,FEATHERS,Hydrolyzed meal,Conc,kg
81,FEATHERS,Hydrolyzed meal with some viscera,Conc,kg
82,FISH BYPRODUCTS,"Anchovy, meal, mech.",Conc,kg
83,FISH BYPRODUCTS,"Menhaden, meal, mech.",Conc,kg
84,FRUIT AND VEGETABLE,"Byproduct, wet",Conc,kg
85,GLYCEROL,Glycerol,Conc,kg
86,GRAIN SCREENINGS,Source unknown ,Conc,kg
87,"GRASSES, COOL SEASON","Hay, all samples",Forage,kg
88,"GRASSES, COOL SEASON","Hay, mature",Forage,kg
89,"GRASSES, COOL SEASON","Hay, mid mature",Forage,kg
90,"GRASSES, COOL SEASON","Hay, immature",Forage,kg
91,"GRASSES, COOL SEASON","Silage, all samples",Forage,kg
92,"GRASSES, COOL SEASON",Pasture,Forage,kg
93,GRASS-Legume MIXTURES Pr. GR.Â  (17-22% Hcel.),"Hay, immature",Forage,kg
94,GRASS-Legume MIXTURES Pr. GR.Â  (17-22% Hcel.),"Hay, mid-maturity",Forage,kg
95,GRASS-Legume MIXTURES Pr. GR.Â  (17-22% Hcel.),"Hay, mature",Forage,kg
96,GRASS-Legume MIXTURES Pr. GR.Â  (17-22% Hcel.),"Silage, immature",Forage,kg
