entry,feed_name,description,type,units
1,ALFALFA,"Meal, 17% CP",Forage,kg
2,ALMOND,Hulls,Conc,kg
3,APPLE,"Pomace, wet",Conc,kg
4,BAKERY BYPRODUCT,Byproduct meal,Conc,kg
5,BAKERY BYPRODUCT,"Bread, waste",Conc,kg
6,BAKERY BYPRODUCT,Cereal byproduct,Conc,kg
7,BAKERY BYPRODUCT,Cookie byproduct,Conc,kg
8,BARLEY,"Grain, rolled",Conc,kg
9,BARLEY,Malt sprouts,Conc,kg
10,BARLEY,"Silage, headed",Forage,kg
11,"BEET, SUGAR",Pulp dried,Conc,kg
12,BERMUDAGRASS,"Coastal, hay, early head",Forage,kg
13,BERMUDAGRASS,"Tifton-85, hay, 3-4wk growth",Forage,kg
14,BLOOD,"Meal, ring dried",Conc,kg
15,BLOOD,"Meal, batch dried",Conc,kg
16,BREWERS GRAINS,Dried,Conc,kg
17,BREWERS GRAINS,Wet,Conc,kg
18,CANOLA,Seed,Conc,kg
19,CANOLA,"Meal, mech. Extracted",Conc,kg
20,CHOCOLATE,Byproduct,Conc,kg
21,CITRUS,Pulp dried,Conc,kg
22,"CORN, YELLOW",Cobs,Conc,kg
23,"CORN, YELLOW","Distillers grains with solubles, dried",Conc,kg
24,"CORN, YELLOW","Gluten feed, dried",Conc,kg
25,"CORN, YELLOW","Gluten meal, dried",Conc,kg
26,"CORN, YELLOW","Grain, cracked, dry",Conc,kg
27,"CORN, YELLOW","Grain, ground, dry",Conc,kg
28,"CORN, YELLOW","Grain, steam-flaked",Conc,kg
29,"CORN, YELLOW","Grain, rolled, high moisture",Conc,kg
30,"CORN, YELLOW","Grain, ground, high moisture",Conc,kg
31,"CORN, YELLOW","Grain and cob, dry, ground",Conc,kg
32,"CORN, YELLOW","Grain and cob, high moisture, ground",Conc,kg
33,"CORN, YELLOW",Hominy,Conc,kg
34,"CORN, YELLOW",Silage,Forage,kg
38,COTTON SEED,Whole seeds with lint,Conc,kg
39,COTTON SEED,Hulls,Conc,kg
40,COTTON SEED,"Meal, solvent, 41% CP",Conc,kg
41,FATS AND OILS,Calcium soaps,Conc,kg
42,FATS AND OILS,Hydrolyzed tallow fatty acids,Conc,kg
43,FATS AND OILS,Partially hydrogenated tallow,Conc,kg
44,FATS AND OILS,Tallow,Conc,kg
45,FATS AND OILS,Vegetable oil,Conc,kg
46,FEATHERS,Hydrolyzed meal,Conc,kg
