.,,,,,,,,
.,,,,,,,,
.,,,,,,,,
.,,,,,,,,
.,,,,,,,,
.,,,,,,,,
.,,,,,,,,
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2006,121,0,2.2,271.0893125,0,10.71,5.319,0
2006,122,0,1,52.590875,0,10.39,6.552,0
2006,123,0,8,100.7471667,0,13.14,6.465,0
2006,124,0,12.8,30.50616667,0,12.36,8.23,0
2006,125,0,0,274.18625,0,14.45,4.715,0
2006,126,0,0,217.758875,0,14.99,8.32,0
2006,127,0,0,273.510875,0,14.95,5.885,0
2006,128,0,9.4,120.2289167,0,17.53,9.2,0
2006,129,0,0.2,234.5285417,0,18.34,8.56,0
2006,130,0,0,278.2817917,0,19.67,6.062,0
2006,131,0,0,250.2292917,0,21.34,4.282,0
2006,132,0,1.8,165.304875,0,17.4,5.899,0
2006,133,0,0,241.08025,0,13.56,3.434,0
2006,134,0,6.6,81.75345833,0,10.65,7.09,0
2006,135,0,5.6,78.14391667,0,12.18,10.31,0
2006,136,0,7.2,146.3938333,0,16.33,8.22,0
2006,137,0,7.6,76.72120833,0,13.94,10.39,0
2006,138,0,1.2,208.83875,0,15.77,9.39,0
2006,139,0,3,137.8079167,0,14.67,9.55,0
2006,140,0,3,142.933625,0,11.4,3.196,0
2006,141,0,7.6,88.03229167,0,9.18,0.331,0
2006,142,0,0.6,158.5064167,0,10.06,1.74,0
2006,143,0,5.8,192.6255,0,11.61,2.008,0
2006,144,0,1.2,227.9654583,0,12.02,4.411,0
2006,145,0,0.2,272.14875,0,15.1,1.257,0
2006,146,0,7.2,197.876375,0,17.72,9.77,0
2006,147,0,4.6,199.4093333,0,16.29,9.64,0
2006,148,0,0,204.8452083,0,14.65,7.4,0
2006,149,0,0,245.1557917,0,12.75,5.51,0
2006,150,0,0,332.5972083,0,12.38,5.922,0
2006,151,0,0,290.8985833,0,15.81,1.411,0
2006,152,0,0,267.5770417,0,18.47,6.436,0
2006,153,0,0,331.931625,0,20.66,6.271,0
2006,154,0,0,323.4829167,0,22,3.69,0
2006,155,0,0,210.7769167,0,18.49,10.14,0
2006,156,0,0,252.6251667,0,22,7.08,0
2006,157,0,1.4,289.940625,0,25.82,7.8,0
2006,158,0,0,186.229375,0,20.78,9.83,0
2006,159,0,0,303.1786667,0,24.75,7.63,0
2006,160,0,0,323.3924583,0,23.19,11.47,0
2006,161,0,0.6,178.0127083,0,21.19,14.79,0
2006,162,0,0,338.932125,0,20.36,13.27,0
2006,163,0,0.8,237.5081667,0,20.52,11.92,0
2006,164,0,0,230.8858333,0,16.97,10.89,0
2006,165,0,0,193.4082917,0,17.68,5.189,0
2006,166,0,0,189.3669583,0,19.6,3.492,0
2006,167,0,1.8,102.236,0,17.01,13.14,0
2006,168,0,0.2,165.5338333,0,20.5,12.84,0
2006,169,0,0,87.557625,0,16.75,12.68,0
2006,170,0,0,152.0451667,0,15.62,11.84,0
2006,171,0,0,112.9620833,0,14.82,9.94,0
2006,172,0,15.2,196.5274167,0,14.15,9.42,0
2006,173,0,1,84.37645833,0,13.26,9.3,0
2006,174,0,0,178.4157083,0,16.46,8.87,0
2006,175,0,0,183.368125,0,17.43,5.54,0
2006,176,0,0,298.3617083,0,18.48,4.245,0
2006,177,0,0,146.3200417,0,15.74,8.71,0
2006,178,0,0,173.121,0,18.62,6.907,0
2006,179,0,0,224.8635,0,18.84,6.68,0
2006,180,0,0,141.3049167,0,18.21,13.96,0
2006,181,0,5.6,197.897625,0,21.44,13.63,0
2006,182,0,0,300.6660833,0,22.49,11.5,0
2006,183,0,0.6,167.1815417,0,22,9.58,0
2006,184,0,0.2,264.730875,0,21.14,12.08,0
