.,,,,,,,,
.,,,,,,,,
.,,,,,,,,
.,,,,,,,,
.,,,,,,,,
.,,,,,,,,
.,,,,,,,,
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2006,302,12960,4,84.89288235,0,12.86,7.85,0
2006,303,3600,12,31.30464,0,14.64,9.89,0
2006,304,26640,1.2,58.3864,0,11.08,3.578,0
2006,305,26640,0,73.43,0,9.43,0.078,0
2006,306,29520,0,73.84668,0,9.9,-1.794,0
2006,307,23760,0,70.71748,0,8.25,-3.109,0
2006,308,12600,0,50.98456,0,11.75,5.706,0
2006,309,0,0,27.5976,0,10.71,8.32,0
2006,310,25200,0.4,68.12488,0,10.02,4.331,0
2006,311,1800,3.2,27.9878,0,12.11,8.62,0
2006,312,14400,4.4,34.68176,0,11.06,5.159,0
2006,313,19080,0,57.7406,0,9.32,1.547,0
2006,314,0,10.4,7.56524,0,12.79,6.102,0
2006,315,0,5.6,23.95304,0,10.59,5.496,0
2006,316,6120,3.2,30.69936,0,12.38,6.232,0
2006,317,6840,1.2,35.449,0,12.68,8.26,0
2006,318,14040,1.6,35.58876,0,9.13,5.33,0
2006,319,0,66.4,5.27988,0,7.49,5.478,0
2006,320,16200,3.2,42.36492,0,6.541,4.135,0
2006,321,8640,16,29.78108,0,5.068,0.837,0
2006,322,3240,1.2,24.21584,0,4.8,2.178,0
2006,323,1080,16,14.7568,0,10.71,1.017,0
2006,324,14760,4,37.595,0,7.75,3.712,0
2006,325,7560,0.8,28.46908,0,7.52,2.206,0
2006,326,0,4.8,11.57636,0,8.28,3.866,0
2006,327,360,8.4,14.11768,0,9.31,4.356,0
2006,328,0,38.8,4.18924,0,9.54,2.443,0
2006,329,15840,4.4,34.95824,0,8.21,4.407,0
2006,330,16560,4.8,34.51448,0,11.29,4.582,0
2006,331,16200,14.8,30.98436,0,11.48,8.88,0
2006,332,6120,3.6,19.06776,0,9.49,5.17,0
2006,333,4680,0,20.30104,0,11.69,6.078,0
2006,334,0,28.4,4.5642,0,12.37,11.02,0
2006,335,2880,3.6,18.95816,0,12.69,4.606,0
2006,336,12960,11.6,28.06764,0,10.5,5.055,0
2006,337,0,38,6.99584,0,11.3,4.764,0
2006,338,5400,18,16.95632,0,12.11,5.908,0
2006,339,7200,1.2,21.24232,0,10.28,5.09,0
2006,340,12240,18.4,27.81932,0,8.42,4.578,0
2006,341,2160,18.8,14.04444,0,7.56,5.672,0
2006,342,18000,0.8,34.2826,0,6.559,2.528,0
2006,343,17640,1.6,31.90804,0,4.718,2.549,0
2006,344,0,22,6.73368,0,12.23,4.876,0
2006,345,14760,1.6,28.97504,0,11.15,3.942,0
2006,346,6840,14,22.16624,0,8.97,4.057,0
2006,347,0,8,6.57744,0,12.38,6.203,0
2006,348,0,24,9.20816,0,12.48,6.034,0
2006,349,0,0,5.06544,0,6.329,2.533,0
2006,350,14400,0.4,30.07128,0,5.987,1.95,0
2006,351,0,2,15.70356,0,6.099,3.03,0
2006,352,0,0,9.03336,0,6.102,-1.123,0
2006,353,0,0.8,15.09428,0,2.129,-1.645,0
2006,354,3600,0.4,22.21372,0,2.118,-1.747,0
2006,355,12600,0.4,28.82904,0,6.875,1.039,0
2006,356,720,0,11.78524,0,8.29,0.593,0
2006,357,16200,0,32.61464,0,4.823,-2.727,0
2006,358,0,0,10.14224,0,5.451,2.565,0
2006,359,0,0.8,11.06928,0,6.574,3.987,0
2006,360,0,4.4,2.54696,0,7.17,5.382,0
2006,361,0,12,5.4948,0,8.01,5.196,0
2006,362,6480,1.6,21.25052,0,10.53,4.767,0
2006,363,7560,8.8,16.99936,0,12.86,7.27,0
2006,364,14400,6.4,28.45564,0,7.23,4.146,0
2006,365,1800,18.4,12.72576,0,10.57,4.468,0
2007,1,2160,4.8,17.60645833,0,5.441,2.735,0
2007,2,9000,3.6,26.24933333,0,7.96,3.808,0
2007,3,0,3,9.645833333,0,11.79,7.76,0
2007,4,8640,0.6,21.34095833,0,8.85,7.46,0
2007,5,16200,1,31.82133333,0,9.33,5.178,0
2007,6,11520,0.6,22.19016667,0,8.71,4.873,0
2007,7,0,6.2,7.075916667,0,9.57,4.098,0
2007,8,0,8.2,6.800208333,0,11.9,3.058,0
2007,9,5400,4.4,21.11291667,0,11.71,5.512,0
2007,10,19800,2.6,36.89608333,0,6.558,3.741,0
2007,11,1080,8.4,15.61879167,0,9.19,6.078,0
2007,12,0,0.4,11.81983333,0,12.67,6.691,0
2007,13,0,0.8,-0.414888889,0,9.78,7.4,0
