year,yield
,kg/ha
1970,1302.338633357327
1971,0.0
1972,5968.336756158543
1973,0.0
1974,8401.300448188373
1975,0.0
1976,10205.201583132131
1977,9461.753146430485
1978,0.0
1979,9075.48727642686
1980,0.0
1981,8401.394591757136
1982,0.0
1983,10205.197190910094
1984,9564.696037855078
1985,0.0
1986,9075.643096703612
1987,0.0
1988,8401.394719865568
1989,0.0
1990,10205.192288365783
1991,9570.181933512431
1992,0.0
1993,9075.689980453555
1994,8401.394592820216
1995,0.0
1996,10056.876636872774
1997,0.0
1998,10061.610255086725
1999,0.0
2000,9052.964757487953
2001,8401.40136863022
2002,0.0
2003,10056.92410781367
2004,0.0
2005,10061.610212411597
2006,0.0
2007,9051.779382053706
2008,8401.400998888366
2009,0.0
2010,10056.86252759187
2011,0.0
2012,10061.61021241084
2013,0.0
2014,9051.779562645017
2015,8401.40103884584
2016,0.0
2017,10056.769325078467
2018,0.0
2019,10059.294856293005
2020,0.0
2021,9051.782420256503
2022,8401.401557416879
2023,0.0
2024,10049.944309969722
2025,0.0
2026,10059.816665831253
2027,0.0
2028,9039.992917908567
2029,8471.174722205971
2030,0.0
2031,10046.691933581193
2032,0.0
2033,10070.130355189553
2034,0.0
2035,9039.995956189805
2036,0.0
2037,8544.636282212048
2038,0.0
2039,10205.452983816518
2040,9451.333948104188
2041,0.0
2042,9014.195587100823
2043,0.0
2044,8240.240158060551
2045,0.0
2046,10322.469692033525
2047,0.0
2048,9542.154402748642
2049,0.0
2050,7328.910313332923
2051,0.0
2052,9449.030515194398
2053,0.0
2054,9455.970644817915
2055,0.0
2056,8726.991521340931
2057,0.0
2058,7756.298198356086
2059,0.0
2060,8984.880080235367
2061,0.0
2062,7809.680279913479
2063,0.0
2064,7582.897645033131
2065,0.0
2066,7085.400824049209
2067,0.0
2068,7301.83575490653
2069,0.0
