year,manure_P_applied,P_uptake,fert_P_leach,M_leach,DRP_leach,M_DRP_runoff,fert_P_runoff,DRP_runoff,MIP_runoff,MOP_runoff
,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
1970,18300.0,20.349837802162074,0.0,0.0,0.06659365810513093,149.48711639925799,0.0,67.79058752505001,0.0,0.0
1971,0.0,41.7468993618912,0.0,0.0,0.03815442181292987,111.61582576439834,0.0,44.20722703120692,0.0,0.0
1972,0.0,62.25010855856546,0.0,0.0,0.033864502343231004,107.05366330383539,0.0,33.501324492726475,0.0,0.0
1973,0.0,78.08555396980019,0.0,0.0,0.0339178495660346,114.5495085592647,0.0,63.12126889169018,0.0,0.0
1974,0.0,97.27398163275842,0.0,0.0,0.05239949694746073,127.63878703560007,0.0,48.400487831962,0.0,0.0
1975,0.0,126.48040481949155,0.0,0.0,0.04641536834171071,94.0942078411722,0.0,39.668349394803656,0.0,0.0
1976,0.0,144.60192711914598,0.0,0.0,0.2938774916430402,108.7314180837439,0.0,63.858380211628166,0.0,0.0
1977,0.0,156.02106917627793,0.0,0.0,2.4157199320524185,134.22783854177825,0.0,63.997451346364855,0.0,0.0
1978,0.0,170.52659724151508,0.0,0.0,7.438635036161241,92.34110889337298,0.0,33.53376940680264,0.0,0.0
1979,0.0,189.2710476762737,0.0,0.0,19.41276476296605,90.25342246535143,0.0,28.23438891077801,0.0,0.0
1980,0.0,204.62635352953956,0.0,0.0,43.898139986368214,98.30696541910703,0.0,53.24691981812762,0.0,0.0
1981,0.0,223.76113042145474,0.0,0.0,94.12177127468021,107.0441899040275,0.0,40.6112493003327,0.0,0.0
1982,0.0,252.76887627353895,0.0,0.0,83.49711030507902,78.64880450722731,0.0,33.19739617886134,0.0,0.0
1983,0.0,270.32469747781414,0.0,0.0,177.0345712253217,92.28490235244618,0.0,53.24060199285389,0.0,0.0
1984,0.0,281.6565452195542,0.0,0.0,174.7283243537969,111.16430711339707,0.0,52.95790434525543,0.0,0.0
1985,0.0,293.32354475426257,0.0,0.0,100.75011914744253,76.1342882270233,0.0,27.6808987270329,0.0,0.0
1986,0.0,309.9315087026157,0.0,0.0,90.60470824454396,74.12765531607761,0.0,23.176706188059953,0.0,0.0
1987,0.0,324.95242676012236,0.0,0.0,94.89376229234055,78.90692550861449,0.0,43.437633657414736,0.0,0.0
1988,0.0,345.1984414530222,0.0,0.0,131.0919871112073,87.2658124773579,0.0,33.31535608611748,0.0,0.0
1989,0.0,374.3130520533576,0.0,0.0,95.14857822985051,63.83779434736486,0.0,27.18130008193938,0.0,0.0
1990,0.0,391.6031692112585,0.0,0.0,188.61295119514907,74.47775841936979,0.0,43.03853943611855,0.0,0.0
1991,0.0,403.0871156190813,0.0,0.0,182.41340922597186,89.06526420493819,0.0,42.36272288340817,0.0,0.0
1992,0.0,412.9504312726305,0.0,0.0,105.62882544956238,61.896929791845196,0.0,22.411635920775794,0.0,0.0
1993,0.0,429.45746338594944,0.0,0.0,93.37843837891951,57.37603745122705,0.0,17.93529622303119,0.0,0.0
1994,0.0,445.00427430136705,0.0,0.0,94.9433339778536,63.4347284755672,0.0,34.30976569201233,0.0,0.0
1995,0.0,465.5576620424008,0.0,0.0,130.65547040476866,68.32271401803487,0.0,26.062150146007383,0.0,0.0
1996,0.0,492.7997037683111,0.0,0.0,96.27258113669753,50.76656153947449,0.0,21.16536934752673,0.0,0.0
1997,0.0,508.2759318838384,0.0,0.0,190.4454392071803,58.48731804029537,0.0,33.21113368101424,0.0,0.0
1998,0.0,519.9673298044285,0.0,0.0,182.0778647100599,68.8606879567112,0.0,32.61074659629027,0.0,0.0
1999,0.0,530.1508380258684,0.0,0.0,105.74228170640203,45.661008617254346,0.0,16.498809433685878,0.0,0.0
2000,0.0,547.9327041859713,0.0,0.0,93.33888668346911,42.86384295604518,0.0,13.404445698000202,0.0,0.0
2001,0.0,564.2679716638283,0.0,0.0,92.01926604993224,46.11898949577982,0.0,25.222090405177212,0.0,0.0
2002,0.0,585.8340055389375,0.0,0.0,124.4598675795624,50.15202404205312,0.0,18.83393712471702,0.0,0.0
2003,0.0,615.750966834164,0.0,0.0,94.34763323799697,35.97420657144684,0.0,15.217227209338617,0.0,0.0
2004,0.0,632.9243389250204,0.0,0.0,189.8785556479183,41.73863404174739,0.0,23.661234925327275,0.0,0.0
2005,0.0,644.7860934145054,0.0,0.0,189.5045380680768,48.14739017353968,0.0,22.726462705532484,0.0,0.0
2006,0.0,654.6792872241892,0.0,0.0,98.3360864578464,31.32410202180152,0.0,11.315068290910567,0.0,0.0
2007,0.0,672.6784828920327,0.0,0.0,92.26600906417342,28.90591212569726,0.0,9.025049395559925,0.0,0.0
2008,0.0,709.4349739438171,0.0,0.0,92.04485097556474,30.67234826432816,0.0,16.700348726084332,0.0,0.0
2009,0.0,745.6380474908362,0.0,0.0,121.19752792609395,32.6203316666523,0.0,13.28963785996367,0.0,0.0
2010,0.0,771.8179935475108,0.0,0.0,97.07750504773716,22.82536701059109,0.0,8.64631915462535,0.0,0.0
2011,0.0,786.5987319026697,0.0,0.0,191.2716655386336,25.672502401288394,0.0,14.547138992881438,0.0,0.0
2012,0.0,798.4251951403105,0.0,0.0,189.36222003310155,28.291574123751214,0.0,13.252858643742737,0.0,0.0
2013,0.0,808.7162691262082,0.0,0.0,98.01534134095733,17.582782008066857,0.0,6.330818142971881,0.0,0.0
