year,actual,calculated,difference,delta,runoff,evaporation,transpiration,drainage
,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O
1970,1083.818,1083.818,0.0,-12.512,285.418,279.195,90.577,441.14
1971,781.05,781.05,0.0,10.71,186.249,251.045,71.667,261.38
1972,722.376,722.376,-0.0,-8.52,143.742,256.81,93.589,236.755
1973,896.874,896.874,-0.0,-0.238,276.109,265.55,116.586,238.866
1974,872.744,872.744,0.0,5.794,216.42,237.023,89.243,324.265
1975,777.24,777.24,0.0,18.857,181.194,233.324,131.423,212.442
1976,1140.714,1140.714,0.0,-18.102,300.047,267.402,111.369,479.998
1977,1134.872,1134.872,-0.0,22.784,311.384,279.937,63.742,457.025
1978,729.996,729.996,-0.0,-22.438,167.3,254.965,66.934,263.235
1979,722.376,722.376,-0.0,-6.665,143.665,254.626,94.448,236.302
1980,896.874,896.874,0.0,-1.117,276.939,266.597,116.586,237.868
1981,872.744,872.744,0.0,4.816,216.563,237.149,90.337,323.879
1982,777.24,777.24,0.0,1.938,181.413,233.661,128.631,231.596
1983,1140.714,1140.714,-0.0,0.675,300.615,268.894,103.309,467.221
1984,1135.634,1135.634,-0.0,21.892,311.375,281.784,63.602,456.981
1985,729.234,729.234,-0.0,-23.528,167.544,257.474,63.711,264.034
1986,722.376,722.376,0.0,-6.441,143.547,252.953,97.525,234.792
1987,896.874,896.874,-0.0,0.665,276.039,264.834,117.013,238.323
1988,873.252,873.252,0.0,4.032,217.995,243.052,80.443,327.73
1989,776.732,776.732,0.0,1.087,183.004,248.235,106.535,237.871
1990,1140.714,1140.714,-0.0,0.951,301.236,274.387,92.608,471.532
1991,1135.634,1135.634,0.0,23.238,311.238,279.875,65.25,456.034
1992,750.57,750.57,0.0,-6.488,170.53,258.787,63.669,264.072
1993,701.04,701.04,-0.0,-24.859,140.334,252.382,99.737,233.446
1994,896.874,896.874,-0.0,1.43,276.847,265.062,116.178,237.358
1995,873.252,873.252,-0.0,4.633,217.896,241.54,82.545,326.639
1996,776.732,776.732,0.0,0.108,183.29,249.978,102.674,240.681
1997,1140.714,1140.714,0.0,0.647,301.86,278.668,83.425,476.114
1998,1153.922,1153.922,-0.0,36.891,315.166,279.555,67.115,455.195
1999,732.282,732.282,0.0,-18.861,166.675,257.942,62.17,264.356
2000,701.04,701.04,-0.0,-26.275,140.302,253.291,100.375,233.347
2001,896.874,896.874,-0.0,-0.125,274.669,262.933,129.349,230.048
2002,873.252,873.252,-0.0,5.864,214.629,228.319,113.289,311.15
2003,776.732,776.732,0.0,1.82,181.77,233.987,123.286,235.869
2004,1140.714,1140.714,0.0,-0.356,301.707,275.549,89.118,474.696
2005,1154.684,1154.684,0.0,18.757,315.137,278.632,68.396,473.761
2006,736.854,736.854,0.0,3.868,166.823,259.659,60.664,245.84
2007,695.706,695.706,0.0,-29.825,139.902,249.678,105.286,230.665
2008,896.874,896.874,0.0,-6.927,273.984,257.317,142.388,230.112
2009,924.56,924.56,0.0,42.559,234.024,222.34,122.643,302.994
2010,725.424,725.424,0.0,-29.12,163.098,249.825,98.928,242.694
2011,1140.714,1140.714,0.0,0.619,302.304,281.115,78.497,478.179
2012,1154.684,1154.684,-0.0,17.371,315.101,280.444,68.363,473.406
2013,736.854,736.854,0.0,3.742,166.767,259.709,61.599,245.038
2014,696.976,696.976,0.0,-28.4,139.576,247.18,110.114,228.506
2015,895.604,895.604,0.0,-6.775,273.825,255.886,143.955,228.714
2016,925.068,925.068,0.0,41.875,235.098,225.264,117.62,305.212
2017,724.916,724.916,0.0,-29.428,164.121,253.922,88.915,247.387
2018,1140.714,1140.714,0.0,0.532,302.57,283.0,75.491,479.122
2019,1154.684,1154.684,0.0,18.448,315.036,279.118,69.257,472.825
2020,736.854,736.854,0.0,-9.097,166.768,261.184,61.603,256.395
2021,707.136,707.136,-0.0,-6.929,139.462,246.54,112.401,215.663
2022,885.444,885.444,-0.0,-16.305,274.603,255.611,144.305,227.231
2023,925.068,925.068,0.0,42.172,233.951,222.712,123.572,302.661
2024,724.916,724.916,0.0,-29.517,163.19,250.277,97.806,243.159
2025,1140.714,1140.714,0.0,0.229,302.765,284.923,72.034,480.764
