year,manure_applied,manure_N_applied,manure_P_applied,fert_applied,fert_N_applied,fert_P_applied,fert_K_applied
,kg,kg,kg,kg,kg,kg,kg
1970,2.0354193289150326,578.6295195619747,300.0,0.0,0.0,0.0,0.0
1971,67.85257450066194,20324.03173223559,10500.0,0.0,0.0,0.0,0.0
1972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974,1.7299331106266307,596.649246047921,300.0,0.0,0.0,0.0,0.0
1975,60.20486935765206,20937.040954972057,10500.0,0.0,0.0,0.0,0.0
1976,59.84889233436796,20994.493756899294,10500.0,0.0,0.0,0.0,0.0
1977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978,1.6947647271686248,602.3021931848403,300.0,0.0,0.0,0.0,0.0
1979,59.200728895320964,21099.916445711937,10500.0,0.0,0.0,0.0,0.0
1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,1.6812307788301697,604.6638905263572,300.0,0.0,0.0,0.0,0.0
1983,58.79415974005081,21172.56659475601,10500.0,0.0,0.0,0.0,0.0
1984,100.68110467148726,36315.79437561628,18000.0,0.0,0.0,0.0,0.0
1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,1.6748951035722488,605.8424043689502,300.0,0.0,0.0,0.0,0.0
1987,58.593784327322744,21209.687324154853,10500.0,0.0,0.0,0.0,0.0
1988,61.90433218562262,22428.63549584696,11100.0,0.0,0.0,0.0,0.0
1989,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,29.22022238210545,10606.543649822734,5246.064281316418,0.0,0.0,0.0,0.0
1991,98.55090612215082,35792.24277770455,17700.0,0.0,0.0,0.0,0.0
1992,58.43643593472181,21237.092046091435,10500.0,0.0,0.0,0.0,0.0
1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,1.6681238156661402,607.0332209976747,300.0,0.0,0.0,0.0,0.0
