year,actual,calculated,difference,delta,P_drainage,P_runoff,P_erosion,P_uptake
,kg,kg,kg,kg,kg,kg,kg,kg
1970,300.0,212.1794206697877,87.8205793302123,202.55208740981402,0.0,2.447267956003702,2.1615216538079225,5.018543650162046
1971,10500.0,7456.082674392447,3043.917325607553,7364.461023321603,0.0,65.12400024109598,4.819608855739362,21.678041974009258
1972,0.0,70.08191610893098,-70.08191610893098,-38.86727599472397,0.0,64.43438259235268,2.2262215773119034,42.28858793399038
1973,0.0,72.28494295721526,-72.28494295721526,-57.461518737829465,0.0,68.41930093158841,3.163151231590016,58.164009531866306
1974,300.0,315.36643147325805,-15.366431473258046,157.24907677784358,0.0,75.75823988485905,7.708659381038478,74.65045542951694
1975,10500.0,7557.566057038938,2942.433942961062,7337.503228979731,0.0,118.33939628564418,3.662557862134526,98.06087391142877
1976,10500.0,7589.4697722155815,2910.5302277844185,7243.3797304125965,0.0,213.77887752757985,17.200080530092684,115.1110837453136
1977,0.0,247.58652581415606,-247.58652581415606,-151.4402252536238,0.0,258.9949727189965,13.27871324875679,126.75306510002655
1978,300.0,462.93305605122384,-162.93305605122384,107.3139151706091,0.0,177.48806153758926,17.80370654729534,160.32737279573013
1979,10500.0,7744.139819141167,2755.860180858833,7304.7490781373635,0.0,240.777862030885,9.45584239340654,189.15703657951184
1980,0.0,307.76764927812087,-307.76764927812087,-176.13353000067946,0.0,268.0446077283845,10.970118288314712,204.8864532621011
1981,0.0,366.888761881905,-366.888761881905,-163.34929129920056,0.0,295.5256569894435,10.662197271048765,224.0501989206133
1982,300.0,562.6625240579708,-262.6625240579708,28.08181034896552,0.0,231.56214165219822,15.380454253450067,287.638117803357
1983,10500.0,7719.256835274087,2780.7431647259127,7035.469228754391,0.0,348.36887649498635,20.35147972817169,315.06725029653774
1984,18000.0,13145.739834935957,4854.260165064043,12223.212566398368,0.0,558.7307590970546,34.875895749657076,328.920613690878
1985,0.0,486.45432169041715,-486.45432169041715,-268.3049672754569,0.0,399.6553111196791,13.941905931908057,341.1620719142869
1986,300.0,737.7553784155357,-437.7553784155357,-50.916234144249756,0.0,388.6557151899203,33.56540336863087,366.45049400123435
1987,10500.0,7939.271422305057,2560.728577694943,6997.355701455468,0.0,538.3497626640686,23.768945398953377,379.7970127865674
1988,11100.0,8485.198825482126,2614.8011745178737,7402.781974595244,0.0,635.2548056200042,46.57536529551211,400.5866799713665
