year,TS,VS,N,P,K,TS_liquid,VS_liquid,N_liquid,P_liquid,K_liquid,TS_DM_effluent,manure_applied,N_applied,P_applied
,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
1970,81106518.75741601,265629689.16956007,28413665046.09786,19584864047.41864,6064993.891770801,236560679.70913005,217333382.04782188,66298551774.22834,29377296071.127953,34368298.72003453,20276629.689354002,161.92511262412225,37851.41693485833,19500.0
1971,274812722.4980322,902175674.011236,103665914943.11942,70685539729.2439,24172678.87619985,564976427.5767969,520810351.23409855,175588583093.05008,76651013522.73795,102610214.91176462,48426550.93515406,69.75017805377973,20906.790782275897,10800.0
1972,549312159.8757688,1804543704.716027,216677120065.3021,146373284577.6665,54422187.566476755,800623359.0183978,738301116.0311925,263692811951.7597,113531617272.63399,171413882.57823586,68624859.34443407,0.0,0.0,0.0
1973,913302937.0772582,3001233589.8740582,368373892391.97107,247325379776.70166,96648222.10090597,1061639766.8376772,979109906.0383871,353959135428.89355,151428142798.55234,239280862.36176568,90997694.30037226,1.7517263570703712,593.538185243495,300.0
1974,1371975476.9167058,4509422948.035151,560327129707.4227,374735947047.2755,150916934.59121767,1337794907.8650548,1233973111.2227097,447890887069.3879,191115850905.86023,307522704.111766,114668134.95986179,1.7299331106266307,596.649246047921,300.0
1975,1922112597.7993681,6318534470.953103,791945754882.2571,528168200781.61304,217228325.0374112,1604566602.5744293,1480182155.1146843,540443458741.2816,230148380601.50598,375764545.8617637,137534280.22066528,77.37278603179935,26924.411282684636,13500.0
1976,2564931398.8644834,8432547371.772185,1063790772752.4846,707977666323.3153,295813604.13592255,1874888169.773257,1729646918.8519747,634305041697.198,269714198312.5526,445316581.55823106,160704700.26627913,59.84889233436796,20994.493756899294,10500.0
1977,3296245318.9462585,10837701369.783926,1374322041510.3643,913153450013.7981,386243344.1321148,2132998933.5718305,1967853271.1005056,724572960435.0497,307763675535.7253,512435193.31175625,182828480.0204428,1.7003466099082307,601.4149756374791,300.0
1978,4117700398.641599,13539392614.689144,1724101415173.6548,1144029052576.4946,488715762.08418846,2395910649.1114173,2210474654.922446,816151871881.015,346313403844.0461,580677035.0617509,205363769.9238357,16.945752822141113,6023.330991320036,3000.0
1979,5029520514.635715,16538376167.802874,2113125259510.7744,1400620381229.1665,603230857.9921436,2659475338.316184,2453713816.1839623,907722303453.2767,384886992979.0065,648918876.8117449,227955028.99852997,59.200728895320964,21099.916445711937,10500.0
1980,6034939321.92125,19845263765.30997,2542848885525.694,1683865244916.897,730151907.4988881,2932471521.24948,2705635307.0512567,1002688460701.4783,424867295531.5956,719219280.538221,251354701.8213838,1.6863982978389522,603.7115251376935,300.0
1981,7131580843.694449,23452237033.08033,3011784431914.1206,1992826794279.071,868785352.956846,3198537771.8384957,2951159946.357562,1094182941572.9977,463442324043.26166,785589524.2617621,274160380.4432995,0.0,0.0,0.0
1982,8323030618.010332,27371116475.354607,3521442889697.3613,2328563990692.5317,1019461476.3706884,3475061841.754645,3206355907.3153195,1189203068160.9023,503605794620.1942,853831366.011773,297862443.5789695,8.4056894761409,3023.409090062817,1500.0
1983,9607322230.262232,31595448943.82944,4071281959205.6553,2690702735543.567,1182180277.7404132,3745850535.7346845,3456272019.661216,1282957828852.681,543208117276.5462,922073207.7617829,321072903.0629736,58.79415974005081,21172.56659475601,10500.0
1984,10987736233.017193,36135987336.093895,4662843620202.995,3080202499500.579,1357437097.6554008,4026207508.0352373,3714985957.3072724,1380310542327.135,584249645935.5182,993121979.518263,345103500.68873465,109.06860417132911,39342.577951391526,19500.0
1985,12458735135.464998,40974535002.68665,5293334782742.24,3495287816806.489,1544274248.5751305,4290413465.47277,3958811727.2122974,1471146045924.9043,622627975958.8662,1058743855.2118021,367749725.61195207,13.408196265661593,4845.03745584085,2400.0
1986,14022940774.072254,46119725770.783,5964002056681.924,3936761014239.354,1743154077.450745,4562266445.937825,4209701537.533335,1564890305859.2517,662209796149.3031,1126985696.9618137,391051409.65181416,1.6748951035722488,605.8424043689502,300.0
1987,15679401147.770378,51568422066.024475,6674643668694.204,4404473108250.366,1954076584.2822447,4831342756.619586,4458024241.561214,1658163761361.983,701568141016.5261,1195227538.7118273,414115093.4245356,77.00451730156746,27876.420537896676,13800.0
1988,17432263095.92743,57334263524.9349,7427214082322.58,4899698291760.091,2177669174.6054726,5112514015.458057,4717506648.199423,1755997631799.5408,742837775264.5883,1267024678.4983115,438215487.0392618,61.90433218562262,22428.63549584696,11100.0
1989,19271518311.587543,63384334355.998695,8217405738986.206,5419604668964.624,2412710030.9869766,5364494379.00865,4950057952.688563,1843780532215.1128,779859565806.8069,1331898186.1618512,459813803.91502726,1.671763760596159,606.4115433039906,300.0
1990,21202076749.233555,69734762093.27904,9047293134338.066,5965543284484.046,2659793565.324359,5630795443.1342125,5195804512.320304,1936403922487.681,818907923279.1307,1400140027.9118497,482639609.41150343,29.22022238210545,10606.543649822734,5246.064281316418
1991,23224599812.196793,76387735433.1693,9917057828856.143,6537632209311.406,2918919777.617633,5899025600.309459,5443341823.546612,2029450953875.5361,858133387241.0308,1468381869.6618476,505630765.7408112,100.22097156514162,36398.939943379635,18000.0
