year,DM,NDF,C,N,P,CP,NPN,C_loss,CP_loss
,kg,kg,kg,kg,kg,kg,kg,kg,kg
1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,104055.6202015425,0.0,104055.6202015425,104055.6202015425,104055.6202015425,104055.6202015425,157.78569439413369,16239.8944823217,6.311427775765347
1990,27576379.873141833,0.0,27576379.873141833,27576379.873141833,27576379.873141833,27576379.873141833,6316.019678717642,2534621.1685202424,337.646237118915
1991,110532404.74426089,0.0,110532404.74426089,110532404.74426089,110532404.74426089,110532404.74426089,20027.119989674906,11719055.94826191,1251.6949993546816
1992,127317214.3089238,0.0,127317214.3089238,127317214.3089238,127317214.3089238,127317214.3089238,48249.675077401735,21067991.656853113,3015.6046923376084
1993,75216705.053845,0.0,75216705.053845,75216705.053845,75216705.053845,75216705.053845,45344.75822650772,15011051.86594696,2809.460522628675
1994,98660712.93590587,0.0,98660712.93590587,98660712.93590587,98660712.93590587,98660712.93590587,25119.18716895945,17357307.37190996,1385.4155116446182
1995,126300443.23234558,0.0,126300443.23234558,126300443.23234558,126300443.23234558,126300443.23234558,48772.31997579318,25825481.56838067,3048.2699984870737
1996,139446012.14710864,0.0,139446012.14710864,139446012.14710864,139446012.14710864,139446012.14710864,58708.039183366825,28538379.64012659,3669.2524489604266
1997,83277497.58845524,0.0,83277497.58845524,83277497.58845524,83277497.58845524,83277497.58845524,44568.06344970457,16626181.337565418,2760.879332350357
1998,107911985.1583214,0.0,107911985.1583214,107911985.1583214,107911985.1583214,107911985.1583214,28121.846811662275,18994696.613737818,1574.1392472653174
1999,127504763.83409742,0.0,127504763.83409742,127504763.83409742,127504763.83409742,127504763.83409742,60987.63994950799,26093428.76683663,3811.7274968442493
2000,133884124.85823621,0.0,133884124.85823621,133884124.85823621,133884124.85823621,133884124.85823621,60734.659871706586,27368593.431594696,3795.9162419816616
2001,96527554.0514873,0.0,96527554.0514873,96527554.0514873,96527554.0514873,96527554.0514873,42540.87125619222,19415999.22183206,2634.255349170278
2002,88014024.76756339,0.0,88014024.76756339,88014024.76756339,88014024.76756339,88014024.76756339,25309.44406918585,15508342.709997468,1399.421525138692
2003,116301438.73127149,0.0,116301438.73127149,116301438.73127149,116301438.73127149,116301438.73127149,45647.59998519678,23801777.675608534,2852.9749990747987
2004,142916660.46086454,0.0,142916660.46086454,142916660.46086454,142916660.46086454,142916660.46086454,47462.93982395606,29217829.94487186,2966.433738997254
2005,102154656.2791807,0.0,102154656.2791807,102154656.2791807,102154656.2791807,102154656.2791807,43708.47034506576,20490369.3034945,2707.230290160503
2006,104524407.73873998,0.0,104524407.73873998,104524407.73873998,104524407.73873998,104524407.73873998,25452.874752591895,18366268.40915931,1409.4434274800024
2007,127239813.40058005,0.0,127239813.40058005,127239813.40058005,127239813.40058005,127239813.40058005,48337.24998420224,26033965.53405914,3021.07812401264
2008,143219584.208627,0.0,143219584.208627,143219584.208627,143219584.208627,143219584.208627,59063.87976362826,29290185.9620111,3691.4924852267663
2009,84569876.2723844,0.0,84569876.2723844,84569876.2723844,84569876.2723844,84569876.2723844,44227.85769966141,16959757.05420441,2739.389877183929
2010,98437335.60833484,0.0,98437335.60833484,98437335.60833484,98437335.60833484,98437335.60833484,28360.79309591871,17433550.773492213,1588.54472365134
2011,122592625.5493584,0.0,122592625.5493584,122592625.5493584,122592625.5493584,122592625.5493584,57612.71996826638,25090708.253029462,3600.7949980166486
2012,122347897.14850399,0.0,122347897.14850399,122347897.14850399,122347897.14850399,122347897.14850399,52978.45237767952,25023200.06152028,3311.15327360497
2013,87684580.45319983,0.0,87684580.45319983,87684580.45319983,87684580.45319983,87684580.45319983,53827.62251575173,17590537.5441625,3339.6773039237505
2014,93607100.0779383,0.0,93607100.0779383,93607100.0779383,93607100.0779383,93607100.0779383,24172.29372610944,16552401.722049568,1327.8208864411158
2015,124371838.8915012,0.0,124371838.8915012,124371838.8915012,124371838.8915012,124371838.8915012,48911.31997807349,25447852.228030905,3056.957498629593
2016,146504902.17583817,0.0,146504902.17583817,146504902.17583817,146504902.17583817,146504902.17583817,61554.75993377613,29958244.298348345,3847.172495861008
2017,92284528.31908323,0.0,92284528.31908323,92284528.31908323,92284528.31908323,92284528.31908323,42106.036970816036,18519111.29296398,2607.2292785185005
2018,94389589.30714156,0.0,94389589.30714156,94389589.30714156,94389589.30714156,94389589.30714156,27783.078803265824,16686725.627954682,1554.5524517200456
2019,118794873.0120123,0.0,118794873.0120123,118794873.0120123,118794873.0120123,118794873.0120123,60103.59976800292,24320226.747590933,3756.4749855001824
