year,yield
,kg/ha
1980,0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,9469.33523960646
1991,13541.130713796072
1992,9667.243410005567
1993,4701.594092399911
1994,9954.579494202311
1995,15060.592603014195
1996,11005.486751732326
1997,5589.381726187309
1998,11746.327118643363
1999,12403.31393290419
2000,13322.75061706052
2001,4718.995782633056
2002,8865.917636138369
2003,13849.799826266262
2004,14177.107032554057
2005,5988.356480653421
2006,10189.726708314223
2007,15565.805066857862
2008,11341.423449413418
2009,3491.812664498255
2010,11572.662857306244
2011,10667.830618269774
2012,12531.78864128648
2013,7467.067331046622
2014,10354.863789639725
2015,14504.984565494295
2016,12774.087169040846
2017,6806.389776630153
2018,10749.145284727832
2019,11866.636862466277
