year,manure_P_applied,P_uptake,fert_P_leached,M_leach,DRP_drainage,M_DRP_runoff,fert_P_runoff,DRP_runoff,MIP_runoff,MOP_runoff,profile_P,STP
,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
1980,0.0,0.0,0.0,0.0,0.08491908860223593,0.05919063781652332,0.0,0.01854666341601287,0.0,0.0,0.0,132.80640717258478
1981,0.0,0.0,0.0,0.0,0.07093243994283291,0.05871238285954047,0.0,0.010251367545406499,0.0,0.0,0.0,132.56120661005315
1982,0.0,0.0,0.0,0.0,0.06851010173022067,0.07024540120377494,0.0,0.017129880623338842,0.0,0.0,0.0,132.32809663614242
1983,0.0,0.0,0.0,0.0,0.0688177849562479,0.0670619667685443,0.0,0.016523111574315408,0.0,0.0,0.0,132.0824105211541
1984,0.0,0.0,0.0,0.0,0.08035459850677465,0.07305385927977692,0.0,0.01871789149797967,0.0,0.0,0.0,132.18509376658952
1985,0.0,0.0,0.0,0.0,0.08229463752291023,0.07105497462101844,0.0,0.023724223003795196,0.0,0.0,0.0,131.52414823009042
1986,0.0,0.0,0.0,0.0,0.06922479517733496,0.06276719759973964,0.0,0.02216301382596275,0.0,0.0,0.0,131.16320499263293
1987,0.0,0.0,0.0,0.0,0.06570603324877881,0.05715892302371343,0.0,0.015367052276508369,0.0,0.0,0.0,130.90753365919275
1988,0.0,0.0,0.0,0.0,0.054652760500832856,0.05174280793795787,0.0,0.009909578437941989,0.0,0.0,0.0,131.0637676325668
1989,0.0,0.0,0.0,0.0,0.0388322520717948,0.05148184052199213,0.0,0.008203486063882898,0.0,0.0,0.0,130.5739917889014
1990,24.0,23.6899834852416,0.0,0.0,0.0604145075015464,0.0645897142649653,0.0,0.014602389370909333,0.0,0.0,0.0,134.91899459756655
1991,0.0,25.17564173987971,0.0,0.0,0.06959485808899112,0.010783226432210651,0.0,0.003912946010574304,0.0,0.0,0.0,127.60997803824934
1992,48.0,21.322195640183875,23.99941235289164,0.0,0.06230332822194466,0.1559505191173536,0.0001469117770902106,0.06516906307017155,0.0,0.0,0.0,147.0618476378366
1993,0.0,15.280292803569026,0.0,0.0,0.0868141184561613,0.28333691072193173,0.0,0.09071490857839389,0.0,0.0,0.0,172.29638652119365
1994,24.0,25.15399932530292,0.0,0.0,0.07017622053363978,0.18385738446692657,0.0,0.03345230047554091,0.0,0.0,0.0,161.10260518383328
1995,0.0,28.13046045386101,0.0,0.0,0.07091415064697935,0.1254644574488591,0.0,0.02058267893729404,0.0,0.0,0.0,157.96235649717607
1996,24.0,23.405844322627033,0.0,0.0,0.04846710198745934,0.06090374894322664,0.0,0.015526326622573567,0.0,0.0,0.0,147.05392866361942
1997,24.0,17.83810402943944,6.0,0.0,0.06264401511930966,0.15399236328263616,0.0,0.03840301652503952,0.0,0.0,0.0,166.42614334370742
1998,0.0,25.900604173884567,0.0,0.0,0.0731332280494752,0.1668830812103697,0.0,0.05224785231607241,0.0,0.0,0.0,171.521042512935
1999,0.0,25.479869663485744,0.0,0.0,0.07014568936348184,0.0789920258564879,0.0,0.025234549903623255,0.0,0.0,0.0,155.6542760160669
2000,24.0,26.74365060327194,0.0,0.0,0.07843739825361483,0.02889454475099051,0.0,0.004337720341931656,0.0,0.0,0.0,150.09723732713027
2001,24.0,15.93306710550404,10.0,0.0,0.09244724656436043,0.10580650252570445,0.0,0.03584069936078524,0.0,0.0,0.0,169.56758081771827
2002,0.0,23.14341582813109,0.0,0.0,0.04432266169657866,0.12563395379253506,0.0,0.028942897038752486,0.0,0.0,0.0,174.5039069984549
2003,0.0,23.693339760425665,7.000000000000001,0.0,0.06745904023867699,0.07241373736361599,0.0,0.014336841254086633,0.0,0.0,0.0,168.76312963806785
2004,0.0,0.0,0.0,0.0,0.09345707700434258,0.049666952421980964,0.0,0.014889004356124691,0.0,0.0,0.0,163.23522325998994
2005,0.0,0.0,0.0,0.0,0.05205778992690281,0.05093762573996015,0.0,0.011631897392528144,0.0,0.0,0.0,162.61424558705522
2006,0.0,0.0,0.0,0.0,0.08659495665308829,0.04591800099154722,0.0,0.014407973046380477,0.0,0.0,0.0,162.33027942177569
2007,0.0,0.0,0.0,0.0,0.08690787764344356,0.05417570139733682,0.0,0.01894935807449622,0.0,0.0,0.0,162.01215295757723
2008,0.0,0.0,0.0,0.0,0.08251839373181402,0.059576346850381406,0.0,0.028941918841589784,0.0,0.0,0.0,161.80258296246194
2009,0.0,0.0,0.0,0.0,0.07064332741545314,0.0405937204965399,0.0,0.01700691657047612,0.0,0.0,0.0,160.86432539469746
2010,0.0,0.0,0.0,0.0,0.08355420353582438,0.04693805010856704,0.0,0.01675762415239461,0.0,0.0,0.0,160.47015323665192
2011,0.0,0.0,0.0,0.0,0.06059741968067731,0.041320072198615054,0.0,0.008571780084050847,0.0,0.0,0.0,160.13426085913667
2012,0.0,0.0,0.0,0.0,0.04693855090282859,0.03260563533440183,0.0,0.008363565718111556,0.0,0.0,0.0,160.3497746100082
2013,0.0,0.0,0.0,0.0,0.076839767360026,0.04799260013986994,0.0,0.01424807399633833,0.0,0.0,0.0,159.6025024761729
2014,0.0,0.0,0.0,0.0,0.06583825449892976,0.03844420139056817,0.0,0.011602854338797621,0.0,0.0,0.0,159.30437966320036
2015,0.0,0.0,0.0,0.0,0.07993023601606357,0.03634441502970643,0.0,0.0121387048372491,0.0,0.0,0.0,159.00184662881637
2016,0.0,0.0,0.0,0.0,0.08898705799083177,0.035035515577828816,0.0,0.011298079203400842,0.0,0.0,0.0,159.08946456006007
2017,0.0,0.0,0.0,0.0,0.06915288844602568,0.030715693820007606,0.0,0.008048668079357411,0.0,0.0,0.0,158.33081036610875
2018,0.0,0.0,0.0,0.0,0.09240238747866958,0.04737428387283017,0.0,0.01695361214189158,0.0,0.0,0.0,158.0215105034032
2019,0.0,0.0,0.0,0.0,0.0901893156453142,0.04890987809667093,0.0,0.019347524059642587,0.0,0.0,0.0,157.58921377671396
