year,manure_applied,ET_max,ET
,kg,mm H20,mm H20
1980,0.0,498.21701856368935,282.9163274864187
1981,0.0,494.2852701749639,284.23973695939964
1982,0.0,476.80972297341566,286.6016191333304
1983,0.0,488.74364235784674,274.80987843931575
1984,0.0,500.49376515044634,291.1754594225276
1985,0.0,511.60918690663226,284.05839599638233
1986,0.0,497.47231858286796,288.4629979758318
1987,0.0,517.5910966111654,292.6517090603139
1988,5312.82,584.4891988247767,256.0345015719814
1989,5312.82,524.6463816607942,289.34305521188855
1990,0.0,507.8898843153567,407.5620527936277
1991,0.0,524.7849964326754,374.3707621152764
1992,5447.34,489.09970527713494,328.53986073815923
1993,4012.64,455.504020257582,375.650687897722
1994,0.0,496.1235931133072,368.8942180704626
1995,0.0,479.9344237714609,383.25285676926364
1996,4281.639999999999,470.65679247427187,339.47941987976856
1997,4595.48,464.8109124340444,356.496236944104
1998,0.0,500.1007529524967,346.67470094453955
1999,0.0,502.0360355698097,367.72145546933945
2000,5687.2,484.44166422992646,371.54337307715787
2001,4288.38,479.59687409808237,318.39971916223664
2002,0.0,495.4952106037877,350.33010305668006
2003,0.0,501.02229829609064,368.8255054654374
2004,4998.999999999999,471.0687236642865,381.6796892415915
2005,6389.5199999999995,534.6191866661014,305.06255811974313
2006,0.0,490.6354451642714,380.7284090820442
2007,0.0,525.0954876604268,376.3594101232874
2008,3500.3399999999997,500.9628126264456,349.1993541878595
2009,7095.42,488.41673302984117,330.9905129019014
2010,0.0,516.3500590387405,371.5748734550858
2011,0.0,508.7561326045818,375.2102334546388
2012,3372.42,587.3874675314943,366.9705413220042
2013,4890.5,500.2498669404029,345.88089086311373
2014,0.0,478.19962875283085,359.43281524201234
2015,0.0,498.649964868095,376.9538995405984
2016,1440.4199999999998,495.12370640830903,397.2541884603172
2017,1440.4199999999998,490.78105183622034,367.3454118790571
2018,5500.8,471.0365396126174,349.8884823534445
2019,0.0,453.2657908846275,371.8183401828328
