year,actual,calculated,difference,delta,N_drainage,N_runoff,N_erosion,N_uptake
,kg,kg,kg,kg,kg,kg,kg,kg
1980,0.0,-251.0121709505283,251.0121709505283,-330.509610059392,78.65084494256453,0.8461952163679249,0.0003989499312675869,0.0
1981,0.0,-0.2913898343053466,0.2913898343053466,-74.46220329977251,74.1693710171628,0.0012474532389711284,0.00019499506538755483,0.0
1982,0.0,-0.02634802978363946,0.02634802978363946,-46.62202877240486,46.59518062656285,0.0001801407583626249,0.00031997530001039837,0.0
1983,0.0,0.057014357336698934,-0.057014357336698934,-25.609764878199954,25.666378130561828,0.00013436100098124132,0.0002667439738436615,0.0
1984,0.0,0.12073890443529336,-0.12073890443529336,-13.976511883094553,14.096769219596425,0.00020069182089116195,0.0002808761125295009,0.0
1985,0.0,0.15673878366327496,-0.15673878366327496,-6.068943837636127,6.225127909060568,0.0002230640362206283,0.00033164820261296626,0.0
1986,0.0,0.14409614159445588,-0.14409614159445588,-2.160547321781877,2.304136671874375,0.00021154700049154298,0.0002952445014660708,0.0
1987,0.0,0.15350442797138175,-0.15350442797138175,-0.943244615619939,1.0963540802435778,0.00016984062076578915,0.00022512272697716574,0.0
1988,0.0,0.1367055802299438,-0.1367055802299438,-0.3805492711299081,0.5170925569357022,8.901851391750684e-05,7.327591023218287e-05,0.0
1989,520.0,275.27031398459144,244.72968601540856,169.6095644145148,0.26145021196734325,0.16512865621253758,0.010975766540320819,105.22319493535639
1990,39000.0,8643.791177336945,30356.208822663055,5863.816656992698,1123.890785365765,1031.7146709788342,1.5098882701056304,622.8591757295433
1991,0.0,1124.1785624739302,-1124.1785624739302,-2206.8190595152946,2150.9151550844244,13.398506306561082,2.157263875249929,1164.5266967229893
1992,0.0,1555.8128149136292,-1555.8128149136292,-1641.3909326000708,1602.0636338777774,5.801137260171695,1.8702620380974153,1587.4687143376532
1993,520.0,3025.9160446684505,-2505.9160446684505,-823.7080399017186,1245.3306215550856,9.896022945665436,1.3853443525000775,2593.012095716918
1994,42120.0,13955.237690080761,28164.76230991924,8204.47164432632,1887.723605490206,742.3132785425272,1.2593468716794125,3119.469814850029
1995,0.0,3895.836407492459,-3895.836407492459,-3374.4256821845893,3547.2946327416394,16.439617513354232,1.299705785318235,3705.2281336367364
1996,0.0,4271.879974491152,-4271.879974491152,-2002.3123827463269,2079.7292111300776,11.558294890266971,1.4797189393228363,4181.425132277812
1997,520.0,5798.214248830653,-5278.214248830653,-1350.7664691522614,1925.322020511045,11.810234189211656,1.5909551121616379,5210.257508170495
1998,43680.0,17058.94771362219,26621.05228637781,6348.938347358618,3452.954083757358,1513.644236726986,3.4267444228188975,5739.98430135641
1999,0.0,6635.81185062568,-6635.81185062568,-3177.908994357438,3510.0475515864714,33.906650182565755,2.255133850228498,6267.5115093638515
2000,0.0,7004.883367141248,-7004.883367141248,-2849.6870434097623,3005.780122084118,18.42850971568801,2.499553383177795,6827.862225368026
2001,520.0,8305.22883958442,-7785.228839584421,-1274.5201781823453,2009.9166775895346,13.058814926288738,1.666273108721688,7555.10725214222
2002,37440.0,17437.608956354597,20002.391043645403,6750.725829429359,1285.3547665707636,1375.037575360428,1.4983792770386082,8024.99240571701
2003,0.0,8798.070052866424,-8798.070052866424,-2297.8662473974464,2464.1944961366685,21.32916751231474,2.174594388222589,8608.238042226665
2004,0.0,9381.589050517669,-9381.589050517669,-2897.127977493911,3073.710826232567,13.976027065180613,2.107799383534012,9188.922375330298
2005,520.0,10811.790490550511,-10291.790490550511,-554.3410024987334,1320.9924115606673,8.780409163087317,1.0349652272423981,10035.323707098247
2006,51480.0,22975.573612091866,28504.426387908134,7077.839019400866,4171.702942034294,1177.4730028780336,2.871422978992586,10545.68722479968
2007,0.0,11593.41698967196,-11593.41698967196,-4003.50317930466,4404.0703464835515,34.22308207660742,3.4374647646312675,11155.18927565183
2008,0.0,11986.597246643965,-11986.597246643965,-2750.3823898783266,2995.5673406766045,24.976375636143445,6.059073263743392,11710.376846945801
2009,520.0,13554.88097178962,-13034.88097178962,-883.0357136360703,1612.0450767605464,21.862297145086476,2.850837929968559,12801.158473590089
2010,38480.0,23606.987800482577,14873.012199517423,6464.893595320513,2959.1263203102276,841.3705362817781,3.8827741619258913,13337.714574408132
2011,0.0,14305.866812939897,-14305.866812939897,-2063.0701288933215,2506.4379312682177,20.814349961202215,2.372483378004497,13839.312177225795
2012,0.0,14747.007695195844,-14747.007695195844,-1232.2369936310488,1647.9778742572546,11.484020641107824,1.4664701674192215,14318.31632376111
2013,520.0,15888.809985153632,-15368.809985153632,-2066.2078735029118,2724.090389307261,14.242463917911106,2.537748307345382,15214.147257124027
2014,46800.0,27503.178185634482,19296.821814365518,6759.234408761787,3433.006986328182,1603.3604865014097,3.9470088460103203,15703.629295197092
2015,0.0,16768.77224354945,-16768.77224354945,-3333.6669813068183,3756.266566345201,40.04718849335316,3.1587033675060487,16302.966766650208
2016,0.0,17335.516883983626,-17335.516883983626,-3052.5971825404126,3540.237776243158,13.93502183198841,2.6585362621116237,16831.28273218678
2017,520.0,18619.68737061105,-18099.68737061105,-1096.70614909394,1850.8019917100617,8.142905236010696,1.4389070623772493,17856.00971569654
2018,30680.0,27202.483114348688,3477.516885651312,4279.910534277664,3207.140354910715,1359.4275944742328,4.029575355926069,18351.97505533015
2019,0.0,19347.001720416847,-19347.001720416847,-2951.661502506847,3404.836462226612,28.002822898821314,3.4965377356733183,18862.327400062586
