year,manure_P_applied,P_uptake,fert_P_leached,M_leach,DRP_drainage,M_DRP_runoff,fert_P_runoff,DRP_runoff,MIP_runoff,MOP_runoff
,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
1980,0.0,0.0,0.0,0.0,0.08491908860223593,0.05919063781652332,0.0,0.01854666341601287,0.0,0.0
1981,0.0,0.0,0.0,0.0,0.07093243994283291,0.05871238285954047,0.0,0.010251367545406499,0.0,0.0
1982,0.0,0.0,0.0,0.0,0.06851010173022067,0.07024540120377494,0.0,0.017129880623338842,0.0,0.0
1983,0.0,0.0,0.0,0.0,0.0688177849562479,0.0670619667685443,0.0,0.016523111574315408,0.0,0.0
1984,0.0,0.0,0.0,0.0,0.08035459850677465,0.07305385927977692,0.0,0.01871789149797967,0.0,0.0
1985,0.0,0.0,0.0,0.0,0.08229463752291023,0.07105497462101844,0.0,0.023724223003795196,0.0,0.0
1986,0.0,0.0,0.0,0.0,0.06922479517733496,0.06276719759973964,0.0,0.02216301382596275,0.0,0.0
1987,0.0,0.0,0.0,0.0,0.06570603324877881,0.05715892302371343,0.0,0.015367052276508369,0.0,0.0
1988,0.0,0.0,0.0,0.0,0.054652760500832856,0.05174280793795787,0.0,0.009909578437941989,0.0,0.0
1989,624.0,8.845358590899849,50.0,0.0,0.031837866376719044,1.293593775902282,0.0,0.18770311663478714,0.0,0.0
1990,46800.0,25.13249284832903,6429.603139121531,0.0,0.08723025708921116,160.96334686618576,140.61943837326476,37.55097516144063,0.0,0.0
1991,0.0,25.97986258457405,0.0,0.0,0.15186458185617238,226.5097657553303,0.0,71.02560081318764,0.0,0.0
1992,0.0,21.784364421641293,0.0,0.0,0.14531380841284935,229.12680094730956,0.0,77.07205224039066,0.0,0.0
1993,624.0,30.221366505996464,24.999360362742625,0.0,0.21138563068638605,237.55158739747387,0.0006396372573765714,78.5497347792662,0.0,0.0
1994,50544.0,25.483853201109802,8502.641036444089,0.0,0.2631897234170884,421.47162415622705,70.87235100422858,74.58387513496913,0.0,0.0
1995,0.0,28.104679457283336,0.0,0.0,0.6090045933384052,452.6740123080929,0.0,77.4714090750924,0.0,0.0
1996,0.0,23.504822093800772,0.0,0.0,0.8052742605073165,441.1733986479553,0.0,128.1356497933002,0.0,0.0
1997,624.0,30.49723000015894,24.998549953208673,0.0,1.3901669099013887,524.8508456765034,0.0014500467913247802,139.140313674719,0.0,0.0
1998,52416.0,25.562183571550573,6657.0903641072955,0.0,2.8733031781998952,595.8648918572055,97.84130517663291,190.96541275201972,0.0,0.0
1999,0.0,25.481912500534307,0.0,0.0,6.270601283891488,758.6600663848061,0.0,184.58383813234272,0.0,0.0
2000,0.0,26.9879459787575,0.0,0.0,16.57574042941695,840.504646871769,0.0,251.0994473614977,0.0,0.0
2001,624.0,21.847837807993734,25.0,0.0,49.27129335819798,654.039769526212,0.0,246.1692059935121,0.0,0.0
2002,44928.0,22.867749219862837,4135.418337096222,0.0,43.5635909369095,763.3298117416427,153.3916222422714,164.38358811853834,0.0,0.0
2003,0.0,28.004436925386337,0.0,0.0,83.45242050552908,732.6035896330025,0.0,223.10642884079334,0.0,0.0
2004,0.0,27.15798871626113,0.0,0.0,153.99327999338306,1003.4187450128253,0.0,292.9950014209389,0.0,0.0
2005,624.0,23.972917558684475,100.0,0.0,117.4254626272591,1001.5693218339529,0.0,228.3885835676953,0.0,0.0
2006,61776.0,24.620690551705504,8201.139565420941,0.0,216.37490868989187,1167.96161033525,142.430103741732,353.3114210179068,0.0,0.0
2007,0.0,28.355408425152888,0.0,0.0,219.18257439161496,1322.0511971464307,0.0,481.51393806126924,0.0,0.0
2008,0.0,23.952661766882134,0.0,0.0,213.01458928846506,1626.5707053605017,0.0,777.5340797567586,0.0,0.0
2009,624.0,28.05863233157782,25.0,0.0,189.9670090097817,1119.965552045989,0.0,464.8331608417342,0.0,0.0
2010,46176.0,25.911972960429313,3993.085528836295,0.0,226.79395386578716,1427.366109228997,120.53160308657316,530.9912629778856,0.0,0.0
2011,0.0,24.262400466889286,0.0,0.0,147.39059027078537,1369.7759038480938,0.0,280.43108975427475,0.0,0.0
2012,0.0,31.606656256043564,0.0,0.0,101.85807790688507,1115.830387743229,0.0,284.66491337061336,0.0,0.0
2013,624.0,45.52283498778663,24.999903506605545,0.0,214.38944519913645,1586.7650895177226,9.649339445612267e-05,474.04785666583325,0.0,0.0
2014,56160.0,24.39643471422168,6513.43104633987,0.0,177.30225769868468,1515.9355792900317,28.64984084854557,457.4567029873948,0.0,0.0
2015,0.0,28.17933403632468,0.0,0.0,204.45997466476825,1255.1318944461618,0.0,436.14581648464804,0.0,0.0
2016,0.0,25.500419806690022,0.0,0.0,234.91621134217436,1448.7435328572521,0.0,463.1175330467672,0.0,0.0
2017,624.0,30.801695721211782,25.0,0.0,188.19974165540165,1248.920726561705,0.0,321.8734016323428,0.0,0.0
2018,36816.0,23.94879015285989,3829.7266312074994,0.0,256.3625053887113,2189.0139697991726,98.9557458616496,781.7967995533309,0.0,0.0
2019,0.0,24.871759207503548,0.0,0.0,245.6416765144654,2094.8192013758007,0.0,890.0702984289721,0.0,0.0
