year,actual,calculated,difference,delta,P_drainage,P_runoff,P_erosion,P_uptake
,kg,kg,kg,kg,kg,kg,kg,kg
1980,0.0,0.012136976712394647,-0.012136976712394647,-0.04173280501390764,0.027959114968420594,0.01357544668875052,0.01233522006913117,0.0
1981,0.0,0.0148134367700061,-0.0148134367700061,-0.021081196219711273,0.014182256334025346,0.01647443907915162,0.005237937576540408,0.0
1982,0.0,0.02689481086035555,-0.02689481086035555,-0.03797126349468272,0.014218414508562021,0.03052780818826803,0.020119851658208215,0.0
1983,0.0,0.042938879976751665,-0.042938879976751665,-0.06777898254358661,0.021621982567165864,0.04808312733301894,0.04101275262015347,0.0
1984,0.0,0.018755082382571554,-0.018755082382571554,-0.020230220915664177,0.011810342297746237,0.021443805137428704,0.00573115586306079,0.0
1985,0.0,0.029437443476497908,-0.029437443476497908,-0.06678641351777515,0.008003416972674034,0.03487369553285192,0.0533467444887471,0.0
1986,0.0,0.014702773292809744,-0.014702773292809744,-0.023939638419278708,0.014142318453984615,0.01784630356968817,0.0066537896884156685,0.0
1987,0.0,0.020017703697903504,-0.020017703697903504,-0.015513559103510488,0.008573862428016249,0.022172865193353156,0.0047845351800445855,0.0
1988,0.0,0.022661416800606488,-0.022661416800606488,-0.025113728445376182,0.011145993058282878,0.024258523957425216,0.012370628230274575,0.0
1989,0.0,0.011988144065598106,-0.011988144065598106,-0.01581816606449138,0.010885834653804927,0.01258082111375116,0.0043396543625333975,0.0
1990,0.0,0.015961579681574373,-0.015961579681574373,-0.01518131582292881,0.008588200189325837,0.017157800576989637,0.005396894738187709,0.0
1991,0.0,0.013291581640073507,-0.013291581640073507,-0.01198141982240486,0.008429490972636986,0.01402850118397171,0.0028150093058696697,0.0
1992,0.0,0.017261666318838072,-0.017261666318838072,-0.04962083766304204,0.004496233438291323,0.022512417235809008,0.03987385330777978,0.0
1993,0.0,0.026533055643356403,-0.026533055643356403,-0.03988290788583981,0.013253015893361796,0.029287544968941214,0.023875402666893208,0.0
1994,0.0,0.026493559784524737,-0.026493559784524737,-0.04929828637409628,0.010025556979070363,0.030799069335332826,0.03496721984421783,0.0
1995,0.0,0.027765745337392553,-0.027765745337392553,-0.03974291246140638,0.029122834537305645,0.029733173402491427,0.00865264985900186,0.0
1996,0.0,0.0316381121359194,-0.0316381121359194,-0.06252990962616423,0.02030622379639983,0.040198120056035944,0.03366367790964785,0.0
1997,0.0,0.021051064535577407,-0.021051064535577407,-0.018289528165951197,0.010120318858171188,0.023299484902014604,0.005920788941342811,0.0
1998,0.0,0.015766120718454,-0.015766120718454,-0.03175170919143966,0.02058952426080238,0.01862562796102823,0.008302677688063047,0.0
1999,0.0,0.019668057982861004,-0.019668057982861004,-0.023529564755563115,0.015057139781845356,0.021770482948272277,0.0063700000083064855,0.0
2000,0.0,0.020952723163657393,-0.020952723163657393,-0.02605981079295816,0.01030082075559751,0.02321229467793756,0.01349941852308048,0.0
2001,0.0,0.0222395162229731,-0.0222395162229731,-0.06619183886800784,0.005727458596590802,0.026752237982533244,0.055951658511856885,0.0
2002,0.0,0.01699383240672292,-0.01699383240672292,-0.015779810297544827,0.0027218321983393324,0.018890373373038644,0.011161437132889772,0.0
2003,0.0,0.013063469693992968,-0.013063469693992968,-0.017191918543403517,0.010978297402024247,0.013874505805437498,0.005402585029934739,0.0
2004,0.0,0.022181258620786657,-0.022181258620786657,-0.060611860229982994,0.007589187607063075,0.027362289382436282,0.047841641861270295,0.0
2005,0.0,0.033859175145177965,-0.033859175145177965,-0.0595854048945057,0.021355869787977648,0.03918880680093338,0.032899903450772636,0.0
2006,0.0,0.0220709459247291,-0.0220709459247291,-0.04119763634253104,0.028249832089994636,0.024631956774581378,0.010386793402684126,0.0
2007,0.0,0.014263204257861324,-0.014263204257861324,-0.0128531612349434,0.00614613610169179,0.01545129562502381,0.005518933766089123,0.0
2008,0.0,0.023320052621920953,-0.023320052621920953,-0.019603755235493736,0.007100684446459488,0.027121830279387707,0.008701293131567494,0.0
2009,0.0,0.027172028673524536,-0.027172028673524536,-0.05035868766958629,0.014742266490869587,0.03040035355493931,0.032388096297301924,0.0
2010,0.0,0.02582430286713566,-0.02582430286713566,-0.04974438036219908,0.015812226767348947,0.030758409592771756,0.028998046869214037,0.0
2011,0.0,0.015472996213465484,-0.015472996213465484,-0.019639051001377084,0.011147141148264688,0.01780258861593329,0.006162317450644588,0.0
2012,639.3599999999999,451.263916436471,188.0960835635289,449.81634392388787,0.012837455061903999,0.2072740340844853,0.015623927585079862,1.211837095851673
2013,790.5599999999998,558.049613101492,232.51038689850782,536.258932874744,0.06419247135553308,16.080541342267992,4.047734502530111,1.5982119105942854
2014,518.4,369.1341923625228,149.26580763747717,311.60894045158125,0.12795915368573085,48.854921481107155,3.38322233201896,5.159148944129728
2015,648.0,459.1505640524847,188.8494359475153,411.7589840471628,0.06358008914230273,36.9092581588445,2.14657415310191,8.272167604233127
2016,1041.12,737.5929659494919,303.52703405050795,607.7661624275711,0.14257613592856302,99.03011937885282,5.983464119304886,24.67064388783455
2017,0.0,1.1862942625628943,-1.1862942625628943,-16.927110170716787,0.008130317377314848,2.486609107586426,0.00488993995694404,15.613775068358995
2018,0.0,1.290012052846777,-1.290012052846777,-0.5153373118214404,0.010300849245377988,1.737295781993738,0.057752733429101234,0.0
2019,0.0,1.8173011605046776,-1.8173011605046776,-0.33756590022039745,0.014929882627710106,2.1147627291438114,0.025174448953553745,0.0
