year,actual,calculated,difference,delta,runoff,evaporation,transpiration,drainage
,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O
1980,292.0,292.0,-0.0,49.742,48.396,190.882,0.0,2.98
1981,263.0,263.0,0.0,22.126,45.882,161.668,0.0,33.323
1982,291.0,291.0,-0.0,-7.321,75.722,194.57,0.0,28.029
1983,409.0,409.0,-0.0,5.107,107.288,234.359,0.0,62.246
1984,279.0,279.0,0.0,-5.241,56.157,203.546,0.0,24.539
1985,218.0,218.0,0.0,-1.301,86.735,131.886,0.0,0.679
1986,297.0,297.0,-0.0,-12.626,60.285,199.622,0.0,49.719
1987,212.0,212.0,0.0,6.354,44.944,149.126,0.0,11.576
1988,231.0,231.0,0.0,5.755,49.824,165.607,0.0,9.814
1989,216.0,216.0,-0.0,-5.37,25.609,166.155,0.0,29.606
1990,206.0,206.0,-0.0,-17.936,37.445,171.418,0.0,15.073
1991,229.0,229.0,0.0,15.797,28.15,185.053,0.0,0.0
1992,196.0,196.0,0.0,-2.943,69.402,129.541,0.0,0.0
1993,270.0,270.0,-0.0,-16.359,64.425,197.853,0.0,24.081
1994,251.0,251.0,0.0,20.654,75.16,155.187,0.0,0.0
1995,425.0,425.0,0.0,8.889,76.577,231.091,0.0,108.444
1996,358.0,358.0,-0.0,2.716,135.077,182.761,0.0,37.446
1997,256.0,256.0,0.0,-16.527,51.971,196.324,0.0,24.231
1998,359.0,359.0,0.0,6.059,72.543,223.901,0.0,56.497
1999,244.0,244.0,0.0,-24.357,49.034,161.175,0.0,58.147
2000,216.0,216.0,0.0,19.813,53.761,127.724,0.0,14.702
2001,202.0,202.0,0.0,2.778,68.356,130.867,0.0,0.0
2002,139.0,139.0,-0.0,-13.406,39.957,112.449,0.0,0.0
2003,228.0,228.0,0.0,28.027,34.061,159.498,0.0,6.414
2004,250.0,250.0,-0.0,-16.711,75.235,180.685,0.0,10.79
2005,395.0,395.0,0.0,26.275,130.569,186.997,0.0,51.16
2006,349.0,349.0,0.0,-13.961,78.645,203.084,0.0,81.232
2007,184.0,184.0,-0.0,-6.331,33.559,155.406,0.0,1.366
2008,223.0,223.0,0.0,-3.332,63.511,162.821,0.0,0.0
2009,311.0,311.0,-0.0,0.375,73.64,219.673,0.0,17.312
2010,327.0,327.0,0.0,8.997,94.545,208.267,0.0,15.192
2011,254.0,254.0,-0.0,-12.765,47.0,200.176,0.0,19.589
2012,278.0,278.0,0.0,12.45,81.413,160.147,0.0,23.99
2013,4206.0,4206.0,0.0,-23.226,3858.718,267.929,85.402,17.177
2014,6263.0,6263.0,0.0,27.466,5590.286,311.953,192.466,140.828
2015,3687.0,3687.0,0.0,-4.203,3299.191,251.5,75.767,64.746
2016,7616.0,7616.0,-0.0,-5.212,6938.277,361.773,140.609,180.553
2017,261.0,261.0,0.0,0.643,58.515,185.063,0.0,16.778
2018,280.0,280.0,0.0,4.896,69.672,191.398,0.0,14.033
2019,280.0,280.0,-0.0,-13.069,61.838,188.651,0.0,42.58
