year,runoff,drainage,erosion,ET,manure_applied,manure_N_applied,manure_P_applied,N_runoff,P_runoff,N_drainage,P_drainage,N_erosion,P_erosion,yield,N_yield,P_yield
,mm H2O,mm H2O,ton / ha,mm H2O,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
1980,32.00538709259447,606.9517355065245,0.2644055795679417,461.59830109147674,0.0,0.0,0.0,0.40195184376359405,0.04072634006625155,57.93056989505964,0.08387734490526183,9.19140681341703e-05,0.03700566020739351,0.0,0.0,0.0
1981,37.011104302460765,307.8836863697006,0.08713866409156992,418.83725064830423,0.0,0.0,0.0,0.12312154944884332,0.049423317237454856,39.74819845210249,0.042546769002076046,3.4975928367682096e-05,0.015713812729621225,0.0,0.0,0.0
1982,81.03647621134932,308.67159060979236,0.4005736136815777,506.5368264913776,0.0,0.0,0.0,0.11194795597102052,0.09158342456480408,45.95012987512697,0.04265524352568611,0.00013970619331366276,0.06035955497462464,0.0,0.0,0.0
1983,115.03279943100125,469.40202835572194,0.8716997540939564,614.2918675048516,0.0,0.0,0.0,0.020724070981709614,0.14424938199905676,76.06194848278818,0.06486594770149759,0.0002773439477194151,0.1230382578604604,0.0,0.0,0.0
1984,60.19313398379675,256.3987985591208,0.07458163481994488,538.9102671588255,0.0,0.0,0.0,0.00431516396511548,0.0643314154122861,42.51736574188191,0.03543102689323868,3.1885641970020624e-05,0.01719346758918238,0.0,0.0,0.0
1985,121.87668263116343,173.7527117487741,1.1737180011196517,371.22596911101624,0.0,0.0,0.0,0.0032455690866554387,0.10462108659855573,28.641805398311458,0.02401025091802209,0.00033300666902675837,0.16004023346624127,0.0,0.0,0.0
1986,70.55142085361459,307.02789058373816,0.08454818078044454,525.0828553469538,0.0,0.0,0.0,0.0010397601947869505,0.053538910709064504,48.10694949043447,0.04242695536195387,3.231206018861103e-05,0.019961369065247005,0.0,0.0,0.0
1987,48.442135845641296,186.1390028301999,0.06541264221911598,384.1063909978206,0.0,0.0,0.0,0.0005045654296329399,0.06651859558005947,28.395009038768237,0.025721587284048737,2.837341164539171e-05,0.014353605540133754,0.0,0.0,0.0
1988,35.943473250169845,241.9808156500004,0.2651638743581987,409.37911798421544,0.0,0.0,0.0,0.0002154202513349571,0.07277557187227565,34.78472518097324,0.033437979174848656,7.567770855792056e-05,0.03711188469082373,0.0,0.0,0.0
1989,13.348942657002185,236.3341926628291,0.09040224060990941,421.82975158819323,0.0,0.0,0.0,5.696148880574349e-05,0.037742463341253474,32.0801724106317,0.03265750396141478,3.1565727840208303e-05,0.013018963087600192,0.0,0.0,0.0
1990,26.977022115339338,186.45255874656186,0.10227860330799565,378.9285458609351,0.0,0.0,0.0,0.0001682161694043794,0.051473401730968926,23.588576445362104,0.025764600567977507,3.6127281562614784e-05,0.016190684214563128,0.0,0.0,0.0
1991,16.629753916556236,183.00799201420926,0.05038447128348326,506.12496372003466,0.0,0.0,0.0,0.00010427725066864676,0.042085503551915135,22.10784600212231,0.02528847291791098,1.9934138751222408e-05,0.00844502791760901,0.0,0.0,0.0
1992,118.61892467148444,97.61562401337926,0.8538231157803369,332.92091072902247,0.0,0.0,0.0,0.0007675562348506193,0.06753725170742703,11.346190395323704,0.013488700314873965,0.0002274833289747183,0.11962155992333935,0.0,0.0,0.0
1993,62.28967512299052,287.7304267676423,0.5136747185935256,506.86412228193257,0.0,0.0,0.0,0.00029484853432416896,0.08786263490682365,30.76599760860311,0.03975904768008535,0.00015794051979511282,0.07162620800067963,0.0,0.0,0.0
1994,97.50390779399986,217.6620265099853,0.754079985861633,432.01770373752674,0.0,0.0,0.0,0.0006377701061786143,0.09239720800599846,21.492142587135074,0.03007667093721109,0.0002078109406999939,0.1049016595326535,0.0,0.0,0.0
1995,44.65732034641221,632.2822840249398,0.1629873051967721,569.8832975655137,0.0,0.0,0.0,0.00017131935274447075,0.08919952020747429,52.603788213896905,0.08736850361191698,5.42410594595202e-05,0.025957949577005576,0.0,0.0,0.0
1996,194.85417858274724,440.8715644930097,0.6071670117988389,435.4243997565151,0.0,0.0,0.0,0.0005092598995973153,0.12059436016810782,29.757797527130624,0.06091867138919949,0.00017477589158516277,0.10099103372894357,0.0,0.0,0.0
1997,51.25990095333579,219.72533934474106,0.08819906437398249,524.3903939123262,0.0,0.0,0.0,8.64721391822273e-05,0.06989845470604382,12.869673738353413,0.030360956574513574,3.4187120243141226e-05,0.01776236682402843,0.0,0.0,0.0
1998,65.26023807580832,447.0282978006366,0.13100933506884035,553.2580753596295,0.0,0.0,0.0,0.0004047068587293451,0.0558768838830847,22.554120287624638,0.061768572782407126,4.602366789655153e-05,0.024908033064189147,0.0,0.0,0.0
1999,48.102702460237715,326.9148600935683,0.10429936599291585,376.9385031771312,0.0,0.0,0.0,0.0001560327192241071,0.06531144884481684,13.843325177322745,0.04517141934553609,3.7510149800020815e-05,0.019110000024919457,0.0,0.0,0.0
2000,51.758780166169416,223.64899111491223,0.2751130127367728,357.1732608259118,0.0,0.0,0.0,0.0002580401672731032,0.0696368840338127,8.417845170562957,0.030902462266792514,8.285459534297962e-05,0.04049825556924144,0.0,0.0,0.0
2001,103.46179829069476,124.35373900495452,1.2777317833477773,378.0089410304593,0.0,0.0,0.0,0.0006385271601911284,0.08025671394759971,4.339435121954934,0.017182375789772407,0.0003120093055930897,0.16785497553557066,0.0,0.0,0.0
2002,43.524327531141736,59.09616121026177,0.22621221581439035,301.6442528038579,0.0,0.0,0.0,0.00022744614564338398,0.056671120119115924,1.9834839888200855,0.008165496595017993,6.887167611179564e-05,0.03348431139866931,0.0,0.0,0.0
2003,18.62925902127667,238.35996709554232,0.11015439352341276,421.39132059907195,0.0,0.0,0.0,0.00011132645712236746,0.0416235174163125,7.366620106995976,0.032934892206072736,3.9752400432653786e-05,0.016207755089804213,0.0,0.0,0.0
2004,119.11298492685525,164.77686092061035,1.071650472845585,486.77869209522567,0.0,0.0,0.0,0.000702516523124129,0.08208686814730881,4.692116117239649,0.022767562821189233,0.00024414868207082107,0.1435249255838109,0.0,0.0,0.0
2005,122.79734832902267,463.6814324887675,0.677657283990575,469.89236548826443,0.0,0.0,0.0,0.0006276496250964573,0.11756642040280017,11.180941439563442,0.06406760936393298,0.00019439244124508826,0.09869971035231788,0.0,0.0,0.0
2006,59.178265416074126,613.3713523513092,0.18733236971562525,496.6291952020106,0.0,0.0,0.0,0.00016850026038531292,0.07389587032374413,11.543617007910491,0.08474949626998382,6.734436196760087e-05,0.03116038020805237,0.0,0.0,0.0
2007,27.48912780122871,133.44846044363192,0.10299095105413708,386.5079695070851,0.0,0.0,0.0,0.00014089244383105396,0.04635388687507142,2.115314340962143,0.018438408305075375,3.771130245058322e-05,0.016556801298267365,0.0,0.0,0.0
2008,88.03669779967865,154.17474860212258,0.11616944744454696,418.0580930538783,0.0,0.0,0.0,0.00043109673484006755,0.08136549083816311,2.2995730328236466,0.021302053339378457,4.401963303329621e-05,0.026103879394702476,0.0,0.0,0.0
2009,74.86091504631408,320.0949033487706,0.7227119787670644,543.4643116031231,0.0,0.0,0.0,0.00038111732957279336,0.09120106066481792,4.227056770614328,0.04422679947260877,0.00018363107429953375,0.09716428889190576,0.0,0.0,0.0
2010,114.6154025311701,343.32893338026605,0.5808282974481174,518.2064432590013,0.0,0.0,0.0,0.000509155598603977,0.09227522877831527,3.870946474846947,0.04743668030204685,0.0001775509430881108,0.0869941406076421,0.0,0.0,0.0
2011,54.17920580136769,242.0382690989662,0.0915321644091152,479.5162783934836,0.0,0.0,0.0,0.00017558379192565083,0.05340776584779987,2.395344383791539,0.033441423444794054,3.353189797970315e-05,0.018486952351933768,0.0,0.0,0.0
2012,128.45769843071287,315.2399589194623,0.21342879155637595,389.5743540872398,31375.999999999996,1568.8,1882.56,0.006447066590982599,0.6151408988982887,2.712123750065466,0.04355523644010379,0.014892052634681031,0.05167441848225922,0.0,0.0,0.0
2013,10429.56134061305,1440.1317281037223,56.90403354606265,777.3734651511861,38796.0,1939.8,2327.7599999999993,5.203828594466658,47.47806810790457,0.7129500782593342,0.1989740300180624,5.793285452027918,17.663687860699703,351.49505762457693,21.089703457474613,0.667840609486759
