year,runoff,drainage,erosion,ET,manure_applied,manure_N_applied,manure_P_applied,N_runoff,P_runoff,N_drainage,P_drainage,N_erosion,P_erosion,yield,N_yield,P_yield
,mm H2O,mm H2O,ton / ha,mm H2O,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
1980,145.1875874535259,8.941361380549356,1.059534595154223,572.6465455233279,0.0,0.0,0.0,3.692423325052082,0.14907941112942397,1.8660252019580081,0.001232477021185324,0.0003600061238443974,0.14017897149096584,0.0,0.0,0.0
1981,137.64645000682526,99.96966759696632,0.7744202947614953,485.00525355714694,0.0,0.0,0.0,2.1951959218696966,0.11962250966802722,22.088077060126505,0.01377989052936708,0.0002550375283931672,0.10609004840233419,0.0,0.0,0.0
1982,227.16589021962838,84.08739945538144,1.534693183273641,583.7098761867836,0.0,0.0,0.0,2.157084198039241,0.20415479533359848,18.657825205949052,0.011590620972397509,0.0004960775222089682,0.20457902542364903,0.0,0.0,0.0
1983,321.86350066627233,186.73737019805887,2.771963391016502,703.0770393314103,0.0,0.0,0.0,1.4244194121890557,0.2971373079290432,40.87547250375502,0.025739926858226705,0.0008300510258569494,0.35541088042697044,0.0,0.0,0.0
1984,168.4704961270386,73.61685531052854,0.71293691347927,610.636913724232,0.0,0.0,0.0,0.4513056048200724,0.1754445222043829,15.551004125070376,0.01014736871335146,0.00025394597598724436,0.10429775551649653,0.0,0.0,0.0
1985,260.20647935083724,2.0375625957309396,2.7529901894536466,395.65832861394233,0.0,0.0,0.0,0.5280016642120503,0.17950337479561546,0.4257547302186154,0.00028085783700191854,0.0007776187349283996,0.3435833549553007,0.0,0.0,0.0
1986,180.85550272855536,149.15665266183265,0.43196989068631647,598.8658006784908,0.0,0.0,0.0,0.28729673431135944,0.1565880120450557,30.09796294326407,0.020559862081242615,0.000157176029747025,0.07418810375838249,0.0,0.0,0.0
1987,134.83185646067562,34.72750043586903,0.3880755371862201,447.37765472050785,0.0,0.0,0.0,0.12425481047846906,0.1262152258104461,6.7656692574615995,0.004786846687080094,0.00015086493510576212,0.06246211062081002,0.0,0.0,0.0
1988,149.4714022964527,29.4405190368835,1.3757245600721524,496.8222698285666,0.0,0.0,0.0,0.10916904650931393,0.1280793186818613,5.662311323914445,0.0040580962275650195,0.00040692683259438927,0.17467853228810395,0.0,0.0,0.0
1989,76.82565762866965,88.81847528913156,0.6246779638640184,498.4649679892817,0.0,0.0,0.0,0.04305986277334781,0.14228054404129903,16.629210482319024,0.012242777136896097,0.0002072093105496842,0.08116250848108818,0.0,0.0,0.0
1990,112.33509478040281,45.218337256912065,0.7308162072288575,514.2551866142925,0.0,0.0,0.0,0.039702430582469056,0.13490704908737924,8.210863573329865,0.0062329146662336975,0.00022166575676054186,0.09682044066272688,0.0,0.0,0.0
1991,84.45022711887036,0.0,0.6223396556296772,555.158561978869,0.0,0.0,0.0,0.027679837477219145,0.1271226743941245,0.0,0.0,0.00022035206346616282,0.08262313769081078,0.0,0.0,0.0
1992,208.2050366263287,0.0,1.6771011926533428,388.6236447127559,0.0,0.0,0.0,0.06377397090358736,0.12356239276861748,0.0,0.0,0.00045925273769824033,0.21488577951335444,0.0,0.0,0.0
1993,193.27350477819112,72.24443899742226,1.7849481469782527,593.5591142270779,0.0,0.0,0.0,0.05277020098584926,0.17726941908971336,12.744932637531567,0.009958249657627627,0.0005199459684849475,0.22556900236394445,0.0,0.0,0.0
1994,225.47926790196564,0.0,2.0388620687960093,465.55985333738323,0.0,0.0,0.0,0.04363413247891382,0.1574316192966689,0.0,0.0,0.0005833918475564879,0.25818577472057097,0.0,0.0,0.0
1995,229.73046266802808,325.33211332005953,1.901563534843317,693.2718394462086,0.0,0.0,0.0,0.022424174118550407,0.20544729252571825,52.176048615193054,0.04484415363390837,0.0005669106781018081,0.24416988934904366,0.0,0.0,0.0
1996,405.2310277887513,112.33928815313323,2.1435952627315187,548.2819754235167,0.0,0.0,0.0,0.012509607564335544,0.22815271412236413,16.20612202729688,0.015484926053326725,0.0006133252668189113,0.29464157180490747,0.0,0.0,0.0
1997,155.91380926104006,72.69386581261487,0.6141336131312712,588.9728688776596,0.0,0.0,0.0,0.003134521400857058,0.14330888372560488,10.002908762648474,0.010020183887076962,0.0002129599785594668,0.09054870500384803,0.0,0.0,0.0
1998,217.6288471667347,169.49106208863566,0.9908307219473543,671.7041249717071,0.0,0.0,0.0,0.004799074491789089,0.1789404298980003,21.982521307573485,0.023362796596264997,0.00032662769788123177,0.1418098762899581,0.0,0.0,0.0
1999,147.10145285624105,174.4422629817551,0.4309101117212518,483.5263145672638,0.0,0.0,0.0,0.0015779997395065,0.15751381449132434,20.76790775848037,0.024045269773645243,0.00015376024518447203,0.06832566753629367,0.0,0.0,0.0
2000,161.28253930623808,44.1047176475302,0.9033546463113034,383.17245095206465,0.0,0.0,0.0,0.0019027941584870318,0.14737224101711235,4.995025867003588,0.00607941361397498,0.0002780596102494618,0.12268440333307677,0.0,0.0,0.0
2001,205.06690758749957,0.0,2.5120077420600757,392.6000760427819,0.0,0.0,0.0,0.0028103299109351106,0.14906084040206913,0.0,0.0,0.0006420084092862178,0.3041186592844176,0.0,0.0,0.0
2002,119.8713867605996,0.0,0.6655146653873895,337.345590642924,0.0,0.0,0.0,0.0016723645326439773,0.10626559676734465,0.0,0.0,0.000206881640051694,0.09034832605481044,0.0,0.0,0.0
2003,102.18358269212959,19.242120957310007,0.9084757706110308,478.4927855218551,0.0,0.0,0.0,0.0016236790610015097,0.10781825644628344,2.146413466764305,0.0026523580836624997,0.0002833652393535803,0.1157019438694653,0.0,0.0,0.0
2004,225.7058083578544,32.371081369613606,1.7655323532047338,542.055550271299,0.0,0.0,0.0,0.003197683386333096,0.18678269921823493,3.5742307737455836,0.00446206116609601,0.000441014837036658,0.2225907308503608,0.0,0.0,0.0
2005,391.7058152962477,153.47854654379765,2.8998185168166364,560.9916950044976,0.0,0.0,0.0,0.0051304661198179335,0.2159972184465332,16.14464712917154,0.021155694856534867,0.0008064966214466069,0.373570214362333,0.0,0.0,0.0
2006,235.93468726080448,243.69670630507474,1.6801500644453782,609.2518121030839,0.0,0.0,0.0,0.0016542353288379026,0.2107553852059695,23.27681723415477,0.033591429024425405,0.0004937828047838147,0.2187246526447672,0.0,0.0,0.0
2007,100.67741851797248,4.099287442407248,0.7119101116180954,466.2177603006266,0.0,0.0,0.0,0.001101112794052745,0.11473109301786848,0.3699019303205228,0.0005650484646632196,0.00022415757289406547,0.09333031954612331,0.0,0.0,0.0
2008,190.53323143973967,0.0,0.45089349349449875,488.46336512296153,0.0,0.0,0.0,0.0023185332569776508,0.15369595341072514,0.0,0.0,0.00016724829098169102,0.07644966679798071,0.0,0.0,0.0
