year,actual,calculated,difference,delta,P_drainage,P_runoff,P_erosion,P_uptake
,kg,kg,kg,kg,kg,kg,kg,kg
1980,0.0,0.043164685163919136,-0.043164685163919136,-0.05366560138327259,0.00041082567372844144,0.04969313704314134,0.046726323830321936,0.0
1981,0.0,0.03369128025215028,-0.03369128025215028,-0.046139535947759214,0.0045932968431223594,0.039874169889342406,0.035363349467444724,0.0
1982,0.0,0.05786088243309386,-0.05786088243309386,-0.08224726481012112,0.0038635403241325064,0.0680515984445328,0.06819300847454968,0.0
1983,0.0,0.08463515899835164,-0.08463515899835164,-0.14146087940639518,0.008579975619408901,0.0990457693096811,0.11847029347565681,0.0
1984,0.0,0.05095075808482769,-0.05095075808482769,-0.04567912405991592,0.00338245623778382,0.058481507401460964,0.03476591850549883,0.0
1985,0.0,0.04821569665015281,-0.04821569665015281,-0.1262401658791532,9.36192790006395e-05,0.05983445826520514,0.11452778498510023,0.0
1986,0.0,0.044130848662206845,-0.044130848662206845,-0.03964781063268674,0.006853287360414205,0.05219600401501856,0.024729367919460822,0.0
1987,0.0,0.036067050629616154,-0.036067050629616154,-0.02842101040982925,0.0015956155623600313,0.042071741936815364,0.020820703540270012,0.0
1988,0.0,0.0360415254993743,-0.0360415254993743,-0.06623045689980245,0.0013526987425216727,0.04269310622728707,0.058226177429368,0.0
1989,0.0,0.04401083854605094,-0.04401083854605094,-0.03455110467371014,0.004080925712298698,0.04742684801376633,0.027054169493696052,0.0
1990,0.0,0.03997838052405163,-0.03997838052405163,-0.03934175428139497,0.0020776382220778987,0.04496901636245973,0.03227348022090897,0.0
1991,0.0,0.038624690214178733,-0.038624690214178733,-0.03129058048079969,0.0,0.042374224798041496,0.027541045896936928,0.0
1992,0.0,0.03194821940138598,-0.03194821940138598,-0.080867838025938,0.0,0.04118746425620583,0.07162859317111815,0.0
1993,0.0,0.050522315736872006,-0.050522315736872006,-0.08707657463355645,0.0033194165525425407,0.05908980636323779,0.07518966745464813,0.0
1994,0.0,0.04249473158886747,-0.04249473158886747,-0.0960443997502125,0.0,0.052477206432222985,0.08606192490685699,0.0
1995,0.0,0.0583306090313902,-0.0583306090313902,-0.10648983613816654,0.014948051211302785,0.06848243084190608,0.08138996311634787,0.0
1996,0.0,0.05818955969975687,-0.05818955969975687,-0.1212368442937759,0.005161642017775573,0.0760509047074547,0.0982138572683025,0.0
1997,0.0,0.04090985513084463,-0.04090985513084463,-0.040382735741332,0.0033400612956923214,0.047769627908534965,0.03018290166794934,0.0
1998,0.0,0.05008217890473181,-0.05008217890473181,-0.06462218869000935,0.007787598865421663,0.05964680996600011,0.04726995876331939,0.0
1999,0.0,0.046052087457317537,-0.046052087457317537,-0.03724282980977023,0.008015089924548415,0.05250460483044146,0.022775222512097886,0.0
2000,0.0,0.042057173112297,-0.042057173112297,-0.049988179542424405,0.0020264712046583265,0.04912408033903748,0.0408948011110256,0.0
2001,0.0,0.04070806863330816,-0.04070806863330816,-0.11035176459552076,0.0,0.049686946800689726,0.1013728864281392,0.0
2002,0.0,0.03017851798058856,-0.03017851798058856,-0.035359456293463154,0.0,0.03542186558911489,0.03011610868493682,0.0
2003,0.0,0.031472401059734735,-0.031472401059734735,-0.04391845174006903,0.0008841193612208332,0.03593941881542782,0.03856731462315511,0.0
2004,0.0,0.05240209098324508,-0.05240209098324508,-0.08554307276165218,0.0014873537220320044,0.06226089973941168,0.07419691028345358,0.0
2005,0.0,0.05492425446265016,-0.05492425446265016,-0.1486501214258169,0.007051898285511625,0.07199907281551107,0.12452340478744436,0.0
2006,0.0,0.059995189279949526,-0.059995189279949526,-0.09436196634510452,0.011197143008141801,0.07025179506865652,0.07290821754825573,0.0
2007,0.0,0.03387147051702191,-0.03387147051702191,-0.035670683159196415,0.00018834948822107325,0.03824369767262282,0.031110106515374436,0.0
2008,0.0,0.04296319143166367,-0.04296319143166367,-0.033752015304571614,0.0,0.05123198447024171,0.025483222265993574,0.0
2009,0.0,0.055917650351076015,-0.055917650351076015,-0.10216509925203354,0.0023862678481859786,0.0654957669856165,0.09020071476930708,0.0
2010,0.0,0.05713911966342826,-0.05713911966342826,-0.10468184897626998,0.0020940467942229682,0.06941799816789823,0.09030892367757704,0.0
2011,0.0,0.04279029220349395,-0.04279029220349395,-0.036261636070207715,0.00270017968238707,0.048886487888552044,0.027465260702762555,0.0
2012,82.8,58.51196116859069,24.28803883140931,58.336907569255686,0.003306849808073675,0.11625788319845799,0.05548886632846812,0.0
2013,111.6,91.58335387650851,20.016646123491483,45.54946773443521,0.0017236744803127136,2.4623640052753513,1.668507135191456,41.90129132712618
2014,64.8,56.945673643414096,7.854326356585901,2.906005330791004,0.018797461192845838,5.837719674480624,1.2023977560089076,46.980753420940715
2015,120.6,89.9762028226892,30.62379717731079,47.91703277377178,0.009421433789221554,4.043282479710196,0.7181180697226915,37.28834806569531
2016,183.6,134.3203265704515,49.279673429548495,73.04060696899523,0.02512973881426449,15.241263370065175,1.9266483148182274,44.08667817775862
2017,0.0,0.9208575399254771,-0.9208575399254771,-0.15166851973481243,0.005787634431801312,1.0605683183666983,0.006170106861789956,0.0
2018,0.0,0.7313125527156625,-0.7313125527156625,-0.2413104748004571,0.002106851377042733,0.8960378039221648,0.07447837221691207,0.0
2019,0.0,1.1311373118074568,-1.1311373118074568,-0.19722191411779022,0.005446832400738242,1.2769212399361958,0.04599115358831298,0.0
