year,j_day,TS,VS,N,P,K,TS_liquid,VS_liquid,N_liquid,P_liquid,K_liquid,TS_DM_effluent,CH4_emissions
,,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
2009,244,22791.315558800492,44395.58343224679,32385.474604033167,2614.649675455506,4867.289094191681,66474.67037983476,36323.659171838284,75566.10740941072,3921.974513183259,27581.30486708619,5697.828889700123,21.50562961637805
2009,245,45582.62373330552,88791.15248050136,64783.33236144808,5724.999345130427,10153.138589601542,132949.3192221411,72647.30657495566,151161.10884337884,8587.49901769564,57534.45200774207,5697.827043626256,43.011209392994594
2009,246,68373.92433881055,133186.70678497473,97193.58738213251,8835.37847130981,15437.756826666993,199423.94598819746,108970.94191497931,226785.03722497585,13253.067706964715,87480.62201777963,5697.825151376261,64.51673932984964
2009,247,91165.21720453372,177582.24601299802,129616.21008937659,11945.787566825773,20722.496167807592,265898.55017989,145294.5649197256,302437.8235418787,17918.68135023866,117427.47828424301,5697.823216430794,86.02221942694317
2009,248,113956.50255540808,221977.770602722,162051.2139983155,15056.227367195877,26003.26988171667,332373.1324532736,181618.17594768162,378119.4993294029,22584.341050793817,147351.86266306113,5697.821337718589,107.52764976048277
2009,249,136747.77998507983,266373.27976260346,194498.61397375254,18166.698681389007,31289.17421925509,398847.69162314956,217941.77435122099,453830.09927208937,27250.048022083512,177305.3205757788,5697.819357417939,129.03303033046848
2009,250,159539.04975272322,310768.7739974921,226958.38024443545,21277.20201164994,36577.15574275954,465322.2284454427,254265.3605434026,529569.5539036829,31915.803017474915,207270.5492089707,5697.817441910843,150.53836128931545
2009,251,182334.4299521117,355172.2750108843,263271.05922866694,24436.545709731072,41732.72594970221,531808.7540269924,290595.497736178,614299.138200223,36654.81856459661,236485.44704831252,5698.845049847121,172.05004030791602
2009,252,205129.80148366484,399575.7591400555,299595.9919578291,27547.824468439718,47120.460672935165,598295.2543273557,326925.6211145908,699057.314568268,41321.73670265958,267015.9438132993,5698.842882888286,193.56166971537786
2009,253,227925.16474289465,443979.22715543024,335933.1901942327,30659.136125501645,52520.02335044366,664781.7305001093,363255.7313089883,783844.1104532098,45988.70418825247,297613.4656525141,5698.840814807449,215.07324951170094
2009,254,250720.51897819922,488382.67759295064,372282.6259807313,33770.48128188847,57912.67885166357,731268.180353081,399585.82712150493,868659.4606217064,50655.7219228327,328171.8468260936,5698.838558826141,236.5847796968853
2009,255,273515.8645873952,532786.1112275303,408644.31037091796,36881.860539156274,63297.61605719462,797754.6050465693,435915.90918616107,953503.3908654754,55322.79080873442,358686.4909907696,5698.836402298999,258.0962602709309
2009,256,296311.19997769943,577189.5249565605,445018.25407384423,39993.27448011059,68691.1948332421,864240.9999349565,472245.9749644584,1038375.9261723033,59989.91172016588,389250.10405503865,5698.833847576054,279.60769123383767
2009,257,319106.52554773056,621592.9195565168,481404.467461725,43104.72366922569,74085.72384919207,930727.3661808806,508576.0250916955,1123277.090744025,64657.08550383854,419819.1018120885,5698.831392507776,301.1190725856058
2009,258,341904.1757368877,666000.8423208125,518557.76072573935,46343.56252023595,79337.25670080373,997220.5125659222,544909.7800806647,1209968.1083600586,69515.34378035393,449577.78797122114,5699.412547289285,322.6285716772386
2009,259,364701.8157118305,710408.7451886699,555723.3623138772,49546.596572920964,84752.0357651492,1063713.6291595055,581243.5187907298,1296687.8453990468,74319.89485938144,480261.5360025122,5699.409993735708,344.1380213101478
2009,260,387499.4456719349,754816.6285484566,592901.2826316827,52749.66429796883,90168.84693926797,1130206.7165431431,617577.2415396462,1383436.326140593,79124.49644695326,510956.7993225186,5699.4074900260985,365.64742148433345
2009,261,410297.064807885,799224.4908236925,630091.5317581436,55952.76624389591,95581.0255246963,1196699.7723563309,653910.9470375665,1470213.5741023351,83929.14936584387,541625.8113066126,5699.404783987504,387.15677219979557
2009,262,433094.67352778686,843632.3328093349,667294.1194529566,59155.90294184215,100984.75033743292,1263192.797789378,690244.6359349102,1557019.612056899,88733.85441276323,572246.9185787867,5699.402179975477,408.6660734565341
2009,263,455892.2718316406,888040.1545053833,704509.0551636522,62359.07490595887,106391.95518301791,1329685.792842285,726578.3082316772,1643854.4620485217,93538.61235893832,602887.7460371016,5699.399575963451,430.17532525454897
2009,264,478689.8585231318,932447.9535815173,741736.3480325786,65562.28263378884,111802.5726630076,1396178.7540258009,762911.9620212412,1730718.14540935,98343.42395068327,633547.9117570432,5699.396672872796,451.68452759384047
2009,265,501489.90377304854,976860.5417245843,780475.71033405,68834.56659021827,117184.24282668206,1462678.8860047245,799249.534138296,1821109.99077945,103251.84988532742,664044.0426845318,5700.011312479183,473.19524132376506
2009,266,524289.9374558477,1021273.1073358702,819227.4448909003,72125.86879202342,122554.10825168264,1529178.9842462223,835587.0878202572,1911530.7047454338,108188.80318803515,694473.2800928685,5700.008420699805,494.70590559496617
2009,267,547089.958984756,1065685.6492723895,857991.5618263842,75417.21025252974,127921.23507923135,1595679.0470388716,871924.6221319546,2001980.3109282297,113125.8153787946,724886.9987823112,5700.005382227064,516.2165204074437
2009,268,569889.9679596395,1110098.1667547147,896768.0684969011,78708.59137208544,133287.1255553693,1662179.073215615,908262.1364356752,2092458.8264927692,118062.88705812817,755293.7114804261,5700.002243720872,537.7270857611975
2009,269,592689.9637896165,1154510.658631857,935556.9719968569,82000.01253678069,138667.25603254104,1728679.0610530474,944599.6297897007,2182966.267992666,123000.01880517104,785781.1175177325,5699.998957494228,559.2376016562278
2009,270,615489.946468612,1198923.1248919838,974358.2791647094,85291.47411877644,144010.83684977048,1795179.010533451,980937.1021843499,2273502.651384322,127937.21117816468,816061.4088153662,5699.9956697488815,580.7480680925345
2009,271,638289.9154264163,1243335.5644243737,1013171.9965888923,88582.9764766269,149370.60162138223,1861678.919993714,1017274.5527108507,2364067.9920407487,132874.4647149404,846433.4091878326,5699.992239451104,602.2584851463251
2009,272,661089.0543530132,1287746.3871251405,1046804.1004106135,91861.10088334727,154410.47755415773,1928176.408529621,1053610.6803751145,2442542.9009580985,137791.65132502094,874992.7061402272,5699.78473164921,623.7605543417993
2009,273,683888.1789351824,1332157.1818841575,1080448.564138657,95057.50184228382,159613.7480670397,1994673.855227615,1089946.7851779468,2521046.649656866,142586.25276342576,904477.905713225,5699.781145542318,645.2625742309651
2009,274,706687.2895824173,1376567.9494990841,1114105.3926123301,98253.9453452002,164805.07155482064,2061171.2612820505,1126282.8677719776,2599579.2494287705,147380.91801780034,933895.4054773172,5699.777661808754,666.7645448138225
2009,275,729486.3859348344,1420978.6892688964,1147774.550167773,101450.43157365508,169991.13686814875,2127668.6256432664,1162618.927583642,2678140.617058137,152175.64736048266,963283.1089195098,5699.774088104244,688.266466166579
2009,276,752285.4681825673,1465389.4015639592,1181456.081564336,104646.9608410825,175183.1051558478,2194165.9488658207,1198954.9649159661,2756730.856983451,156970.44126162378,992704.2625498043,5699.770561933217,709.7683382892347
2009,277,775084.5355472056,1509800.0848679943,1215149.9910553591,107843.53337895671,180375.05468668445,2260663.2286793496,1235290.9785283585,2835349.979129171,161765.30006843508,1022125.3098912123,5699.766841159586,731.2701611817898
2009,278,797883.5880779279,1554210.7392767973,1248856.2413148042,111040.14927837768,185551.77767693548,2327160.4652272896,1271626.9684991972,2913997.8964012098,166560.22391756656,1051460.0735026347,5699.763132680583,752.7719349204514
2009,279,820679.9553506161,1598616.1630267212,1282385.9104017247,114253.84226952687,190618.18277623563,2393649.8697726303,1307958.6788400442,2992233.7909373576,171380.76340429037,1080169.702398669,5699.0918181720635,774.2654477484676
2009,280,843476.3074466994,1643021.5572138834,1315927.8105317394,117381.01783732336,195929.81808282784,2460139.2300528735,1344290.364993177,3070498.224574059,176071.5267559851,1110268.9691360246,5699.088024020818,795.7589116512131
2009,281,866272.6445691889,1687426.9222337329,1349481.9045609916,120508.23726358177,201230.07076708396,2526628.5466601346,1380622.0272821446,3148791.110642314,180762.35589537272,1140303.7343468093,5699.084280622392,817.2523265524809
2009,282,889068.9667180848,1731832.2580862697,1383048.1962661955,123635.50075383752,206528.3333647198,2593117.8195944144,1416953.6657069474,3227112.457954456,185453.25113075634,1170327.222400079,5699.080537223967,838.7456924522702
2009,283,911865.2734812683,1776237.563968721,1416626.6892496145,126762.8085041322,211828.5043078967,2659607.0476536998,1453285.2796107715,3305462.274915767,190144.2127561984,1200361.5244114147,5699.076690795897,860.2390093505817
2009,284,934661.5639357935,1820642.838083265,1450217.386943325,129890.16070124548,217122.22890158583,2726096.228146065,1489616.867522671,3383840.5695344247,194835.2410518683,1230359.2971089864,5699.072613631299,881.7322773998304
2009,285,957457.8375115877,1865048.0793194473,1483820.2510668074,133017.55738433273,222408.27990637452,2792585.359408798,1525948.4285340928,3462247.2524892176,199526.3360764992,1260313.5861361222,5699.068393948557,903.2254966000162
2009,286,980257.8910928406,1909460.6836912625,1522297.810389855,136172.111989844,227867.46873405413,2859085.5156874517,1562286.0139292146,3552028.224242995,204258.1679847661,1291248.9894929735,5700.01339531319,924.7302586689646
2009,287,1003057.9268028438,1953873.2532513728,1560787.4214823365,139186.66271740885,233637.5919469759,2925585.619841628,1598623.5708420323,3641837.3167921184,208779.99407611333,1323946.3543661968,5700.008927500809,946.2349721174728
2009,288,1025857.9448410536,1998285.7883883025,1599289.0870041158,142201.25608058172,239407.5156858551,2992085.6724530733,1634961.099590429,3731674.5363429366,213301.88412087265,1356642.5888865122,5700.004509552449,967.7396369455413
2009,289,1048657.9450398912,2042698.2887756214,1637802.8094735676,145215.89221641707,245180.14509796782,3058585.673033016,1671298.5999073265,3821539.888771658,217823.83832462563,1389354.1555551512,5700.000049709382,989.2442532293767
2009,290,1071457.9268084406,2087110.7532622754,1676328.5519317123,148230.57123599076,250941.79086894525,3125085.619857952,1707636.070850952,3911433.2878406625,222345.85685398622,1422003.4815906896,5699.995442137388,1010.7488208927725
