year,j_day,flush_water_volume,TS,VS,N,P,K,TS_liquid,VS_liquid,N_liquid,P_liquid,K_liquid,TS_DM_effluent,WIP,WOP,CH4
,,liters,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
2009,244,3138724.620785261,15065.878179769259,29347.075204342193,18852.480693280035,1719.3901696634393,2908.847297698525,43942.144690993664,24011.243349007247,43989.121617653414,2579.0852544951586,16483.46802029164,3766.4695449423148,624.6443364747613,62.46443364747613,137487.31848563382
2009,245,3138726.7361492994,15065.888333516637,29347.094982995954,18860.519181451346,2085.0479110605183,2911.4745097410305,43942.17430609019,24011.25953154214,44007.87809005313,3127.571866590777,16498.35555519917,3766.47208337916,640.3525314223546,64.03525314223548,137500.74697634295
2009,246,3138728.9805289283,15065.899106538855,29347.115967945483,18868.52621023479,2085.0634228310464,2921.6193036118784,43942.205727405,24011.276701046303,44026.56115721453,3127.5951342465696,16555.842720467313,3766.4747766347136,640.3086063978038,64.0308606397804,137514.6944150756
2009,247,3138731.155179368,15065.909544860968,29347.136300927094,18876.457925967094,2085.0790808300826,2919.8042049762116,43942.236172511155,24011.293337122166,44045.06849392322,3127.618621245124,16545.557161531862,3766.477386215242,640.2618771135313,64.02618771135316,137528.25475857407
2009,248,3138733.285404637,15065.91976994226,29347.15621853336,18884.3970784243,2085.0951435488428,2910.3294220627067,43942.26599566492,24011.309633345474,44063.59318299003,3127.642715323264,16491.866725022017,3766.479942485565,640.2168072959463,64.02168072959464,137541.58005496464
2009,249,3138735.298994813,15065.929435175098,29347.175045601503,18892.304117421198,2085.1115810452725,2921.05566801209,43942.294185927385,24011.32503731032,44082.04294064948,3127.6673715679085,16552.648785401852,3766.482358793775,640.1645953940126,64.01645953940128,137554.35648734868
2009,250,3138737.225968824,15065.938684650358,29347.193062808507,18900.21817999763,2085.1284007773243,2928.8861164545524,43942.32116356354,24011.3397786615,44100.50908666114,3127.6926011659857,16597.021326575807,3766.48467116259,640.1087054261652,64.01087054261652,137566.73585606704
2009,251,3139238.215090544,15068.343432434607,29351.877311096585,20725.23533150935,2151.137320407403,3283.245810930239,43949.33501126761,24015.172345442654,48358.88244018848,3226.705980611104,18605.05959527134,3767.0858581086522,644.9557064046279,64.49557064046282,135355.1642169462
2009,252,3139239.949017585,15068.351755284408,29351.893523314415,20733.448662756316,2030.4150718249239,3460.8802300787756,43949.35928624619,24015.185609984517,48378.04687976473,3045.622607737386,19611.654637113068,3767.087938821102,616.2010231157055,61.62010231157058,135366.74912210036
2009,253,3139241.6802496677,15068.360065198405,29351.9097103344,20741.666001707505,2030.4377841487976,3442.1890775478605,43949.38352349536,24015.19885390996,48397.220670650844,3045.656676223197,19505.738106104534,3767.0900162996013,616.1812373846062,61.61812373846065,135378.3253465667
2009,254,3139243.376982957,15068.368209518201,29351.925574790657,20749.847872948783,2030.4606887061454,3451.5367318598874,43949.407277761406,24015.211833919624,48416.311703547166,3045.691033059218,19558.708147206034,3767.0920523795503,616.1612782916113,61.61612782916114,135389.6959817564
2009,255,3139245.0379437,15068.376182129758,29351.941104773596,20757.994123702214,2030.4837771825232,3453.5777942089335,43949.43053121181,24015.224540269304,48435.31962197184,3045.7256657737853,19570.274167183947,3767.09404553244,616.1405762374125,61.614057623741246,135400.86018556997
