year,DM,NDF,C,N,P,CP,NPN,C_loss,CP_loss
,kg,kg,kg,kg,kg,kg,kg,kg,kg
1980,433194.51039969287,0.0,433194.51039969287,433194.51039969287,433194.51039969287,433194.51039969287,208.142831813156,67608.39179648364,8.32571327252623
1981,27056252.149694268,0.0,27056252.149694268,27056252.149694268,27056252.149694268,27056252.149694268,6368.5711342790055,2705247.7851267294,343.8765953404057
1982,74241842.10268658,0.0,74241842.10268658,74241842.10268658,74241842.10268658,74241842.10268658,17163.719994603143,9740843.932361221,1072.7324996626965
1983,89519983.96544313,0.0,89519983.96544313,89519983.96544313,89519983.96544313,89519983.96544313,34786.1399605103,18315914.636384666,2174.1337475318937
1984,62853009.528687455,0.0,62853009.528687455,62853009.528687455,62853009.528687455,62853009.528687455,30971.242520893553,12584982.787651544,1912.5131965133555
1985,60753585.0987298,0.0,60753585.0987298,60753585.0987298,60753585.0987298,60753585.0987298,19875.639206960946,10941059.075433146,1117.9712178129214
1986,77940444.18993573,0.0,77940444.18993573,77940444.18993573,77940444.18993573,77940444.18993573,41866.79988478905,15948156.848515457,2616.6749927993155
1987,77732804.03671537,0.0,77732804.03671537,77732804.03671537,77732804.03671537,77732804.03671537,35041.89998694931,15888242.402912559,2190.118749184332
1988,63815796.475290366,0.0,63815796.475290366,63815796.475290366,63815796.475290366,63815796.475290366,29882.007085786176,12640185.503923947,1844.5492828650408
1989,68413617.3007135,0.0,68413617.3007135,68413617.3007135,68413617.3007135,68413617.3007135,17571.548393414818,11810479.884198349,972.077135654434
1990,67755268.93239756,0.0,67755268.93239756,67755268.93239756,67755268.93239756,67755268.93239756,33279.37998975568,13863950.01407537,2079.96124935973
1991,72746896.64378393,0.0,72746896.64378393,72746896.64378393,72746896.64378393,72746896.64378393,35194.799985976526,14865656.558635592,2199.674999123533
1992,51842863.64410525,0.0,51842863.64410525,51842863.64410525,51842863.64410525,51842863.64410525,29869.31362688703,10225544.53698182,1843.4160444525114
1993,60375376.50984465,0.0,60375376.50984465,60375376.50984465,60375376.50984465,60375376.50984465,16239.018760032715,10248792.388771322,889.5494628298591
1994,53257414.96499577,0.0,53257414.96499577,53257414.96499577,53257414.96499577,53257414.96499577,34341.339989573906,10884707.125952834,2146.333749348369
1995,57027787.33370293,0.0,57027787.33370293,57027787.33370293,57027787.33370293,57027787.33370293,34672.159982131656,11675408.742504312,2167.0099988832285
1996,46412493.86268516,0.0,46412493.86268516,46412493.86268516,46412493.86268516,46412493.86268516,30281.278153870226,9156850.813235423,1869.2771249902564
1997,51643049.6493381,0.0,51643049.6493381,51643049.6493381,51643049.6493381,51643049.6493381,16637.0437545923,8738046.55005329,915.1813501107415
1998,47180482.515323065,0.0,47180482.515323065,47180482.515323065,47180482.515323065,47180482.515323065,35981.53998768967,9643999.374828488,2248.8462492306044
1999,49798141.01874588,0.0,49798141.01874588,49798141.01874588,49798141.01874588,49798141.01874588,43618.199961483806,10188416.83530925,2726.137497592738
2000,32704820.361596316,0.0,32704820.361596316,32704820.361596316,32704820.361596316,32704820.361596316,30160.006922193512,6365373.246330195,1861.9242745668378
2001,47382199.42054621,0.0,47382199.42054621,47382199.42054621,47382199.42054621,47382199.42054621,17249.128651381903,8029924.090638885,954.1919834766389
2002,39598897.39904009,0.0,39598897.39904009,39598897.39904009,39598897.39904009,39598897.39904009,33593.51998948392,8092249.823674633,2099.594999342745
2003,46330437.80303947,0.0,46330437.80303947,46330437.80303947,46330437.80303947,46330437.80303947,33910.439933309586,9473019.484316992,2119.402495831849
2004,39569805.65818967,0.0,39569805.65818967,39569805.65818967,39569805.65818967,39569805.65818967,31056.32069168385,7788228.052853104,1917.792819531171
2005,47553512.56880384,0.0,47553512.56880384,47553512.56880384,47553512.56880384,47553512.56880384,19734.97581964159,8079598.577173942,1107.6690701620255
2006,36931814.603587486,0.0,36931814.603587486,36931814.603587486,36931814.603587486,36931814.603587486,41533.894979887235,7556674.664509302,2595.868436242952
2007,39306891.7027582,0.0,39306891.7027582,39306891.7027582,39306891.7027582,39306891.7027582,34383.03998847796,8030932.067165166,2148.9399992798726
2008,37637695.66487917,0.0,37637695.66487917,37637695.66487917,37637695.66487917,37637695.66487917,30284.63544547371,7398800.665614486,1869.4114175371155
2009,47719270.53468532,0.0,47719270.53468532,47719270.53468532,47719270.53468532,47719270.53468532,16537.07005483028,8120871.832417144,908.5553021189261
2010,42239100.62948296,0.0,42239100.62948296,42239100.62948296,42239100.62948296,42239100.62948296,36148.33998805773,8633453.026717968,2259.271249253608
2011,40726504.86118049,0.0,40726504.86118049,40726504.86118049,40726504.86118049,40726504.86118049,42339.39988560532,8334645.291487225,2646.2124928503326
2012,26317290.642196782,0.0,26317290.642196782,26317290.642196782,26317290.642196782,26317290.642196782,31476.677930816924,5153400.3518397035,1943.9896039339387
2013,36333598.48988396,0.0,36333598.48988396,36333598.48988396,36333598.48988396,36333598.48988396,16570.914732493547,6197464.952935993,911.4259267271094
2014,35105759.65593258,0.0,35105759.65593258,35105759.65593258,35105759.65593258,35105759.65593258,33170.95999013264,7188503.473901984,2073.18499938329
