year,yield
,kg/ha
1980,1708.4777074290755
1981,7856.7921158169
1982,11742.7553773269
1983,12192.352299776168
1984,2722.254989814182
1985,10648.978381041488
1986,9013.102111050204
1987,11903.364270338734
1988,5633.995274580593
1989,7409.892749712904
1990,8489.419745346682
1991,7333.419609161303
1992,3161.873082612148
1993,4153.642208801934
1994,3895.0482488744556
1995,4044.515347338056
1996,1462.928411302516
1997,2261.3191783112675
1998,2431.5809962957633
1999,1713.2286113180614
2000,431.75364433464813
2001,1056.0460447794196
2002,1169.627501643642
2003,1051.040673211308
2004,224.95627304735703
2005,629.9290315058511
2006,421.147126215033
2007,543.0756543272264
2008,188.8795188017444
2009,301.8524155800064
2010,303.22345315934683
2011,203.34374766083891
2012,50.58676624905313
2013,141.88244781385248
2014,143.989123522551
2015,149.07188002422612
2016,38.61995974941428
2017,87.89635847207869
2018,50.63413922690206
2019,46.26538173546481
