year,manure_applied,manure_N_applied,manure_P_applied,fert_applied,fert_N_applied,fert_P_applied,fert_K_applied
,kg,kg,kg,kg,kg,kg,kg
1980,10400.0,520.0,624.0,0.0,0.0,0.0,0.0
1981,488800.0,24440.0,29328.0,0.0,0.0,0.0,0.0
1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,10400.0,520.0,624.0,0.0,0.0,0.0,0.0
1985,624000.0,31200.0,37440.0,0.0,0.0,0.0,0.0
1986,852800.0,42640.0,51168.0,0.0,0.0,0.0,0.0
1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,10400.0,520.0,624.0,0.0,0.0,0.0,0.0
1989,863200.0,43160.0,51792.0,0.0,0.0,0.0,0.0
1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,10400.0,520.0,624.0,0.0,0.0,0.0,0.0
1993,1154400.0,57720.0,69264.0,0.0,0.0,0.0,0.0
1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,10400.0,520.0,624.0,0.0,0.0,0.0,0.0
1997,832000.0,41600.0,49920.0,0.0,0.0,0.0,0.0
1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,780000.0,39000.0,46800.0,0.0,0.0,0.0,0.0
2000,10400.0,520.0,624.0,0.0,0.0,0.0,0.0
2001,1185600.0,59280.0,71136.0,0.0,0.0,0.0,0.0
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,10400.0,520.0,624.0,0.0,0.0,0.0,0.0
2005,904800.0,45240.0,54288.0,0.0,0.0,0.0,0.0
2006,977600.0,48880.0,58656.0,0.0,0.0,0.0,0.0
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,10400.0,520.0,624.0,0.0,0.0,0.0,0.0
2009,436800.0,21840.0,26208.0,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,790400.0,39520.0,47424.0,0.0,0.0,0.0,0.0
2012,10400.0,520.0,624.0,0.0,0.0,0.0,0.0
2013,1164800.0,58240.0,69888.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,10400.0,520.0,624.0,0.0,0.0,0.0,0.0
2017,509600.0,25480.0,30576.0,0.0,0.0,0.0,0.0
2018,613600.0,30680.0,36816.0,0.0,0.0,0.0,0.0
2019,832000.0,41600.0,49920.0,0.0,0.0,0.0,0.0
