year,actual,calculated,difference,delta,N_drainage,N_runoff,N_erosion,N_uptake
,kg,kg,kg,kg,kg,kg,kg,kg
1980,520.0,115.65985196533205,404.34014803466795,22.016391384752495,0.0,1.2147280270165783,0.11502986568996233,92.31370268787302
1981,24440.0,586.9306780761816,23853.06932192382,151.9162503777166,0.0,24.138408607321345,2.6718658912895257,408.20415319985415
1982,0.0,606.0596817847184,-606.0596817847184,-269.83232212186084,0.0,10.556989434555941,3.6176522254932286,861.71736224653
1983,0.0,1186.3213898528754,-1186.3213898528754,17.289533449586088,0.0,4.562313397828447,2.307919423237228,1162.1616235822237
1984,520.0,2221.891227775591,-1701.8912277755908,652.6034584886518,0.0,16.00771261271045,2.541325959109857,1550.738730715119
1985,31200.0,2243.7773932602304,28956.22260673977,98.43336604986769,0.0,95.99361244413653,6.957392307123246,2042.3930224591027
1986,42640.0,2446.146015339418,40193.853984660585,-153.21529378287357,0.0,65.62568111377134,14.09323724234298,2519.6423907661774
1987,0.0,2864.527425780149,-2864.527425780149,-188.0790618486742,0.0,32.607291173124985,9.465397763502565,3010.5337986921954
1988,520.0,4371.141198916815,-3851.1411989168146,565.5338767960694,0.0,10.778029336077621,2.2479947252462185,3792.581298059421
1989,43160.0,5965.506539637085,37194.493460362915,1682.0942804250785,0.0,55.78030919967607,5.018260712552702,4222.613689299777
1990,0.0,2929.027357065661,-2929.027357065661,-1852.137028336009,0.0,55.17155392734741,7.570881365022964,4718.421950109299
1991,0.0,4672.356452547194,-4672.356452547194,-532.2629272611708,0.0,27.59226924844933,9.485746938238941,5167.541363621676
1992,520.0,6904.347934935489,-6384.347934935489,868.4249083803439,0.0,15.367289864558746,4.644822591069231,6015.910914099517
1993,57720.0,7905.635725989719,49814.36427401028,1225.560293758371,0.0,244.5355098217866,15.277365936691341,6420.26255647287
1994,0.0,5190.17365164301,-5190.17365164301,-1787.5117360797967,0.0,47.47223249281109,6.072840544479776,6924.140314685516
1995,0.0,7198.94095366333,-7198.94095366333,-245.18664271233934,0.0,18.120779759794377,5.380486230413406,7420.626330385462
1996,520.0,9118.987662803785,-8598.987662803785,812.5064893525407,0.0,26.873198373564783,5.549206959978482,8274.058768117702
1997,41600.0,10222.256063555407,31377.743936444593,1365.3690305323853,0.0,181.65884554358743,8.811536407576334,8666.416651071859
1998,0.0,7674.767684377569,-7674.767684377569,-1576.6527508697782,0.0,60.522205254835875,10.925410101589872,9179.972819890922
1999,39000.0,9776.500836621659,29223.499163378343,98.08707773971173,0.0,48.4513312155312,15.11330004945858,9614.849127616957
2000,520.0,10908.847254430926,-10388.847254430926,153.6237551625038,0.0,83.55316819951622,23.028137478266707,10648.64219359064
2001,59280.0,11674.499984179682,47605.50001582032,314.22598604809605,0.0,229.92858215153169,15.001408855457731,11115.344007124597
2002,0.0,11438.65347760303,-11438.65347760303,-226.6702501653242,0.0,31.55387283966271,8.18181241707283,11625.588042511617
2003,0.0,11486.463598611135,-11486.463598611135,-702.752829962539,0.0,41.24299305140988,9.111125321508597,12138.862310200755
2004,520.0,13728.806107926628,-13208.806107926628,583.8228883492677,0.0,39.92332948347796,11.645735887540075,13093.414154206343
2005,45240.0,15395.477230206896,29844.522769793104,1748.3518439105762,0.0,117.08992600277871,9.405244964445727,13520.630215329096
2006,48880.0,12197.656030242144,36682.34396975786,-1867.9362990551108,0.0,97.81211268220339,19.63486812054961,13948.145348494501
2007,0.0,14091.25121040508,-14091.25121040508,-466.01323000526827,0.0,70.79065468413525,19.845314640564997,14466.628471085649
2008,520.0,16198.682333163004,-15678.682333163004,630.632131722863,0.0,66.92037152957175,33.161033828674,15467.968796081896
2009,21840.0,17363.203758624928,4476.796241375072,1196.7470063868936,0.0,187.10068049796817,10.58580649080127,15968.770265249266
2010,0.0,15013.958746920016,-15013.958746920016,-1551.97448045567,0.0,68.98694416746497,9.1102864497482,16487.835996758473
2011,39520.0,17327.465690896595,22192.534309103405,375.93483674466177,0.0,44.117171936177854,12.942846397801384,16894.470835817956
2012,520.0,18113.380147370888,-17593.380147370888,398.69855258062967,0.0,34.82801686796207,5.893362884804064,17673.960215037492
2013,58240.0,19089.263204096926,39150.736795903074,856.0030793404653,0.0,160.5432253901306,15.062880721930169,18057.6540186444
2014,0.0,17340.476386762286,-17340.476386762286,-1250.2118000627938,0.0,62.81905693044019,16.09226419131553,18511.776865703323
2015,0.0,18362.1940711336,-18362.1940711336,-711.2217597616254,0.0,49.41333364167686,14.489542996324134,19009.512954257225
2016,520.0,20515.602784385625,-19995.602784385625,529.5924641465188,0.0,36.042054711694895,7.476668402989793,19942.491597124423
2017,25480.0,22013.037594925583,3466.962405074417,1492.65795501042,0.0,111.66287955640412,5.255978549643274,20403.460781809117
2018,30680.0,19090.308412518054,11589.691587481946,-1840.457096004127,0.0,98.4599327507198,21.254454577518036,20811.05112119394
2019,41600.0,21349.639368753007,20250.360631246993,12.577755299262208,0.0,80.6698539269457,26.357829593217236,21230.033929933583
