year,manure_applied,ET_max,ET
,kg,mm H20,mm H20
1980,10400.0,498.21701856368935,357.47660847908014
1981,488800.0,494.2852701749639,362.45693359887423
1982,0.0,476.80972297341566,371.7083001315655
1983,0.0,488.74364235784674,372.9548085612298
1984,10400.0,500.49376515044634,381.2621893699274
1985,624000.0,511.60918690663226,359.19042380262846
1986,852800.0,497.47231858286796,378.66716452027015
1987,0.0,517.5910966111654,388.09295398972074
1988,10400.0,584.4891988247767,326.80101194778626
1989,863200.0,524.6463816607942,350.35496580619383
1990,0.0,507.8898843153567,415.1754087183758
1991,0.0,524.7849964326754,381.4234443383675
1992,10400.0,489.09970527713494,351.07827592140495
1993,1154400.0,455.504020257582,335.6891314065388
1994,0.0,496.1235931133072,396.6950056971861
1995,0.0,479.9344237714609,383.4135865344912
1996,10400.0,470.65679247427187,357.8142877797518
1997,832000.0,464.8109124340444,328.8655655490436
1998,0.0,500.1007529524967,380.7083201634193
1999,780000.0,502.0360355698097,372.78050464875537
2000,10400.0,484.44166422992646,358.6140646802781
2001,1185600.0,479.59687409808237,330.7250691863923
2002,0.0,495.4952106037877,384.75527707466307
2003,0.0,501.02229829609064,371.2226773636967
2004,10400.0,471.0687236642865,379.1905984655696
2005,904800.0,534.6191866661014,330.062398742349
2006,977600.0,490.6354451642714,396.60115556453354
2007,0.0,525.0954876604268,382.4430897250856
2008,10400.0,500.9628126264456,364.074470729115
2009,436800.0,488.41673302984117,329.74562682598065
2010,0.0,516.3500590387405,403.16036318001625
2011,790400.0,508.7561326045818,383.16270468367765
2012,10400.0,587.3874675314943,349.4205712286219
2013,1164800.0,500.2498669404029,349.94215565202364
2014,0.0,478.19962875283085,386.1566675080561
2015,0.0,498.649964868095,377.26992387483733
2016,10400.0,495.12370640830903,371.76498019873026
2017,509600.0,490.78105183622034,360.02370176766334
2018,613600.0,471.0365396126174,363.8717525199447
2019,832000.0,453.2657908846275,374.15831388037714
