year,actual,calculated,difference,delta,P_drainage,P_runoff,P_erosion,P_uptake
,kg,kg,kg,kg,kg,kg,kg,kg
1980,624.0,441.4506774285756,182.5493225714244,428.6454361360484,0.0,4.055769039675393,0.6602458127110582,8.089226440140763
1981,29328.0,20836.78816669383,8491.21183330617,20602.34788012913,0.0,203.60665287054647,2.6478169038085237,28.18581679034399
1982,0.0,265.4189522850884,-265.4189522850884,-113.68862230229934,0.0,321.88172632388546,5.026646927503982,52.19920133599828
1983,0.0,266.39117423804555,-266.39117423804555,-98.27120436227779,0.0,285.38598034440747,4.48323006492161,74.79316819099425
1984,624.0,677.5489830068759,-53.548983006875915,318.38496966612,0.0,257.57517209129645,6.632779544166686,94.95606170529268
1985,37440.0,26872.725095035814,10567.274904964186,26164.275958995073,0.0,578.7973063596494,10.94670616354995,118.70512351753908
1986,51168.0,36698.00789866103,14469.992101338968,35697.99523301395,0.0,839.1352735168738,19.634940148142107,141.24245198206197
1987,0.0,833.3156217840165,-833.3156217840165,-319.03669520741096,0.0,970.2370992615881,17.622077511568996,164.49314021827024
1988,624.0,1242.0539918000336,-618.0539918000336,220.08341172206565,0.0,828.4883213078476,5.496010289984733,187.98624848013552
1989,51792.0,37647.30066487257,14144.699335127429,36293.94114329967,0.0,1135.5625484519908,8.909167970914037,208.88780514999138
1990,12000.0,9469.652882371896,2530.3471176281037,7947.25534679761,0.0,1271.1198805258755,18.607318361779132,232.6703366866316
1991,0.0,1144.2410357916096,-1144.2410357916096,-747.7342584622093,0.0,1601.0603556841163,36.643336011246106,254.2716025584565
1992,624.0,1470.7659409925493,-846.7659409925493,-341.0549476710148,0.0,1499.1892478650402,26.11696294185924,286.5146778566648
1993,69264.0,50254.443695159076,19009.556304840924,47696.7597111994,0.0,2208.627581328423,41.92432446418967,307.13207816706733
1994,0.0,1934.5347692580717,-1934.5347692580717,-738.2225706301979,0.0,2320.7557581001843,21.5696946748712,330.4318871132142
1995,0.0,1943.1756235670687,-1943.1756235670687,-714.468341183645,0.0,2275.4700855282085,27.86386887650824,354.310010345997
1996,624.0,1768.011391553619,-1144.011391553619,-382.2348622144782,0.0,1722.5605740004567,41.69606065874499,385.9896191088957
1997,49920.0,37195.1812809385,12724.818719061499,34160.62870542376,0.0,2597.035684572154,31.634686886267367,405.8822040563139
1998,0.0,1629.8565691757228,-1629.8565691757228,-1105.6613159947738,0.0,2248.7733341231797,56.96228164774287,429.782269399574
1999,46800.0,35748.36300047731,11051.636999522692,31855.800777710916,0.0,3386.683672233985,55.099536876963,450.77901365544074
2000,624.0,2226.901308644235,-1602.901308644235,-1271.319552426634,0.0,2889.1667429480226,127.2985720827004,481.7555460401458
2001,71136.0,52469.27667559916,18666.72332440084,48499.51518516394,0.0,3409.6189652926296,58.63637764390099,501.5061474986908
2002,0.0,2849.1277977677223,-2849.1277977677223,-919.022219214181,0.0,3208.9053319640834,35.40364162594328,523.8410433918766
2003,0.0,2186.3975698042186,-2186.3975698042186,-1315.5795056750649,0.0,2881.9132553363297,71.46587636870407,548.5979437742498
2004,624.0,3118.4230180752947,-2494.4230180752947,-1269.6279787740787,0.0,3694.522296836142,113.10873293920375,580.4199670740277
2005,54288.0,41349.46643445823,12938.533565541773,37096.29957722203,0.0,3604.3949503353087,47.727898479349946,601.0440084215337
2006,58656.0,44289.94359784432,14366.056402155678,39550.63068048563,0.0,4039.997862097672,77.7019009061298,621.6131543548894
2007,0.0,3317.488574890942,-3317.488574890942,-2399.504879001295,0.0,4946.166304594735,124.91784323657389,645.9093060609279
2008,624.0,2629.40448777144,-2005.40448777144,-3048.061711092945,0.0,4701.517906250004,298.29365440958,677.6546382048015
2009,26208.0,21061.24282469031,5146.757175309689,16411.330754645634,0.0,3868.2516670863392,80.23661281175941,701.4237901465752
2010,12000.0,11659.314655773402,340.6853442265983,6159.529005691467,0.0,4670.110384257439,105.37524284403037,724.3000229804645
2011,59424.0,46000.86648781814,13423.133512181863,40520.34693003079,0.0,4652.472108068654,84.02662615176584,744.0208235669202
2012,12624.0,12187.707313919715,436.2926860802854,7655.138172483596,0.0,3715.96879670891,49.413097436755585,767.1872472904531
2013,81888.0,63075.36941267227,18812.63058732773,55310.24234671699,0.0,6889.240743502554,89.41010490445635,786.4762175482736
2014,12000.0,13636.03961569894,-1636.039615698941,6297.900181018165,0.0,6400.779089938633,129.3454127811427,808.0149319610008
2015,12000.0,12022.431222633855,-22.431222633855214,5874.8469390932005,0.0,5142.288118488215,173.74656926165494,831.5495957907848
2016,12624.0,13242.014826351919,-618.0148263519186,6323.92721733154,0.0,5935.633753765538,122.87164633135998,859.5822089234802
2017,30576.0,26523.47345023235,4052.5265497676482,19807.275382208696,0.0,5774.892357104087,59.48388567397125,881.8218252455976
2018,36816.0,31761.408446792368,5054.591553207632,22326.892381345446,0.0,8326.033231885174,207.02299232115863,901.4598412405888
2019,49920.0,41639.348305785745,8280.651694214255,31108.419364698348,0.0,9378.185094967599,230.78288781278766,921.9609583070038
