year,manure_P_applied,P_uptake,fert_P_leach,M_leach,DRP_leach,M_DRP_runoff,fert_P_runoff,DRP_runoff,MIP_runoff,MOP_runoff
,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
1980,0.0,7.961101387944976,0.0,0.0,0.06020626138104994,0.7153361883756623,0.0,0.22656775334103096,0.0,0.0
1981,0.0,28.055886655544693,0.0,0.0,0.05211008458647935,0.473647964776435,0.0,0.13425494329920576,0.0,0.0
1982,0.0,52.04986119877205,0.0,0.0,0.04638453582566316,0.5049432048287382,0.0,0.11679416371230246,0.0,0.0
1983,0.0,74.64499774385716,0.0,0.0,0.044125051068209666,0.20546849102867026,0.0,0.04529988542010807,0.0,0.0
1984,0.0,85.66418583025377,0.0,0.0,0.04740349018609142,0.04899226847980488,0.0,0.016073499950641824,0.0,0.0
1985,0.0,109.2419452634271,0.0,0.0,0.04097256611670359,0.0,0.0,0.0,0.0,0.0
1986,0.0,131.40962529338918,0.0,0.0,0.015936125482305108,0.0,0.0,0.0,0.0,0.0
1987,0.0,147.82566539495755,0.0,0.0,0.013233627133056841,0.0,0.0,0.0,0.0,0.0
1988,0.0,157.80886921619492,0.0,0.0,0.03240460398087523,0.0,0.0,0.0,0.0,0.0
1989,0.0,171.35135448363332,0.0,0.0,0.011774458881583145,0.0,0.0,0.0,0.0,0.0
1990,0.0,183.27853700274886,0.0,0.0,0.012281443752560423,0.0,0.0,0.0,0.0,0.0
1991,0.0,191.91943044885392,0.0,0.0,0.020981973719722043,0.0,0.0,0.0,0.0,0.0
1992,0.0,197.75433219204822,0.0,0.0,0.02531385022461209,0.0,0.0,0.0,0.0,0.0
1993,0.0,205.0914525871844,0.0,0.0,0.03582169951446163,0.0,0.0,0.0,0.0,0.0
1994,0.0,211.01442527546044,0.0,0.0,0.021223610576979777,0.0,0.0,0.0,0.0,0.0
1995,0.0,215.31991859368114,0.0,0.0,0.011737261362062726,0.0,0.0,0.0,0.0,0.0
1996,0.0,217.84692510900007,0.0,0.0,0.021848091289055235,0.0,0.0,0.0,0.0,0.0
1997,0.0,221.66111409709487,0.0,0.0,0.015920123015998707,0.0,0.0,0.0,0.0,0.0
1998,0.0,224.19451517410772,0.0,0.0,0.00798033303191132,0.0,0.0,0.0,0.0,0.0
1999,0.0,226.70339223761545,0.0,0.0,0.01989951964339069,0.0,0.0,0.0,0.0,0.0
2000,0.0,228.2722317905245,0.0,0.0,0.024449126042504623,0.0,0.0,0.0,0.0,0.0
2001,0.0,230.11265513009303,0.0,0.0,0.024475095151254823,0.0,0.0,0.0,0.0,0.0
2002,0.0,231.64533586836225,0.0,0.0,0.00318956738314177,0.0,0.0,0.0,0.0,0.0
2003,0.0,232.89486200107808,0.0,0.0,0.013616434121542209,0.0,0.0,0.0,0.0,0.0
2004,0.0,233.66891796853002,0.0,0.0,0.02463091021378996,0.0,0.0,0.0,0.0,0.0
2005,0.0,234.3981900630067,0.0,0.0,0.016887166118641665,0.0,0.0,0.0,0.0,0.0
2006,0.0,235.1268887948001,0.0,0.0,0.024670492763839955,0.0,0.0,0.0,0.0,0.0
2007,0.0,235.63699647234142,0.0,0.0,0.007527844419181864,0.0,0.0,0.0,0.0,0.0
2008,0.0,235.95507554160096,0.0,0.0,0.026952424154710462,0.0,0.0,0.0,0.0,0.0
2009,0.0,236.42469908342807,0.0,0.0,0.022596573237162663,0.0,0.0,0.0,0.0,0.0
2010,0.0,236.73538948595777,0.0,0.0,0.016783048968174098,0.0,0.0,0.0,0.0,0.0
2011,0.0,237.03756758804093,0.0,0.0,0.01696885738426876,0.0,0.0,0.0,0.0,0.0
2012,0.0,237.22947338623638,0.0,0.0,0.017399268034516926,0.0,0.0,0.0,0.0,0.0
2013,0.0,237.4546251590393,0.0,0.0,0.018958587407684496,0.0,0.0,0.0,0.0,0.0
2014,0.0,237.646220196841,0.0,0.0,0.00712251961596362,0.0,0.0,0.0,0.0,0.0
2015,0.0,237.78713157374554,0.0,0.0,0.01266146994393163,0.0,0.0,0.0,0.0,0.0
2016,0.0,237.85559500542988,0.0,0.0,0.03227271273616304,0.0,0.0,0.0,0.0,0.0
2017,0.0,237.96764611072277,0.0,0.0,0.014631951930272,0.0,0.0,0.0,0.0,0.0
2018,0.0,238.0541047508948,0.0,0.0,0.009659134637627007,0.0,0.0,0.0,0.0,0.0
2019,0.0,238.12807729303233,0.0,0.0,0.011789000235651777,0.0,0.0,0.0,0.0,0.0
