year,actual,calculated,difference,delta,runoff,evaporation,transpiration,drainage
,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O
1980,965.0,965.0,0.0,1.842,213.338,247.106,109.653,393.061
1981,875.0,875.0,0.0,0.564,153.271,237.718,124.924,358.523
1982,911.0,911.0,0.0,-2.796,196.906,231.476,140.243,345.17
1983,898.0,898.0,0.0,0.257,166.112,220.356,152.601,358.673
1984,1020.0,1020.0,0.0,0.994,233.529,245.151,141.011,399.315
1985,1057.0,1057.0,0.0,-1.484,247.289,224.438,135.599,451.158
1986,960.0,960.0,-0.0,-2.58,245.922,230.434,131.512,354.712
1987,895.0,895.0,0.0,2.586,176.616,231.308,141.634,342.856
1988,733.0,733.0,0.0,0.365,116.04,199.405,120.127,297.063
1989,622.0,622.0,-0.0,4.024,95.729,206.443,115.581,200.225
1990,952.0,952.0,0.0,-0.041,193.889,229.792,139.098,389.263
1991,1027.0,1027.0,0.0,-5.275,246.334,229.306,117.427,439.207
1992,961.0,961.0,-0.0,6.18,255.078,204.9,116.291,378.552
1993,1177.0,1177.0,0.0,-5.214,287.446,227.294,86.953,580.521
1994,969.0,969.0,-0.0,-2.548,187.291,239.101,111.302,433.855
1995,988.0,988.0,0.0,3.732,153.873,239.856,106.635,483.904
1996,830.0,830.0,-0.0,-1.134,205.013,231.084,82.408,312.63
1997,963.0,963.0,0.0,-0.639,227.396,251.392,74.199,410.652
1998,1024.0,1024.0,-0.0,-0.69,228.611,251.991,89.278,454.809
1999,1013.0,1013.0,0.0,1.025,218.964,272.592,58.577,461.842
2000,1133.0,1133.0,0.0,5.823,324.252,274.664,43.754,484.507
2001,1168.0,1168.0,0.0,-5.211,277.005,271.856,53.94,570.41
2002,768.0,768.0,-0.0,-1.891,148.909,266.525,83.552,270.905
2003,932.0,932.0,-0.0,1.217,206.856,261.389,74.229,388.308
2004,1111.0,1111.0,0.0,0.08,270.367,303.855,36.088,500.61
2005,784.0,784.0,0.0,-0.649,188.088,271.556,47.866,277.14
2006,1120.0,1120.0,0.0,0.03,244.081,315.308,47.47,513.111
2007,1150.0,1150.0,0.0,4.085,329.007,282.722,61.315,472.871
2008,1216.0,1216.0,0.0,-0.386,466.582,285.847,36.632,427.325
2009,995.0,995.0,0.0,-1.241,269.425,287.491,37.559,401.766
2010,1120.0,1120.0,0.0,-0.281,296.299,303.969,63.517,456.497
2011,844.0,844.0,0.0,-0.573,161.294,310.12,33.719,339.44
2012,725.0,725.0,0.0,1.119,148.951,300.606,23.021,251.303
2013,1040.0,1040.0,0.0,-2.222,256.814,315.043,31.271,439.094
2014,927.0,927.0,0.0,0.246,222.142,296.53,53.935,354.146
2015,1026.0,1026.0,0.0,3.806,252.998,284.18,54.197,430.82
2016,1120.0,1120.0,0.0,-4.151,245.964,346.386,18.678,513.122
2017,928.0,928.0,-0.0,0.796,161.808,324.041,32.424,408.931
2018,1197.0,1197.0,0.0,0.671,327.614,304.205,26.324,538.186
2019,1235.0,1235.0,0.0,4.97,361.485,320.331,25.659,522.554
