year,runoff,drainage,erosion,ET,manure_applied,manure_N_applied,manure_P_applied,N_runoff,P_runoff,N_drainage,P_drainage,N_erosion,P_erosion,yield,N_yield,P_yield
,mm H2O,mm H2O,ton / ha,mm H2O,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
1980,852.4916300683549,1571.649942497801,1.449139411169363,1428.4717328524289,20800.0,1040.0,1248.0,4.246850805252531,9.54221045610211,0.0,0.0,0.23394928446800878,2.447761976133153,6963.332900391773,327.2766064908652,9.764077034303865
1981,613.1056465324457,1434.4586040518332,0.44676793490785505,1450.1970144818195,977600.0,48880.0,58656.0,72.30854585066967,408.1606016706457,0.0,0.0,5.4155693073489966,5.734847438027071,31428.90245398902,1310.5852319084188,62.90863470391062
1982,787.6262510753421,1380.7026859674775,0.9232528079837049,1486.855097302013,0.0,0.0,0.0,26.380939158038768,644.7733390574283,0.0,0.0,7.3275033848851345,10.884240756391696,46984.797160448834,1959.2660410082012,94.04089592310694
1983,664.4502764891915,1434.6961352122435,0.8652372290742784,1491.8248228116374,0.0,0.0,0.0,10.691131224530324,571.1828976708721,0.0,0.0,4.681378920307971,9.70694865255222,48773.38928507295,2033.8503289013206,97.80912328509987
1984,933.6263288965074,1607.1185862068917,1.2974397070649566,1534.8476947617894,20800.0,1040.0,1248.0,50.88063517027872,515.2483287195525,0.0,0.0,5.2785959900674975,14.349027235418273,18342.491928887965,862.0970000893867,25.72428860715812
1985,988.0967399708206,1807.983374358577,0.7967941383676814,1438.4548798496103,1248000.0,62400.0,74880.0,208.73871919874108,1157.5946127192988,0.0,0.0,14.57838480846535,22.60546308362376,42754.51888860912,1782.863434461863,85.72434297921453
1986,979.2501344698757,1389.8355240381081,0.8160209726487262,1481.2262360486675,1705600.0,85280.0,102336.0,180.48689891874864,1678.2705470337476,0.0,0.0,29.42180479775786,39.947861422442344,36040.32382565332,1502.8815030915596,72.13450214380691
1987,704.0839383468751,1343.5060187648676,0.6952085570576105,1522.0703469976977,0.0,0.0,0.0,116.43839617075548,1940.4741985231763,0.0,0.0,20.298748034641775,35.74656194562674,48872.67971719329,2037.9907430805742,97.85860279355789
1988,463.06092019209484,1174.6606629199187,0.20570109606374082,1292.6658633657846,20800.0,1040.0,1248.0,47.68709767719559,1656.9766426156953,0.0,0.0,5.150015534302293,11.189624854164185,26885.82486573587,1263.6337293898364,37.66303335614572
1989,377.63868806404327,749.6542021400276,0.2734864943018694,1344.756428036141,1726400.0,86320.0,103584.0,170.8661299078691,2271.1250969039816,0.0,0.0,11.396484147324486,18.08621874344582,31713.947238757595,1322.471599451238,63.47714566056286
1990,733.3980398312063,1506.5275432537417,0.544835226997002,1568.129329596911,200000.0,10000.0,12000.0,265.4207315721311,2487.6774052285987,0.0,0.0,19.29343007532874,37.00079657008384,39359.69192346312,1641.2991527087502,78.7802082935041
1991,955.0852279783401,1718.3436248643595,0.9860619710885496,1456.3133439896399,0.0,0.0,0.0,246.33195823685313,3093.4650076881617,0.0,0.0,26.299560459147933,71.67967149270268,38610.70688700737,1610.0664762872502,77.31108356283563
1992,1014.7845587473063,1458.9923968576154,0.7216538886295225,1344.5372311811489,20800.0,1040.0,1248.0,174.84282055543034,2896.667262672865,0.0,0.0,15.211493984422187,51.23410244084484,25908.53756575352,1217.7005271177982,36.453578093452926
