year,TS,VS,N,P,K,TS_liquid,VS_liquid,N_liquid,P_liquid,K_liquid,TS_DM_effluent,manure_applied,N_applied,P_applied
,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
1980,0,0,0,0,0,0,0,0,0,0,0.0,20800.0,1040.0,1248.0
1981,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,977600.0,48880.0,58656.0
1982,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,20800.0,1040.0,1248.0
1985,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1248000.0,62400.0,74880.0
1986,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1705600.0,85280.0,102336.0
1987,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,20800.0,1040.0,1248.0
1989,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1726400.0,86320.0,103584.0
1990,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,10000.0,12000.0
1991,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,20800.0,1040.0,1248.0
1993,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2308800.0,115440.0,138528.0
1994,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,20800.0,1040.0,1248.0
1997,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1664000.0,83200.0,99840.0
1998,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1560000.0,78000.0,93600.0
2000,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,20800.0,1040.0,1248.0
2001,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2371200.0,118560.0,142272.0
2002,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,20800.0,1040.0,1248.0
2005,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1809600.0,90480.0,108576.0
2006,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1955200.0,97760.0,117312.0
2007,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,20800.0,1040.0,1248.0
2009,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,873600.0,43680.0,52416.0
2010,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,10000.0,12000.0
2011,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1780800.0,89040.0,106848.0
2012,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,220800.0,11040.0,13248.0
2013,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2529600.0,126480.0,151776.0
2014,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,10000.0,12000.0
2015,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,10000.0,12000.0
2016,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,220800.0,11040.0,13248.0
2017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1019200.0,50960.0,61152.0
2018,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1227200.0,61360.0,73632.0
2019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1664000.0,83200.0,99840.0
